Producer,State,🏆 Winner,🏅 Finalist,Total,First,Last,Years,City,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Two Broads Ciderworks,California,1,0,1,2024,2024,1,San Luis Obispo,California,Active,"<a href=""https://twobroadscider.com/"">Website</a>","<a href=""https://www.facebook.com/twobroadscider/"">Facebook</a>","<a href=""https://www.instagram.com/twobroadscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14445203383659538831"">Google</a>","<a href=""https://www.yelp.com/biz/two-broads-ciderworks-san-luis-obispo"">Yelp</a>",,"<a href=""https://untappd.com/w/two-broads-ciderworks/366709"">Untappd</a>"
Artifact Cider Project,Massachusetts,0,3,3,2022,2023,2,Florence,Massachusetts,Active,"<a href=""http://www.artifactcider.com/"">Website</a>","<a href=""https://www.facebook.com/artifactcider/"">Facebook</a>","<a href=""https://www.instagram.com/artifactcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/artifact-cider-project/135898"">Untappd</a>"
Posterity Ciderworks,California,0,3,3,2023,2023,1,Mokelumne Hill,California,Active,"<a href=""https://posterityciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/posterityciderworks"">Facebook</a>","<a href=""https://www.instagram.com/posterityciderworks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12556482300952119386"">Google</a>","<a href=""https://www.yelp.com/biz/posterity-ciderworks-mokelumne-hill"">Yelp</a>",,
Botanist & Barrel,North Carolina,0,2,2,2022,2023,2,Cedar Grove,North Carolina,Active,"<a href=""https://www.botanistandbarrel.com/"">Website</a>",,"<a href=""https://www.instagram.com/botanistandbarrel/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1902463006194094884"">Google</a>","<a href=""https://www.yelp.com/biz/botanist-and-barrel-cedar-grove"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g49015-d13544284"">TripAdvisor</a>","<a href=""https://untappd.com/w/botanist-barrel/356633"">Untappd</a>"
Nashi Orchards,Washington,0,2,2,2018,2023,2,Vashon,Washington,Active,"<a href=""http://www.nashiorchards.com/"">Website</a>","<a href=""https://www.facebook.com/nashiorchards"">Facebook</a>","<a href=""https://www.instagram.com/nashi_orchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12360902013052761069"">Google</a>","<a href=""https://www.yelp.com/biz/nashi-orchards-winery-vashon"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58805-d9564025"">TripAdvisor</a>","<a href=""https://untappd.com/w/nashi-orchards/113169"">Untappd</a>"
Wrangletown Cider Company,California,0,2,2,2017,2019,2,Arcata,California,Inactive,,,,,,,
2 Towns Ciderhouse,Oregon,0,1,1,2016,2016,1,Corvallis,Oregon,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
Angry Orchard,New York,0,1,1,2018,2018,1,Walden,New York,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
Bad Seed Cider,New York,0,1,1,2017,2017,1,Highland,New York,Active,"<a href=""http://www.badseedhardcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/badseedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8137566765799910733"">Google</a>","<a href=""https://www.yelp.com/biz/bad-seed-cider-company-highland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g47892-d8621979"">TripAdvisor</a>","<a href=""https://untappd.com/w/bad-seed-cider-co/31780"">Untappd</a>"
Berkshire Cider Project,Massachusetts,0,1,1,2023,2023,1,North Adams,Massachusetts,Active,"<a href=""https://www.berkshire-cider.com/"">Website</a>","<a href=""https://www.facebook.com/BerkshireCiderProject/"">Facebook</a>","<a href=""https://www.instagram.com/berkshire_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=39143702970968971"">Google</a>","<a href=""https://www.yelp.com/biz/berkshire-cider-project-north-adams"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41715-d23520152"">TripAdvisor</a>","<a href=""https://untappd.com/berkshire_cider"">Untappd</a>"
Eaglemount Wine & Cider,Washington,0,1,1,2016,2016,1,Port Townsend,Washington,Active,"<a href=""https://eaglemountwinery.com/"">Website</a>","<a href=""https://www.facebook.com/eaglemountwineandcider/"">Facebook</a>","<a href=""https://www.instagram.com/p/CKHZN9pLKw-/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8669789097383487844"">Google</a>","<a href=""https://www.yelp.com/biz/eaglemount-wine-and-cider-port-townsend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58687-d25451008"">TripAdvisor</a>","<a href=""https://untappd.com/w/eaglemount-wine-and-cider/9836"">Untappd</a>"
Kristof Farms,Oregon,0,1,1,2024,2024,1,Yamhill,Oregon,Active,"<a href=""https://www.kristoffarms.com/"">Website</a>","<a href=""https://www.facebook.com/KristofFarms/"">Facebook</a>","<a href=""https://www.instagram.com/kristoffarms/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/kristof-farms/524122"">Untappd</a>"
Potter's Craft Cider,Virginia,0,1,1,2020,2020,1,Charlottesville,Virginia,Active,"<a href=""https://potterscraftcider.com/"">Website</a>","<a href=""https://www.facebook.com/potterscraftcider"">Facebook</a>","<a href=""https://www.instagram.com/potterscraftcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5866852060832925678"">Google</a>","<a href=""https://www.yelp.com/biz/potters-craft-cider-charlottesville-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57592-d19722718"">TripAdvisor</a>","<a href=""https://untappd.com/w/potters-craft-cider/30119"">Untappd</a>"
Raging Cider & Mead,California,0,1,1,2022,2022,1,San Marcos,California,Active,"<a href=""http://www.ragingcidermead.com/"">Website</a>","<a href=""https://www.facebook.com/ragingcider/"">Facebook</a>","<a href=""https://www.instagram.com/raging_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4063834740320553778"">Google</a>","<a href=""https://www.yelp.com/biz/raging-cider-and-mead-co-san-marcos"">Yelp</a>",,"<a href=""https://untappd.com/w/raging-cider-mead/368755"">Untappd</a>"
Santa Cruz Cider Co.,California,0,1,1,2019,2019,1,Santa Cruz,California,Active,"<a href=""http://www.santacruzciderco.com/"">Website</a>","<a href=""https://www.facebook.com/santacruzciderco/"">Facebook</a>","<a href=""https://www.instagram.com/santacruzciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16427348691643937890"">Google</a>","<a href=""https://www.yelp.com/biz/santa-cruz-cider-watsonville-2"">Yelp</a>",,"<a href=""https://untappd.com/w/santa-cruz-cider-company/95411"">Untappd</a>"
Silo Distillery,Vermont,0,1,1,2020,2020,1,Windsor,Vermont,Inactive,,,,,,,
Slake Cider,Oregon,0,1,1,2021,2021,1,McMinnville,Oregon,Inactive,,,,,,,
Sundström Cider,New York,0,1,1,2019,2019,1,Rhinebeck,New York,Active,"<a href=""https://www.sundstromcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/sundstromcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/sundstra-m-cider/235426"">Untappd</a>"
Tieton Cider Works,Washington,0,1,1,2020,2020,1,Yakima,Washington,Active,"<a href=""https://tietonciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/tietonciderworks/"">Facebook</a>","<a href=""https://www.instagram.com/tietonciderworks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9208093896298438407"">Google</a>","<a href=""https://www.yelp.com/biz/tieton-cider-works-yakima"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58838-d7991577"">TripAdvisor</a>","<a href=""https://untappd.com/w/tieton-cider-works/10804"">Untappd</a>"
Union Hill Cider Co.,Washington,0,1,1,2023,2023,1,East Wenatchee,Washington,Active,"<a href=""https://www.unionhillciderco.com/"">Website</a>","<a href=""https://www.facebook.com/UnionHillCiderCo/"">Facebook</a>","<a href=""https://www.instagram.com/unionhillciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15999164221517255413"">Google</a>","<a href=""https://www.yelp.com/biz/union-hill-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/UnionHillCiderCo"">Untappd</a>"
Winchester Ciderworks,Virginia,0,1,1,2023,2023,1,Winchester,Virginia,Active,"<a href=""https://winchesterciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/WinchesterCiderworks/"">Facebook</a>","<a href=""https://www.instagram.com/winchester_ciderworks/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/winchester-ciderworks-winchester"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58318-d12692853"">TripAdvisor</a>","<a href=""https://untappd.com/w/winchester-ciderworks/61540"">Untappd</a>"
Total,,147,92,239,,,,,,,,,,,,,
