Style,Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2013,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2014,0,1,5,5,11
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2015,0,1,2,2,5
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2016,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2017,3,0,2,2,7
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2018,3,0,0,1,4
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2019,3,0,1,3,7
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2021,3,0,4,3,10
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2022,3,0,5,1,9
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2023,3,0,1,0,4
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2024,3,0,7,4,14
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",Total,24,8,40,28,100
