Year,Medal,Medalist,Entry,Style,Style_Crosswalk,Place
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",Cherry Ridge,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",Ginger Peach,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",Blackberry,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",Blueberry Heirloom,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Pineapple,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Wild Tropics,Fruit Cider,Fruit Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Blueberry Picnic,Fruit Cider,Fruit Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/"">Chain Yard Cider</a>",Hopped Up,Hopped Cider,Hopped Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/duxbury-cider-company/"">Duxbury Cider Company</a>",Tilted Barn,Hopped Cider,Hopped Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/gabbie's-premium-cider/"">Gabbie's Premium Cider</a>",Citrus Hopped Cider,Hopped Cider,Hopped Cider,3rd Place
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Hopped Pear,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/"">Bold Rock Hard Cider</a>",IPA,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/carriage-house-ciders/"">Carriage House Ciders</a>",HOPT,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",Hopped Brut Apple,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/northman-cider-co/"">Northman Cider Co.</a>",Northman Hopped Cider,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",The Knave: Michigan Copper,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/"">Sea Cider Farm & Ciderhouse</a>",Wolf in the Woods,Hopped Cider,Hopped Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Mixtape,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",One Thousand Four Hundred and Forty Minutes,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",Hopped,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",My Own Private Idaho 7,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/clarksburg-cider/"">Clarksburg Cider</a>",Galaxy Grove,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/etta-place-cider/"">Etta Place Cider</a>",435 Hopped,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",Hop Crop,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ficklewood-ciderworks/"">Ficklewood Ciderworks</a>",Guava Grove,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Charlie Goes To Idaho,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Hardtail,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/heemans/"">Heeman's</a>",Juicy,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Fuji Gold,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",Tropical Vibes,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/lost-boy-cider/"">Lost Boy Cider</a>",Pixie Dust,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Hop Cider,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Cottonwood,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ok-cider-co/"">OK Cider Co</a>",Screwy Mimosa,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/paha-cider/"">Paha Cider</a>",Brut Cider,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",Hopped,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",Harvey,Hopped Cider,Hopped Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Pomona's Pour,Hopped Cider,Hopped Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Spruce Springsteen,Botanical Cider,Botanical Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Sappho,Botanical Cider,Botanical Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Winter Botanical,Botanical Cider,Botanical Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/brys-estate-ciderworks/"">Brys Estate Ciderworks</a>",Brys Estate Lavender Cider,Botanical Cider,Botanical Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",Apple Ginger,Botanical Cider,Botanical Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",Blackberry Botanical,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",The Baddie,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Earl Blue,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Rhubarb Ginger,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bayfield-winery-blue-ox-cider/"">Bayfield Winery & Blue Ox Cider</a>",Ginger Cider,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Cider Donut,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/embark-craft-ciderworks/"">Embark Craft Ciderworks</a>",Apple Pie,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/etta-place-cider/"">Etta Place Cider</a>",Wassail,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",Brunch,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Cider Donut Cider,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Hibiscus Ginger,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Potomac Fog,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Incline Cider,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Maple Haze,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",Apple Lavender,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Hibiscus Rose,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/"">Minneapolis Cider Company</a>",Mango Habanero,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",Wallflower,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",Honey Lavender,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/peninsula-cellars/"">Peninsula Cellars</a>",Cinnamon Swirl,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/peninsula-cellars/"">Peninsula Cellars</a>",Evil Ways,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",Braylynn,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/punx-cider-worx/"">Punx Cider Worx</a>",Ginger? I Pear-ly Know Her,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/punx-cider-worx/"">Punx Cider Worx</a>",Pumpkutawney,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",Yellow Belly Garden Pepper Cider,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",Yellow Belly Wildflower Cider,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gin Botanical,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sidrería-tencai/"">Sidrería TenCai</a>",Sunami,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sincere-cider/"">Sincere Cider</a>",Ginger Agave,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/stormalong-cider/"">Stormalong Cider</a>",Light of the Sun,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Ginger Lark,Botanical Cider,Botanical Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/the-apple-barn-and-cider-mill/"">The Apple Barn And Cider Mill</a>",Honey Basil,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Pumpkin Spice,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Strawberry,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Strawberry Mojito,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Sweetgrass Cider,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Steep Series: Peach White Tea,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Purple Mountains,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/high-limb-hard-cider/"">High Limb Hard Cider</a>",High & Dry,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Cucumber Jalapeno,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ore-creek-craft-cider/"">Ore Creek Craft Cider</a>",Winter Shanty,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",Chamomile,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/pink-barrel-cellars/"">Pink Barrel Cellars</a>",Honey Ginger Cyser,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/"">Raven's Moon Craft Cider</a>",Tea Time,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",Yellow Belly Ginger Cider,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Basil Mint,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/shuswap-cider-co/"">Shuswap Cider Co.</a>",Fireside Spice,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",Dry Botanical,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",Dry Ginger,Botanical Cider,Botanical Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",A Salted Cucumber,Botanical Cider,Botanical Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Scrumpy,Wood Aged Cider,Wood Aged Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",Big John,Wood Aged Cider,Wood Aged Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/kristof-farms/"">Kristof Farms</a>",Kristof Farms Reserve Cider,Wood Aged Cider,Wood Aged Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/clarksburg-cider/"">Clarksburg Cider</a>",Cabernet Barrel Aged Cider,Wood Aged Cider,Wood Aged Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",Apple Brandy BBL Aged,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Westward Whiskey Collaboration,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Wooden Sleeper Barrel Select,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Robuste,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Bourbon Vanilla Cider,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/berkshire-cider-project/"">Berkshire Cider Project</a>",Windy Hill (2022),Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Barrel Reserve,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bird-dog-cider/"">Bird Dog Cider</a>",Animal Tracks,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bird-dog-cider/"">Bird Dog Cider</a>",Brothers Cup,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bird-dog-cider/"">Bird Dog Cider</a>",Deacon John,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Quercus Spy,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/clarksburg-cider/"">Clarksburg Cider</a>",Tequila Barrel Aged Cider,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Outlier,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",The Bung Is Too Big,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Fire & Ice,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Golden Sheaf,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/little-apple-cidery/"">Little Apple Cidery</a>",Rye & Dry,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Cuvee,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/nashi-orchards/"">Nashi Orchards</a>",White Hart Cider,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/ok-cider-co/"">OK Cider Co</a>",Barrel-Aged Appletoberfest,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/ok-cider-co/"">OK Cider Co</a>",Big Naughty #7,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/red-island-cider/"">Red Island Cider</a>",Robert's Reserve,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/"">Sage Bird Ciderworks</a>",Feels Like Home,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Bbl Aged Kingston Black,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Blanc Mollet,Wood Aged Cider,Wood Aged Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/two-k-farms/"">Two K Farms</a>",Kingston Black - Special Club,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Pyramid Scheme,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Heirloom,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Constant,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/"">Green Bench Brewing Co.</a>",1124,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Barrel Series 1,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Barrel Series 2,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/heartland-ciderworks/"">Heartland Ciderworks</a>",The Cooper,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",Brut in a Barrel,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ore-creek-craft-cider/"">Ore Creek Craft Cider</a>",Good Wood,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/"">Presque Isle Farm Cider</a>",Single Varietal: Spitzenburg,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Barrel-Aged Dry,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Line 12,Wood Aged Cider,Wood Aged Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",ChardonYay Cidre Réserve,Wood Aged Cider,Wood Aged Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Inversion Reserve,Wood Aged Specialty Cider,Wood Aged Specialty Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",Yellow Belly Maple Bourbon Cider,Wood Aged Specialty Cider,Wood Aged Specialty Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Abstract,Wood Aged Specialty Cider,Wood Aged Specialty Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",Blueberry Oak Reserve,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Nice & Neat,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Maple Wooden Sleeper,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Framboise,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/ponderosa-cider-co./"">Ponderosa Cider Co.</a>",Blackberry,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gravenstein Rose,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/stormalong-cider/"">Stormalong Cider</a>",River Russet,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/sunken-paddle-ciderworks/"">Sunken Paddle Ciderworks</a>",Bourbon Barrel Aged,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/three-falls-cider/"">Three Falls Cider</a>",Maple Bourbon Barrel,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Dark Cherry Bad Apple,Wood Aged Specialty Cider,Wood Aged Specialty Cider,
