Style,Medal,Medalist,Entry,Region,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Traditional Cider - Medium,🥈 Silver,Peckham's,Stoke Red,New Zealand,90,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,Kerisac,Brut,France,88,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,The Apple Thief,Kingston Black,New South Wales,88,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,Willie Smith's Tasmanian,Yarlington Mill,Tasmania,86.5,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,Kangaroo Island Ciders,Colony Cove Vintage Cider,South Australia,86,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,Spreyton Cider Co,Kingston Black Cider,Tasmania,86,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,Daylesford Cider,Organic Kingston / Dabinett,Victoria,85.5,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Willie Smith's Tasmanian,Senescence Apple Cider,Tasmania,84.5,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Peckham's,Farmhouse,New Zealand,84,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Willie Smith's Tasmanian,Kingston Black,Tasmania,84,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,The Apple Thief,Orchard Blend,New South Wales,83.5,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Willie Smith's Tasmanian,Heritage Blend,Tasmania,83.5,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Willie Smith's Tasmanian,Traditional Apple Cider,Tasmania,83,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Cider Infusion,The Cape,Victoria,82.5,"<a href=""https://ciderinfusion.com/"">Website</a>","<a href=""https://www.facebook.com/ciderinfusion/"">Facebook</a>","<a href=""https://www.instagram.com/ciderinfusion/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cider-infusion/534576"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Spreyton Cider Co,Cidermakers Select - Four Orchards,Tasmania,79,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
Traditional Cider - Medium,🥉 Bronze,Peckham's,Knotted Kernel,New Zealand,77.5,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Traditional Cider - Medium Sweet,🥈 Silver,Daylesford Cider,2023 Organic Kingston Black,Victoria,90,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
Traditional Cider - Medium Sweet,🥈 Silver,Borrodell Estate,The Last Laugh,New South Wales,85,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
Traditional Cider - Medium Sweet,🥈 Silver,Kangaroo Island Ciders,Colony Cove Draught Cider,South Australia,85,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
Traditional Cider - Medium Sweet,🥉 Bronze,Carmel Cider,Heritage,Western Australia,82,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Traditional Cider - Medium Sweet,🥉 Bronze,Frank's Cider,Autumn Reserve,Tasmania,80,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
Traditional Cider - Medium Sweet,🥉 Bronze,Small Acres Cyder,Heritage Blend,New South Wales,79.5,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
Traditional Cider - Sweet,🥉 Bronze,Ecusson,Cidre Rosé,France,79,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Traditional Cider - Méthode Traditionnelle (Disgorged),🥇 Gold,St Ronan’s Cider,Methode Traditionelle Apple Cider,Victoria,92.5,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
Traditional Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Flying Brick Cider Co,MC,Victoria,80.5,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
Traditional Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Yallingup Cider Co.,Heritage Apple Cider,Western Australia,80.5,"<a href=""https://www.yallingupciderco.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/yallingupciderco/"">Instagram</a>",,,
Traditional Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Carmel Cider,Heritage,Western Australia,80,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Traditional Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Captains Creek,Sparkling Organic Cider,Victoria,78,"<a href=""https://www.captainscreek.com/"">Website</a>","<a href=""https://www.facebook.com/CaptainsCreekOrganicWines"">Facebook</a>","<a href=""https://www.instagram.com/captainscreekwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=5345523854642937105"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2275855-d2249819"">TripAdvisor</a>","<a href=""https://untappd.com/w/captain-s-creek/77455"">Untappd</a>"
Apple and Pear Blends,🥈 Silver,DV Cider,Pulp Friction,Victoria,87,"<a href=""https://dvcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/darraweitvalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/dvcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9100243841087380471"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g27087874-d21406538"">TripAdvisor</a>","<a href=""https://untappd.com/DarraweitValleyCider"">Untappd</a>"
Apple and Pear Blends,🥈 Silver,Lenswood Cider Company,Apple/Pear Cider,South Australia,85,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
Apple and Pear Blends,🥈 Silver,Mock Red Hill,Pear Cider,Victoria,85,"<a href=""https://www.mockredhill.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Mock-Red-Hill/181240308586996"">Facebook</a>","<a href=""https://www.instagram.com/mockredhill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10552205982251777171"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/28770"">Untappd</a>"
Apple and Pear Blends,🥉 Bronze,LOBO Cider,Apple and Pear,South Australia,82.5,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Apple and Pear Blends,🥉 Bronze,Barossa Cider Co,Squashed Cloudy Cider,South Australia,82,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
Apple and Pear Blends,🥉 Bronze,Bruny Island Cider,Bruny Island Apple & Pear Cider,Tasmania,77.5,"<a href=""https://www.brunyisland.com/catalogue/bruny-island-cider/"">Website</a>","<a href=""https://www.facebook.com/BrunyIslandCider/"">Facebook</a>","<a href=""https://www.instagram.com/brunyislandcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/bruny-island-cider/235917"">Untappd</a>"
New World Perry - Dry,🥈 Silver,Twisted Sister,Twisted Sister Pear Cider,Victoria,85,"<a href=""https://www.grand-ridge.com.au/"">Website</a>","<a href=""https://www.facebook.com/grandridgebrewery"">Facebook</a>","<a href=""https://www.instagram.com/grandridgebeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8403918293255045179"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552213-d4791367"">TripAdvisor</a>","<a href=""https://untappd.com/GrandRidgeBrewery"">Untappd</a>"
New World Perry - Medium,🥇 Gold,Napoleone Cider,Napoleone Pear Cider,Victoria,93,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
New World Perry - Medium,🥈 Silver,Flying Brick Cider Co,Pear Cider,Victoria,87,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
New World Perry - Medium,🥈 Silver,Hills Cider,Pear,South Australia,87,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
New World Perry - Medium,🥉 Bronze,Bilpin Cider,Bilpin Pear Cider,New South Wales,82,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Perry - Medium Sweet,🥉 Bronze,Eddies Cider,Smooth Pear,Victoria,83.5,"<a href=""https://www.eddiescider.com.au/"">Website</a>","<a href=""https://www.facebook.com/EddiesCider/"">Facebook</a>","<a href=""https://www.instagram.com/eddies_organic_cider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/eddies-cider/424405"">Untappd</a>"
New World Perry - Medium Sweet,🥉 Bronze,Barossa Cider Co,Squashed Pear Cider,South Australia,82.5,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
New World Perry - Sweet,🥉 Bronze,Frank's Cider,Summer Pear,Tasmania,81.5,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
New World Perry - Méthode Traditionnelle (Disgorged),🥈 Silver,St Ronan’s Cider,Methode Trdditionelle Pear Cider,Victoria,85.5,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
New World Perry - Méthode Traditionnelle (Disgorged),🥉 Bronze,Carmel Cider,Pear 21,Western Australia,80.5,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Traditional Perry - Dry,🥉 Bronze,Hart’s Farm,Pear Cider,Victoria,83,"<a href=""https://www.hartsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/Hartsfarm.morningtonpeninsula"">Facebook</a>","<a href=""https://www.instagram.com/hartsfarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=10474103931088012940"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552256-d2477464"">TripAdvisor</a>","<a href=""https://untappd.com/w/hart-s-farm/278622"">Untappd</a>"
Experimental Cider or Perry,🥈 Silver,Carmel Cider,Apple Pie Moonshine,Western Australia,90,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Experimental Cider or Perry,🥈 Silver,Napoleone Cider,Louis Rosé Cider,Victoria,86,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
Experimental Cider or Perry,🥉 Bronze,Sydney Brewery,Agave Ginger Cider,New South Wales,80,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
Experimental Cider or Perry,🥉 Bronze,Rebel Cider,Forbidden Apple Cherry Sour,Victoria,80,,"<a href=""https://www.facebook.com/profile.php?id=100080154523886"">Facebook</a>","<a href=""https://www.instagram.com/rebel.cider/"">Instagram</a>",,,
Experimental Cider or Perry,🥉 Bronze,Flying Brick Cider Co,Pachinga,Victoria,79.5,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
Experimental Cider or Perry,🥉 Bronze,DV Cider,Calamansi Cider Crush,Victoria,78.5,"<a href=""https://dvcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/darraweitvalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/dvcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9100243841087380471"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g27087874-d21406538"">TripAdvisor</a>","<a href=""https://untappd.com/DarraweitValleyCider"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥈 Silver,Bilpin Cider,Bilpin Non Alc Apple & Ginger,New South Wales,87,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Bilpin Cider,Bilpin Non Alc Apple & Blood Orange,New South Wales,83,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Carmel Cider,Virgin,Western Australia,83,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Zeffer,0% Passionfruit infused Cider,New Zealand,82,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Hillbilly Cider,Non Alc Apple,New South Wales,81.5,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Hills Cider,Non Alcoholic Apple,South Australia,81,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Small Acres Cyder,Golden Knot Apple and Pear Non Alcoholic Cider,New South Wales,80.5,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Willie Smith's Tasmanian,Non-Alc Apple Cider,Tasmania,79,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Spreyton Cider Co,Non-Alcoholic Cider,Tasmania,78,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
No/Low Alcohol Cider or Perry,🥉 Bronze,Hillbilly Cider,Ginger,New South Wales,77.5,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
Cider or Perry with Fruit,🥇 Gold,Plenty,Apple + Blueberry,Tasmania,95,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
