Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,Region,Country,Status,Results
Sidra Riestra,1,0,8,2,11,2013,2024,7,Sariego,Asturias,Spain,Active,https://ciderguide.com/sidra-riestra/
Toboggan Brewing Co.,1,0,7,3,11,2016,2023,3,London,Ontario,Canada,Active,https://ciderguide.com/toboggan-brewing-co/
Bent Ladder,1,0,6,4,11,2019,2023,3,Doylestown,Ohio,USA,Active,https://ciderguide.com/bent-ladder/
Northern Natural Cider House & Winery,0,2,3,6,11,2013,2017,5,Kaleva,Michigan,USA,Active,https://ciderguide.com/northern-natural-cider-house-winery/
Descendant Cider Company,0,1,7,3,11,2015,2018,4,Maspeth,New York,USA,Inactive,https://ciderguide.com/descendant-cider-company/
Uncommon Cider Co.,0,1,6,4,11,2017,2021,3,Calgary,Alberta,Canada,Active,https://ciderguide.com/uncommon-cider-co/
Lassen Traditional Cider,0,1,3,7,11,2017,2023,6,Chico,California,USA,Active,https://ciderguide.com/lassen-traditional-cider/
ShipBuilders Cider,0,0,6,5,11,2015,2019,4,Halifax,Nova Scotia,Canada,Inactive,https://ciderguide.com/shipbuilders-cider/
Runcible Cider,0,0,4,7,11,2017,2023,4,Mosier,Oregon,USA,Active,https://ciderguide.com/runcible-cider/
Tractor Brewing Company,0,0,4,7,11,2017,2019,3,Albuquerque,New Mexico,USA,Active,https://ciderguide.com/tractor-brewing-company/
Alma Cider,3,0,6,1,10,2021,2024,3,Mount Vernon,Washington,USA,Active,https://ciderguide.com/alma-cider/
Coffin Ridge Boutique Winery,2,0,7,1,10,2017,2019,2,Annan,Ontario,Canada,Active,https://ciderguide.com/coffin-ridge-boutique-winery/
Once Upon A Tree,1,1,5,3,10,2019,2021,2,Ledbury,Herefordshire,England,Active,https://ciderguide.com/once-upon-a-tree/
Duluth Cider,1,1,3,5,10,2021,2023,3,Duluth,Minnesota,USA,Active,https://ciderguide.com/duluth-cider/
Sidra Viuda de Angelón,0,2,5,3,10,2013,2017,4,Nava,Asturias,Spain,Active,https://ciderguide.com/sidra-viuda-de-angelon/
Coteau Rougemont,0,2,4,4,10,2016,2017,2,Rougemont,Quebec,Canada,Active,https://ciderguide.com/coteau-rougemont/
Rhinegeist Brewery,0,1,6,3,10,2017,2022,3,Cincinnati,Ohio,USA,Active,https://ciderguide.com/rhinegeist-brewery/
Ricker Hill,0,1,6,3,10,2016,2018,3,Turner,Maine,USA,Active,https://ciderguide.com/ricker-hill/
Cascade Winery & Sierra Rose Ciders,0,1,5,4,10,2006,2023,5,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/cascade-winery-sierra-rose-ciders/
Alpenfire Cider,0,1,4,5,10,2011,2017,5,Port Townsend,Washington,USA,Active,https://ciderguide.com/alpenfire-cider/
Odd Brothers Craft Cider,0,1,4,5,10,2019,2024,2,Homer,Michigan,USA,Active,https://ciderguide.com/odd-brothers-craft-cider/
Buskey Cider,0,1,3,6,10,2017,2023,4,Richmond,Virginia,USA,Active,https://ciderguide.com/buskey-cider/
GoodRoad Ciderworks,0,1,3,6,10,2017,2018,2,Charlotte,North Carolina,USA,Inactive,https://ciderguide.com/goodroad-ciderworks/
Humboldt Cider Company,0,1,3,6,10,2015,2017,3,Eureka,California,USA,Active,https://ciderguide.com/humboldt-cider-company/
19 Acres Cider Co.,0,0,8,2,10,2023,2024,2,Sherwood,Oregon,USA,Active,https://ciderguide.com/19-acres-cider-co/
Blue Bee Cider,0,0,6,4,10,2014,2022,3,Richmond,Virginia,USA,Active,https://ciderguide.com/blue-bee-cider/
Brix Cider,0,0,6,4,10,2017,2019,3,Mount Horeb,Wisconsin,USA,Active,https://ciderguide.com/brix-cider/
Texas Keeper Cider,0,0,5,5,10,2015,2016,2,Manchaca,Texas,USA,Active,https://ciderguide.com/texas-keeper-cider/
Kaneb Orchards,0,0,4,6,10,2015,2024,5,Massena,New York,USA,Active,https://ciderguide.com/kaneb-orchards/
Shoal Hope Ciderworks,0,0,4,6,10,2018,2021,3,Provincetown,Massachusetts,USA,Inactive,https://ciderguide.com/shoal-hope-ciderworks/
Flat Rock Cider Company,0,0,2,8,10,2021,2023,3,Hendersonville,North Carolina,USA,Active,https://ciderguide.com/flat-rock-cider-company/
Kristof Farms,2,1,5,1,9,2022,2024,3,Yamhill,Oregon,USA,Active,https://ciderguide.com/kristof-farms/
Weidmann & Groh,1,2,4,2,9,2013,2024,3,Friedberg-Ockstadt,Hesse,Germany,Active,https://ciderguide.com/weidmann-groh/
Red Island Cider,1,2,3,3,9,2021,2024,3,Charlottetown,Prince Edward Island,Canada,Active,https://ciderguide.com/red-island-cider/
Cidrerie Entre Pierre & Terre,1,0,7,1,9,2013,2016,4,Hinchinbrooke,Quebec,Canada,Active,https://ciderguide.com/cidrerie-entre-pierre-terre/
Potter's Craft Cider,0,2,6,1,9,2019,2021,2,Charlottesville,Virginia,USA,Active,https://ciderguide.com/potters-craft-cider/
Treehorn Cider,0,2,6,1,9,2018,2019,2,Marietta,Georgia,USA,Active,https://ciderguide.com/treehorn-cider/
Fieldstone Hard Cider Co.,0,2,5,2,9,2017,2019,3,Rochester,Michigan,USA,Inactive,https://ciderguide.com/fieldstone-hard-cider-co/
Williamson Mead and Brewing,0,1,5,3,9,2022,2024,3,Glade Valley,North Carolina,USA,Active,https://ciderguide.com/williamson-mead-and-brewing/
Diskin Cider,0,1,4,4,9,2019,2021,2,Nashville,Tennessee,USA,Active,https://ciderguide.com/diskin-cider/
Le Flanc Nord Verger & Cidrerie,0,1,4,4,9,2015,2018,4,Mont-Saint-Hilaire,Quebec,Canada,Active,https://ciderguide.com/le-flanc-nord-verger-cidrerie/
Liquid Alchemy Beverages,0,1,4,4,9,2018,2023,3,Wilmington,Delaware,USA,Active,https://ciderguide.com/liquid-alchemy-beverages/
Cider Brothers,0,1,3,5,9,2015,2017,3,Walnut Creek,California,USA,Inactive,https://ciderguide.com/cider-brothers/
Old Hill Cider,0,1,1,7,9,2014,2018,3,Timberville,Virginia,USA,Active,https://ciderguide.com/old-hill-cider/
Island Folk Cider House,0,0,7,2,9,2022,2024,3,Sydney,Nova Scotia,Canada,Active,https://ciderguide.com/island-folk-cider-house/
Boss Cider Company,0,0,5,4,9,2022,2022,1,Leslie,Michigan,USA,Active,https://ciderguide.com/boss-cider-company/
OK Cider Co,0,0,5,4,9,2022,2024,2,Oklahoma City,Oklahoma,USA,Active,https://ciderguide.com/ok-cider-co/
Ash & Elm Cider Company,0,0,4,5,9,2017,2019,3,Indianapolis,Indiana,USA,Active,https://ciderguide.com/ash-elm-cider-company/
Bird Dog Cider,0,0,4,5,9,2023,2024,2,Greenland,New Hampshire,USA,Active,https://ciderguide.com/bird-dog-cider/
Sly Clyde Ciderworks,0,0,4,5,9,2019,2021,2,Hampton,Virginia,USA,Active,https://ciderguide.com/sly-clyde-ciderworks/
Sycamore Ranch Vineyard & Winery,0,0,3,6,9,2021,2021,1,Crestline,California,USA,Active,https://ciderguide.com/sycamore-ranch-vineyard-winery/
Heartwood Farm & Cidery,0,0,1,8,9,2017,2019,3,Acton,Ontario,Canada,Active,https://ciderguide.com/heartwood-farm-cidery/
Sierra Cider,3,1,2,2,8,2017,2019,3,Mariposa,California,USA,Active,https://ciderguide.com/sierra-cider/
Renaissance Orchards,2,1,3,2,8,2016,2024,6,Ferndale,Washington,USA,Active,https://ciderguide.com/renaissance-orchards/
Sidra Fanjul,2,0,4,2,8,2013,2024,7,Siero,Asturias,Spain,Active,https://ciderguide.com/sidra-fanjul/
Shuswap Cider Co.,1,1,3,3,8,2023,2024,2,Salmon Arm,British Columbia,Canada,Active,https://ciderguide.com/shuswap-cider-co/
Clear Fork Cider,1,1,1,5,8,2017,2021,2,Paonia,Colorado,USA,Active,https://ciderguide.com/clear-fork-cider/
Banjo Cider,1,0,6,1,8,2021,2022,2,Uxbridge,Ontario,Canada,Active,https://ciderguide.com/banjo-cider/
Spoke + Spy Ciderworks,1,0,5,2,8,2018,2023,4,Middletown,Connecticut,USA,Active,https://ciderguide.com/spoke-spy-ciderworks/
Lost Giants Cider Company,1,0,3,4,8,2019,2021,2,Bellingham,Washington,USA,Active,https://ciderguide.com/lost-giants-cider-company/
Bereziartua,0,2,4,2,8,2015,2021,5,Astigarraga,Basque Country,Spain,Active,https://ciderguide.com/bereziartua/
Cidrerie et Distillerie C.E.Petch,0,1,6,1,8,2019,2024,3,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/cidrerie-et-distillerie-c-e-petch/
Little Apple Cidery,0,1,5,2,8,2021,2024,4,Hillsdale,New York,USA,Active,https://ciderguide.com/little-apple-cidery/
Ciders from Mars,0,1,4,3,8,2022,2023,2,Staunton,Virginia,USA,Active,https://ciderguide.com/ciders-from-mars/
Dancing Cider Co.,0,1,3,4,8,2022,2022,1,Chungju,North Chungcheong,South Korea,Active,https://ciderguide.com/dancing-cider-co/
Mawby Vineyards,0,1,3,4,8,2016,2018,3,Suttons Bay,Michigan,USA,Active,https://ciderguide.com/mawby-vineyards/
Freewater Cider and Wine Company,0,1,2,5,8,2018,2021,3,Milton-Freewater,Oregon,USA,Active,https://ciderguide.com/freewater-cider-and-wine-company/
Ironwood Hard Cider,0,1,2,5,8,2016,2019,4,Niagara-on-the-Lake,Ontario,Canada,Active,https://ciderguide.com/ironwood-hard-cider/
Willamette Ale & Cider House,0,0,7,1,8,2023,2024,2,West Linn,Oregon,USA,Active,https://ciderguide.com/willamette-ale-cider-house/
12 Bridge Ciderworks,0,0,6,2,8,2019,2021,2,Oregon City,Oregon,USA,Inactive,https://ciderguide.com/12-bridge-ciderworks/
Santa Cruz Cider Co.,0,0,6,2,8,2017,2021,3,Santa Cruz,California,USA,Active,https://ciderguide.com/santa-cruz-cider-co/
Sunken Paddle Ciderworks,0,0,6,2,8,2021,2024,3,Oshkosh,Wisconsin,USA,Active,https://ciderguide.com/sunken-paddle-ciderworks/
Blossom Barn Cidery,0,0,5,3,8,2021,2024,4,Grants Pass,Oregon,USA,Active,https://ciderguide.com/blossom-barn-cidery/
Kings Mill Cider,0,0,5,3,8,2018,2021,3,Stirling,Ontario,Canada,Inactive,https://ciderguide.com/kings-mill-cider/
Right Bee Cider,0,0,5,3,8,2018,2021,3,Chicago,Illinois,USA,Active,https://ciderguide.com/right-bee-cider/
Texas Corners Brewing Company,0,0,5,3,8,2017,2024,3,Kalamazoo,Michigan,USA,Active,https://ciderguide.com/texas-corners-brewing-company/
Junction Orchard & Cidery,0,0,4,4,8,2022,2023,2,Victoria,British Columbia,Canada,Active,https://ciderguide.com/junction-orchard-cidery/
Ploughman Cider,0,0,4,4,8,2019,2022,2,Gettysburg,Pennsylvania,USA,Active,https://ciderguide.com/ploughman-cider/
Botanist & Barrel,0,0,3,5,8,2019,2022,3,Cedar Grove,North Carolina,USA,Active,https://ciderguide.com/botanist-barrel/
Cellarmen's,0,0,3,5,8,2016,2017,2,Hazel Park,Michigan,USA,Inactive,https://ciderguide.com/cellarmens/
Serpentine Cider,0,0,3,5,8,2019,2023,2,San Diego,California,USA,Active,https://ciderguide.com/serpentine-cider/
Sidra Somarroza,0,0,2,6,8,2019,2022,3,Renedo de Piélagos,Cantabria,Spain,Active,https://ciderguide.com/sidra-somarroza/
Western Cider,0,0,2,6,8,2018,2018,1,Missoula,Montana,USA,Active,https://ciderguide.com/western-cider/
WildCraft Cider Works,0,0,2,6,8,2016,2017,2,Eugene,Oregon,USA,Active,https://ciderguide.com/wildcraft-cider-works/
Wild Cider,0,0,1,7,8,2014,2018,3,Firestone,Colorado,USA,Active,https://ciderguide.com/wild-cider/
Jaanihanso Cider,2,0,3,2,7,2017,2018,2,Kaelase,Pärnu,Estonia,Active,https://ciderguide.com/jaanihanso-cider/
Corey Lake Orchards,1,0,3,3,7,2017,2018,2,Three Rivers,Michigan,USA,Active,https://ciderguide.com/corey-lake-orchards/
West End Cider House,1,0,2,4,7,2023,2024,2,Athens,Ohio,USA,Active,https://ciderguide.com/west-end-cider-house/
Gary Awdey,0,2,1,4,7,2016,2021,3,Valparaiso,Indiana,USA,Inactive,https://ciderguide.com/gary-awdey/
Clarksburg Cider,0,1,5,1,7,2023,2024,2,Lancaster,New York,USA,Active,https://ciderguide.com/clarksburg-cider/
Critz Farms,0,1,4,2,7,2016,2019,2,Cazenovia,New York,USA,Active,https://ciderguide.com/critz-farms/
Black Apple,0,1,3,3,7,2021,2023,2,Springdale,Arkansas,USA,Active,https://ciderguide.com/black-apple/
Posterity Ciderworks,0,0,5,2,7,2021,2022,2,Mokelumne Hill,California,USA,Active,https://ciderguide.com/posterity-ciderworks/
B. Nektar,0,0,4,3,7,2017,2022,3,Ferndale,Michigan,USA,Active,https://ciderguide.com/b-nektar/
Cidrerie McKeown,0,0,4,3,7,2017,2022,2,Rougemont,Quebec,Canada,Active,https://ciderguide.com/cidrerie-mckeown/
Empire Cider Company,0,0,4,3,7,2017,2018,2,Geneva,New York,USA,Inactive,https://ciderguide.com/empire-cider-company/
Lindner's Cider,0,0,4,3,7,2021,2021,1,Hamden,New York,USA,Active,https://ciderguide.com/lindners-cider/
St. Ambrose Cellars,0,0,4,3,7,2015,2016,2,Beulah,Michigan,USA,Active,https://ciderguide.com/st-ambrose-cellars/
String Theory Cider,0,0,3,4,7,2021,2023,3,Cumberland,Wisconsin,USA,Active,https://ciderguide.com/string-theory-cider/
Apple Outlaw,0,0,2,5,7,2015,2017,2,Jacksonville,Oregon,USA,Active,https://ciderguide.com/apple-outlaw/
Flint City Hard Cider Co.,0,0,2,5,7,2016,2022,5,Flint,Michigan,USA,Inactive,https://ciderguide.com/flint-city-hard-cider-co/
High Limb Hard Cider,0,0,2,5,7,2024,2024,1,Plymouth,Massachusetts,USA,Active,https://ciderguide.com/high-limb-hard-cider/
Mississippi Ale House,0,0,2,5,7,2018,2023,3,Olive Branch,Mississippi,USA,Active,https://ciderguide.com/mississippi-ale-house/
Red Clay Ciderworks,0,0,2,5,7,2018,2018,1,Charlotte,North Carolina,USA,Active,https://ciderguide.com/red-clay-ciderworks/
Revel Cider Company,0,0,2,5,7,2015,2017,3,Guelph,Ontario,Canada,Active,https://ciderguide.com/revel-cider-company/
Swilled Dog Hard Cider,0,0,2,5,7,2017,2021,3,Franklin,West Virginia,USA,Active,https://ciderguide.com/swilled-dog-hard-cider/
Frecon Farms,0,0,1,6,7,2013,2015,3,Reading,Pennsylvania,USA,Active,https://ciderguide.com/frecon-farms/
Ore Creek Craft Cider,0,0,1,6,7,2022,2024,3,Pinckney,Michigan,USA,Active,https://ciderguide.com/ore-creek-craft-cider/
Ferme de Romilly,4,1,0,1,6,2018,2018,1,Saint-Germain-du-Pert,Normandy,France,Active,https://ciderguide.com/ferme-de-romilly/
Zapiain,3,1,0,2,6,2014,2024,3,Astigarraga,Basque Country,Spain,Active,https://ciderguide.com/zapiain/
Floribunda,2,0,1,3,6,2022,2024,3,Salorno,Trentino-South Tyrol,Italy,Active,https://ciderguide.com/floribunda/
Idol Cider House,1,0,4,1,6,2022,2023,2,Turner,Oregon,USA,Active,https://ciderguide.com/idol-cider-house/
Warwick Valley Winery & Distillery,1,0,3,2,6,2009,2013,2,Warwick,New York,USA,Active,https://ciderguide.com/warwick-valley-winery-distillery/
Fenn Valley Vineyards,0,2,2,2,6,2022,2023,2,Fennville,Michigan,USA,Active,https://ciderguide.com/fenn-valley-vineyards/
Artifact Cider Project,0,1,5,0,6,2023,2024,2,Florence,Massachusetts,USA,Active,https://ciderguide.com/artifact-cider-project/
Seek-No-Further Cidery,0,1,5,0,6,2023,2024,2,Granville,Ohio,USA,Active,https://ciderguide.com/seek-no-further-cidery/
Punx Cider Worx,0,1,4,1,6,2024,2024,1,Punxsutawney,Pennsylvania,USA,Active,https://ciderguide.com/punx-cider-worx/
Riverhead Ciderhouse,0,1,4,1,6,2018,2021,3,Riverhead,New York,USA,Active,https://ciderguide.com/riverhead-ciderhouse/
Devoto Orchards Cider,0,1,3,2,6,2013,2015,3,Sebastopol,California,USA,Inactive,https://ciderguide.com/devoto-orchards-cider/
Brys Estate Ciderworks,0,1,2,3,6,2022,2024,2,Traverse City,Michigan,USA,Active,https://ciderguide.com/brys-estate-ciderworks/
Green Bird Cellars,0,1,1,4,6,2012,2015,4,Northport,Michigan,USA,Active,https://ciderguide.com/green-bird-cellars/
Raging Cider & Mead,0,1,1,4,6,2018,2019,2,San Marcos,California,USA,Active,https://ciderguide.com/raging-cider-mead/
Willow Oaks,0,1,1,4,6,2021,2022,2,Middletown,Maryland,USA,Active,https://ciderguide.com/willow-oaks/
Bløm Meadworks,0,0,5,1,6,2021,2023,3,Ann Arbor,Michigan,USA,Active,https://ciderguide.com/blom-meadworks/
Berkshire Cider Project,0,0,4,2,6,2023,2024,2,North Adams,Massachusetts,USA,Active,https://ciderguide.com/berkshire-cider-project/
Falconer Vineyards,0,0,4,2,6,2017,2019,3,Red Wing,Minnesota,USA,Active,https://ciderguide.com/falconer-vineyards/
Urban Forage Winery & Cider House,0,0,4,2,6,2017,2022,2,Minneapolis,Minnesota,USA,Active,https://ciderguide.com/urban-forage-winery-cider-house/
Ambrosia Orchard,0,0,3,3,6,2019,2022,2,Hoagland,Indiana,USA,Active,https://ciderguide.com/ambrosia-orchard/
Liquid Art Winery,0,0,3,3,6,2019,2019,1,Manhattan,Kansas,USA,Active,https://ciderguide.com/liquid-art-winery/
Redbyrd Orchard Cider,0,0,3,3,6,2013,2014,2,Trumansburg,New York,USA,Active,https://ciderguide.com/redbyrd-orchard-cider/
Stone Circle Cider,0,0,3,3,6,2018,2021,2,Estacada,Oregon,USA,Active,https://ciderguide.com/stone-circle-cider/
Talbott's Cider Company,0,0,3,3,6,2018,2021,2,Palisade,Colorado,USA,Active,https://ciderguide.com/talbotts-cider-company/
Cider House of Wisconsin,0,0,2,4,6,2014,2019,3,McFarland,Wisconsin,USA,Inactive,https://ciderguide.com/cider-house-of-wisconsin/
Kekionga Craft Company,0,0,2,4,6,2018,2019,2,Fort Wayne,Indiana,USA,Active,https://ciderguide.com/kekionga-craft-company/
Nomad Cidery,0,0,2,4,6,2017,2018,2,Williamsburg,Michigan,USA,Inactive,https://ciderguide.com/nomad-cidery/
Sourwood Cider,0,0,2,4,6,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://ciderguide.com/sourwood-cider/
St. Julian Winery,0,0,2,4,6,2015,2019,3,Paw Paw,Michigan,USA,Active,https://ciderguide.com/st-julian-winery/
Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,0,0,2,4,6,2021,2021,1,Sandefjord,Vestfold,Norway,Active,https://ciderguide.com/tall-ship-craft-cider-fjordfolk-mikrobryggeri/
Cherry Creek Cellars,0,0,1,5,6,2015,2018,4,Albion,Michigan,USA,Active,https://ciderguide.com/cherry-creek-cellars/
Wild Hare Cider,0,0,1,5,6,2016,2019,3,Bluemont,Virginia,USA,Active,https://ciderguide.com/wild-hare-cider/
Bridgehouse Cider,1,1,2,1,5,2021,2022,2,Long Grove,Iowa,USA,Active,https://ciderguide.com/bridgehouse-cider/
Two Broads Ciderworks,1,1,2,1,5,2021,2021,1,San Luis Obispo,California,USA,Active,https://ciderguide.com/two-broads-ciderworks/
Beach Bee Meadery,1,1,1,2,5,2023,2023,1,Long Branch,New Jersey,USA,Active,https://ciderguide.com/beach-bee-meadery/
Millionaires' Row Cider Co.,1,0,4,0,5,2022,2022,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/millionaires-row-cider-co/
Cornish Cider Company,1,0,2,2,5,2019,2023,3,Cornish,Maine,USA,Active,https://ciderguide.com/cornish-cider-company/
Verger Belliveau Orchard,1,0,1,3,5,2015,2021,4,Memramcook,New Brunswick,Canada,Active,https://ciderguide.com/verger-belliveau-orchard/
Rebel Apple,0,3,1,1,5,2023,2024,2,Moscow,Moscow,Russia,Active,https://ciderguide.com/rebel-apple/
2 Fools Cider,0,2,1,2,5,2019,2021,2,Naperville,Illinois,USA,Inactive,https://ciderguide.com/2-fools-cider/
Hoity Toity Cellars,0,2,0,3,5,2012,2015,4,Mildmay,Ontario,Canada,Inactive,https://ciderguide.com/hoity-toity-cellars/
Ardiel Cider House,0,1,2,2,5,2018,2018,1,Clarksburg,Ontario,Canada,Active,https://ciderguide.com/ardiel-cider-house/
Coastliner Craft Cider,0,1,2,2,5,2017,2019,3,Fredericton,New Brunswick,Canada,Active,https://ciderguide.com/coastliner-craft-cider/
Diner Brew Co.,0,1,2,2,5,2019,2019,1,Mt. Vernon,New York,USA,Inactive,https://ciderguide.com/diner-brew-co/
South City Ciderworks,0,1,2,2,5,2019,2019,1,San Bruno,California,USA,Inactive,https://ciderguide.com/south-city-ciderworks/
Ten Towers Cider Co.,0,1,2,2,5,2017,2019,2,Rickreall,Oregon,USA,Active,https://ciderguide.com/ten-towers-cider-co/
26 Acre Craft Cider Company,0,1,1,3,5,2017,2018,2,Pelham,Ontario,Canada,Inactive,https://ciderguide.com/26-acre-craft-cider-company/
Angeles Crest Cider,0,1,1,3,5,2018,2021,3,Canoga Park,California,USA,Inactive,https://ciderguide.com/angeles-crest-cider/
Peak Light Cider,0,0,5,0,5,2022,2022,1,Sauvie Island,Oregon,USA,Active,https://ciderguide.com/peak-light-cider/
Bowen Cider House,0,0,4,1,5,2023,2024,2,Bowen Island,British Columbia,Canada,Active,https://ciderguide.com/bowen-cider-house/
Ironbark Ciderworks,0,0,4,1,5,2023,2023,1,Claremont,California,USA,Active,https://ciderguide.com/ironbark-ciderworks/
Keuka Craft Ciders,0,0,4,1,5,2018,2019,2,Canisteo,New York,USA,Inactive,https://ciderguide.com/keuka-craft-ciders/
Market Garden Brewery,0,0,4,1,5,2021,2024,4,Cleveland,Ohio,USA,Active,https://ciderguide.com/market-garden-brewery/
Santa Sidra Hard Cider,0,0,4,1,5,2015,2016,2,Santa Fe,New Mexico,USA,Inactive,https://ciderguide.com/santa-sidra-hard-cider/
Urban Farm Fermentory,0,0,4,1,5,2019,2021,2,Portland,Maine,USA,Inactive,https://ciderguide.com/urban-farm-fermentory/
Whitewood Cider Co.,0,0,4,1,5,2014,2015,2,Olympia,Washington,USA,Active,https://ciderguide.com/whitewood-cider-co/
Cidre Le Brun,0,0,3,2,5,2016,2019,4,Plovan,Brittany,France,Active,https://ciderguide.com/cidre-le-brun/
Farm Club,0,0,3,2,5,2023,2024,2,Traverse City,Michigan,USA,Active,https://ciderguide.com/farm-club/
Left Field Cider Co.,0,0,3,2,5,2013,2016,3,Logan Lake,British Columbia,Canada,Active,https://ciderguide.com/left-field-cider-co/
Mount Diablo Cider Company,0,0,3,2,5,2023,2024,2,Lafayette,California,USA,Active,https://ciderguide.com/mount-diablo-cider-company/
Ponderosa Cider Co.,0,0,3,2,5,2024,2024,1,Auburn,California,USA,Active,https://ciderguide.com/ponderosa-cider-co./
Schilling Cider,0,0,3,2,5,2016,2024,2,Auburn,Washington,USA,Active,https://ciderguide.com/schilling-cider/
Sheppy's Cider,0,0,3,2,5,2014,2015,2,Bradford-on-Tone,Somerset,England,Active,https://ciderguide.com/sheppys-cider/
The Apple Barn And Cider Mill,0,0,3,2,5,2024,2024,1,Sevierville,Tennessee,USA,Active,https://ciderguide.com/the-apple-barn-and-cider-mill/
Heartland Ciderworks,0,0,2,3,5,2023,2024,2,Rickreall,Oregon,USA,Active,https://ciderguide.com/heartland-ciderworks/
Northman Cider Co.,0,0,2,3,5,2022,2024,2,Chicago,Illinois,USA,Active,https://ciderguide.com/northman-cider-co/
Painted Turtle Hard Cider,0,0,2,3,5,2017,2021,2,Lowell,Michigan,USA,Active,https://ciderguide.com/painted-turtle-hard-cider/
Westons Cider,0,0,2,3,5,2009,2011,2,Ledbury,Herefordshire,England,Active,https://ciderguide.com/westons-cider/
Nomad Cider,0,0,1,4,5,2018,2018,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/nomad-cider/
Armagh Cider Company,0,0,0,5,5,2013,2014,2,Portadown,Armagh,Northern Ireland,Active,https://ciderguide.com/armagh-cider-company/
Barrika,2,0,1,1,4,2017,2019,3,New York,New York,USA,Active,https://ciderguide.com/barrika/
Kuhnhenn Brewing Co.,1,1,0,2,4,2023,2024,2,Warren,Michigan,USA,Active,https://ciderguide.com/kuhnhenn-brewing-co/
Heirloom Hill Cider Company,1,0,2,1,4,2023,2024,2,Sterling,New York,USA,In Planning,https://ciderguide.com/heirloom-hill-cider-company/
Slyboro Ciderhouse,1,0,2,1,4,2008,2008,1,Granville,New York,USA,Active,https://ciderguide.com/slyboro-ciderhouse/
Valley Cider Company,1,0,2,1,4,2021,2021,1,Duncan,British Columbia,Canada,Active,https://ciderguide.com/valley-cider-company/
Forbidden Cider Co.,0,1,2,1,4,2014,2017,2,Warkworth,Auckland,New Zealand,Inactive,https://ciderguide.com/forbidden-cider-co/
Wyder's Cider,0,1,2,1,4,2005,2007,2,Oakland,California,USA,Inactive,https://ciderguide.com/wyders-cider/
Yonder Cider,0,1,2,1,4,2022,2022,1,Seattle,Washington,USA,Active,https://ciderguide.com/yonder-cider/
Ferme Black Creek,0,1,1,2,4,2018,2024,4,Hinchinbrooke,Quebec,Canada,Active,https://ciderguide.com/ferme-black-creek/
Lekker Cider,0,1,1,2,4,2019,2021,2,Calgary,Alberta,Canada,Inactive,https://ciderguide.com/lekker-cider/
Rushford Meadery & Winery,0,1,1,2,4,2019,2023,2,Omro,Wisconsin,USA,Active,https://ciderguide.com/rushford-meadery-winery/
Boyden Valley Winery & Spirits,0,0,4,0,4,2014,2016,2,Cambridge,Vermont,USA,Active,https://ciderguide.com/boyden-valley-winery-spirits/
Whetstone CiderWorks,0,0,4,0,4,2015,2016,2,Marlboro,Vermont,USA,Inactive,https://ciderguide.com/whetstone-ciderworks/
Alter Ego Cider,0,0,3,1,4,2019,2019,1,Portland,Oregon,USA,Inactive,https://ciderguide.com/alter-ego-cider/
Chateau Buffalo,0,0,3,1,4,2007,2008,2,Buffalo,New York,USA,Active,https://ciderguide.com/chateau-buffalo/
Cidrerie Verger Hemmingford,0,0,3,1,4,2015,2016,2,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/cidrerie-verger-hemmingford/
Ela Cider Co.,0,0,3,1,4,2016,2018,3,Rochester,Wisconsin,USA,Inactive,https://ciderguide.com/ela-cider-co/
Fabbioli Cellars,0,0,3,1,4,2017,2018,2,Leesburg,Virginia,USA,Active,https://ciderguide.com/fabbioli-cellars/
Golden State Cider,0,0,3,1,4,2015,2021,3,Graton,California,USA,Active,https://ciderguide.com/golden-state-cider/
Lehman's Orchards,0,0,3,1,4,2009,2011,2,Buchanan,Michigan,USA,Active,https://ciderguide.com/lehmans-orchards/
Llagares Valverán,0,0,3,1,4,2013,2023,3,Sariego,Asturias,Spain,Active,https://ciderguide.com/llagares-valveran/
Muse Orchard,0,0,3,1,4,2021,2023,2,Edinburg,Virginia,USA,Active,https://ciderguide.com/muse-orchard/
Salt Creek Cider House,0,0,3,1,4,2023,2023,1,Dallas,Oregon,USA,Active,https://ciderguide.com/salt-creek-cider-house/
Stowe Cider,0,0,3,1,4,2017,2018,2,Stowe,Vermont,USA,Active,https://ciderguide.com/stowe-cider/
Victoria Cider Co.,0,0,3,1,4,2023,2023,1,Victoria,British Columbia,Canada,Active,https://ciderguide.com/victoria-cider-co/
Wards Cider,0,0,3,1,4,2016,2018,2,Kelowna,British Columbia,Canada,Active,https://ciderguide.com/wards-cider/
Austin Eastciders,0,0,2,2,4,2012,2021,2,Austin,Texas,USA,Active,https://ciderguide.com/austin-eastciders/
Black Bear Cider Co.,0,0,2,2,4,2021,2022,2,St. Louis,Missouri,USA,Active,https://ciderguide.com/black-bear-cider-co/
