Class,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Keeved Cider,🏆 Best in Class,Palmers Upland Cyder,Keeved Special Reserve,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Keeved Cider,🥇 Gold,Sisson & Smith,Keeved,,,,,,https://untappd.com/w/sisson-smith/229581
Keeved Cider,🥈 Silver,Cranborne Chase Cider,Dorsecco,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Keeved Cider,🥈 Silver,Rawlins Family Cider,Keeved Kingston Black,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥈 Silver,Rawlins Family Cider,Keeved Medium Sweet,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥈 Silver,Dr Rob Whale,Keeved,,,,,,
Keeved Cider,🥈 Silver,Dinnington Cider Press,Cidre Bouché Village,,,,,,
Keeved Cider,🥈 Silver,Hecks Cider,Keeved Dunkertons Late Sweet,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Keeved Cider,🥉 Bronze,Wyldlands,Keeved,,,,,,
Keeved Cider,🥉 Bronze,Rawlins Family Cider,Keeved Yarlington,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥉 Bronze,Rull Orchard,Orchard Blend 2023,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Keeved Cider,🥉 Bronze,Rull Orchard,Vibrant,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Keeved Cider,🥉 Bronze,Hitchcox Cider,Hitchcox Keeved,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Keeved Cider,🥉 Bronze,Dinnington Cider Press,Cidre Bouché,,,,,,
Bottle Fermented,🏆 Best in Class,John and Naomi Wakelin,Harromint House Cider,,,,,,
Bottle Fermented,🥈 Silver,Artistraw Cider,Bisquet,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Bottle Fermented,🥈 Silver,Wyldlands,Gold,,,,,,
Bottle Fermented,🥈 Silver,Ian Philp,Wyatts Naturally Sparkling Cider,,,,,,
Bottle Fermented,🥉 Bronze,Artistraw Cider,"She Loves Shrew (Yeah, Yeah, Yeah)",https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Bottle Fermented,🥉 Bronze,Chapel Sider,Inspiration,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Bottle Fermented,🥉 Bronze,Paul Rendell,Northleigh Cider,,,,,,
Bottle Fermented,🥉 Bronze,William Barnes,Padfield Cider,,,,,,
Bottle Fermented,🥉 Bronze,Little Pomona,"Kingston Black, Dragon Orchard, 2022",https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Bottle Fermented,🥉 Bronze,Abbey Orchards,Abbott's Secret 2023,,,,,,
Bottle Fermented,🥉 Bronze,Luke's Cider,Five Virtues,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Single Variety Cider,🏆 Best in Class,Bere Cider Company,Yarlington Mill,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Single Variety Cider,🥈 Silver,Heritage Cider Limited,Row 34 ( Redstreak),,,,,,
Single Variety Cider,🥈 Silver,Honey's Cider,Brown Snout Single Variety Cider,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111
Single Variety Cider,🥈 Silver,Bere Cider Company,Dabinett,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Single Variety Cider,🥈 Silver,Woodredding Cider and Perry,Kingston Black,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Single Variety Cider,🥈 Silver,Rawlins Family Cider,Keeved Kingston Black,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Single Variety Cider,🥈 Silver,Rawlins Family Cider,Yarlington Mill,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Single Variety Cider,🥈 Silver,Rawlins Family Cider,Somerset Redstreak,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Single Variety Cider,🥈 Silver,Little Pomona,"Kingston Black, Hill Farm, 2022",https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Single Variety Cider,🥈 Silver,Rull Orchard,Hmj,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Single Variety Cider,🥈 Silver,Shed Cider,"Still, Somerset Redstreak",https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Single Variety Cider,🥈 Silver,Steve Faulkner,Stoke Red,,,,,,
Single Variety Cider,🥈 Silver,Dr Rob Whale,Dabinett,,,,,,
Single Variety Cider,🥈 Silver,Perry’s Cider,Redstreak - Single Variety,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275
Single Variety Cider,🥈 Silver,Sweeting's Cider,Vintage Dry,,,,,,
Single Variety Cider,🥈 Silver,Thatchers Cider,Thatchers Three Counties,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063
Single Variety Cider,🥈 Silver,Stones Cider,Stones Dabinette,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537
Single Variety Cider,🥈 Silver,The Parrett Cider Company,Northwood,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Single Variety Cider,🥉 Bronze,Harry's Cider Company,Harry's Dabinett,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Single Variety Cider,🥉 Bronze,Artistraw Cider,Court Royal,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Single Variety Cider,🥉 Bronze,Northleigh Cider,Kingston Black,,,,,,
Single Variety Cider,🥉 Bronze,William Barnes,Padfield Cider: Kingston Black,,,,,,
Single Variety Cider,🥉 Bronze,Steve Faulkner,Yarlington Mill,,,,,,
Single Variety Cider,🥉 Bronze,Steve Faulkner,Kingston Black,,,,,,
Single Variety Cider,🥉 Bronze,Dr Rob Whale,Yarlington Mill,,,,,,
Single Variety Cider,🥉 Bronze,Perry’s Cider,Dabinett - Single Variety,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275
Single Variety Cider,🥉 Bronze,Sweeting's Cider,Naturally Delicious Craft Cider,,,,,,
Single Variety Cider,🥉 Bronze,Hitchcox Cider,Kingston Black,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Single Variety Cider,🥉 Bronze,Hitchcox Cider,Dabinet,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Single Variety Cider,🥉 Bronze,Butford Organics,Dabinett,https://butfordorganics.co.uk/,https://www.facebook.com/pages/Butford-Organics-Cider-Perry/364735440244899,https://www.instagram.com/butford_cider/,https://maps.google.com/?cid=16494845033472918948,,https://untappd.com/brewery/36638
Single Variety Cider,🥉 Bronze,Luke's Cider,Apple Of Discord - Yarlington Mill,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Single Variety Cider,🥉 Bronze,Tom Cernohous - Cidermil,One And Only Dabinett,,,,,,
Modern Cider,🏆 Best in Class,Little Pomona,Wading In,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Modern Cider,🥇 Gold,Kentish Pip,High Diver,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097
Modern Cider,🥇 Gold,Thatchers Cider,Thatchers Katy,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063
Modern Cider,🥈 Silver,Courtneys of Whimple,Dapple,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Modern Cider,🥈 Silver,Tinston Cider,Tinston Gateway 2021,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Modern Cider,🥈 Silver,Tinston Cider,Tinston Anatomy 2021,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Modern Cider,🥈 Silver,Broadpool Cider,Broadpool Cider,,,,,,
Modern Cider,🥈 Silver,BetterCider - Bristol University,Joanna Cider,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,
Modern Cider,🥈 Silver,Rull Orchard,Sunset,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Modern Cider,🥈 Silver,Wolds Wine Estate,Unhampered Sparkling Cider,https://woldswineestate.com/,https://www.facebook.com/woldswineestate,https://www.instagram.com/woldswineestate,https://maps.google.com/?cid=16032812922317610608,https://www.tripadvisor.com/Hotel_Review-g504074-d23448632,
Modern Cider,🥈 Silver,Rennie's Winslow Cider,Rennie's Winslow Cider,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208
Modern Cider,🥈 Silver,Abbey Orchards,Abbott's Secret 2023,,,,,,
Modern Cider,🥈 Silver,Tom Cernohous - Cidermil,Eastern Promises,,,,,,
Modern Cider,🥈 Silver,Tom Cernohous - Cidermil,Dawn Of Wigsthorpe,,,,,,
Modern Cider,🥉 Bronze,Chapel Sider,Garden Disco,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Modern Cider,🥉 Bronze,Dr Rob Whale,Modern Cider,,,,,,
Modern Cider,🥉 Bronze,Sisson & Smith,Modern Dry,,,,,,https://untappd.com/w/sisson-smith/229581
Perry Still,🏆 Best in Class,Dr Rob Whale,Perry,,,,,,
Perry Still,🥈 Silver,Rull Orchard,Still Perry,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Perry Still,🥈 Silver,Molly's and Jasmine's Cider,Brida,,,,,,
Perry Still,🥉 Bronze,Molly's and Jasmine's Cider,Tauriel,,,,,,
Perry Still,🥉 Bronze,Molly's and Jasmine's Cider,Pyrland Perry,,,,,,
Perry Still,🥉 Bronze,Dinnington Cider Press,Dragonfly Perry,,,,,,
Perry Carbonated,🏆 Best in Class,Hecks Cider,Keeved Oldfield Perry,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Perry Carbonated,🥈 Silver,Harry's Cider Company,Fine Sparkling Perry,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Perry Carbonated,🥈 Silver,Rull Orchard,Keeved Perry,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Perry Carbonated,🥈 Silver,Molly's and Jasmine's Cider,Vault 33 Blend,,,,,,
Perry Carbonated,🥈 Silver,Hecks Cider,Keeved Rock & Gin Perry,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Perry Carbonated,🥉 Bronze,Alex Hill,Bollhayes,,,,,,
Perry Carbonated,🥉 Bronze,Palmers Upland Cyder,Bottle Conditioned Perry,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Perry Carbonated,🥉 Bronze,Ganley & Naish Cider,No Divisions,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Perry Carbonated,🥉 Bronze,Little Pomona,Brut De Poiré 2021,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Perry Carbonated,🥉 Bronze,Molly's and Jasmine's Cider,Arwen,,,,,,
Perry Carbonated,🥉 Bronze,Molly's and Jasmine's Cider,Galadriel,,,,,,
Perry Carbonated,🥉 Bronze,Dinnington Cider Press,Dragonfly Perry,,,,,,
Perry Carbonated,🥉 Bronze,Dinnington Cider Press,Poiré,,,,,,
Farmhouse Dry,🏆 Best in Class,W-G Cider,W-G Farmhouse Cider,,https://www.facebook.com/WGFarmhouseCider/,,,,https://untappd.com/w/w-g-farmhouse-cider/558921
Farmhouse Dry,🥈 Silver,Alex Hill,Bollhayes,,,,,,
Farmhouse Dry,🥈 Silver,Loader's Cider,Loader's Dry Pytt,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Dry,🥈 Silver,John and Naomi Wakelin,Harromint House Cider,,,,,,
Farmhouse Dry,🥈 Silver,Win's Cider,Farmhouse Dry,,,,,,
Farmhouse Dry,🥈 Silver,Orchard 101,Abax,,,,,,
Farmhouse Dry,🥈 Silver,Orchard 101,Belos,,,,,,
Farmhouse Dry,🥈 Silver,Orchard 101,Doros,,,,,,
Farmhouse Dry,🥈 Silver,Shed Cider,Dry Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Dry,🥈 Silver,Ventons Devon Cyder,Skippy's Scrumpy,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Farmhouse Dry,🥈 Silver,Dinnington Cider Press,Dragonfly Cider - Dry,,,,,,
Farmhouse Dry,🥈 Silver,Ad Astra Cider,Ad Astra Dry,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Farmhouse Dry,🥈 Silver,Sisson & Smith,Dry #2,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Dry,🥉 Bronze,Alex Hill,Bollhayes,,,,,,
Farmhouse Dry,🥉 Bronze,Palmers Upland Cyder,Ty Du,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Dry,🥉 Bronze,Loader's Cider,Loader's Dry Yarmill,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Dry,🥉 Bronze,Loader's Cider,Loader's Longaller Dry,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Dry,🥉 Bronze,Courtneys of Whimple,Courtneys Dry,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Farmhouse Dry,🥉 Bronze,Moons Cider,Farmhouse Dry,,,,,,
Farmhouse Dry,🥉 Bronze,Rawlins Family Cider,Dry,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Dry,🥉 Bronze,Alan Berry,Blackmore Vale Dry Farmhouse Cider,,,,,,
Farmhouse Dry,🥉 Bronze,Shed Cider,Dry Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Dry,🥉 Bronze,Dr Rob Whale,Farmhouse Dry,,,,,,
Farmhouse Dry,🥉 Bronze,Sweeting's Cider,Monument Dry Cider,,,,,,
Farmhouse Dry,🥉 Bronze,Ad Astra Cider,Ad Astra Dry,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Farmhouse Dry,🥉 Bronze,Sisson & Smith,Dry #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Dry,🥉 Bronze,The Parrett Cider Company,Standard,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Farmhouse Medium,🏆 Best in Class,Palmers Upland Cyder,Rubber Chicken,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Medium,🥇 Gold,Shed Cider,Medium Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Medium,🥇 Gold,Dr Rob Whale,Farmhouse Medium,,,,,,
Farmhouse Medium,🥇 Gold,Sisson & Smith,Medium #2,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Medium,🥈 Silver,Moons Cider,Medium,,,,,,
Farmhouse Medium,🥈 Silver,Moons Cider,Medium,,,,,,
Farmhouse Medium,🥈 Silver,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Medium,🥈 Silver,Shed Cider,Medium Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Medium,🥈 Silver,Sisson & Smith,Medium #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Medium,🥉 Bronze,Alex Hill,Bollhayes,,,,,,
Farmhouse Medium,🥉 Bronze,Alex Hill,Bollhayes,,,,,,
Farmhouse Medium,🥉 Bronze,Loader's Cider,Loader's Medium Pytt,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Medium,🥉 Bronze,Loader's Cider,Loader's Medium Yarmill,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Medium,🥉 Bronze,Loader's Cider,Loader's Medium Longaller,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Medium,🥉 Bronze,John and Naomi Wakelin,Harromint House Cider,,,,,,
Farmhouse Medium,🥉 Bronze,Orchard 101,Epaphos,,,,,,
Farmhouse Medium,🥉 Bronze,Seven Trees Cider,Royal County,,,,,,
Farmhouse Medium,🥉 Bronze,Dinnington Cider Press,Dragonfly Cider - Medium,,,,,,
Farmhouse Sweet,🏆 Best in Class,Sisson & Smith,Sweet #2,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Sweet,🥈 Silver,Alex Hill,Bollhayes,,,,,,
Farmhouse Sweet,🥈 Silver,Palmers Upland Cyder,Cheeky Jackdaw,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Sweet,🥈 Silver,Shed Cider,Sweet Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Sweet,🥈 Silver,Dr Rob Whale,Farmhouse Sweet,,,,,,
Farmhouse Sweet,🥈 Silver,Sweeting's Cider,Monument Sweet Cider,,,,,,
Farmhouse Sweet,🥈 Silver,Ventons Devon Cyder,Sweet Maid In Devon,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Farmhouse Sweet,🥈 Silver,Dinnington Cider Press,Dragonfly Cider - Sweet,,,,,,
Farmhouse Sweet,🥉 Bronze,Dowding's,Dowding's Tower Brue Sweet Cider,,,,,,
Farmhouse Sweet,🥉 Bronze,Alex Hill,Bollhayes,,,,,,
Farmhouse Sweet,🥉 Bronze,Loader's Cider,Loader's Sweet Yarmill,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Sweet,🥉 Bronze,Loader's Cider,Loader's Sweet Longaller,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Farmhouse Sweet,🥉 Bronze,Moons Cider,Farmhouse Sweet Cider,,,,,,
Farmhouse Sweet,🥉 Bronze,Rawlins Family Cider,Sweet,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Sweet,🥉 Bronze,Shed Cider,Sweet Farmhouse,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Farmhouse Sweet,🥉 Bronze,Sisson & Smith,Sweet #1,,,,,,https://untappd.com/w/sisson-smith/229581
