Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Endless Orchard Cider,Washington,1,0,0,1,2024,2024,1,Chelan,Washington,Active,"<a href=""https://endlessorchardcider.com/"">Website</a>","<a href=""https://www.facebook.com/endlessorchardcider"">Facebook</a>","<a href=""https://www.instagram.com/endlessorchardcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=8631759352853643868"">Google</a>",,,"<a href=""https://untappd.com/w/endless-orchard-hard-pressed-cider/554146"">Untappd</a>"
Nashi Orchards,Washington,1,0,0,1,2024,2024,1,Vashon,Washington,Active,"<a href=""http://www.nashiorchards.com/"">Website</a>","<a href=""https://www.facebook.com/nashiorchards"">Facebook</a>","<a href=""https://www.instagram.com/nashi_orchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12360902013052761069"">Google</a>","<a href=""https://www.yelp.com/biz/nashi-orchards-winery-vashon"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58805-d9564025"">TripAdvisor</a>","<a href=""https://untappd.com/w/nashi-orchards/113169"">Untappd</a>"
Rack & Cloth,Oregon,1,0,0,1,2018,2018,1,Mosier,Oregon,Inactive,,,,,,,
Rain Barrel Ciderworks,Oregon,1,0,0,1,2021,2021,1,Baker City,Oregon,Inactive,,,,,,,
RAW Cider Co.,Oregon,1,0,0,1,2022,2022,1,Dayton,Oregon,Active,"<a href=""https://rawcider.com/"">Website</a>","<a href=""https://www.facebook.com/RAWciderco"">Facebook</a>","<a href=""https://www.instagram.com/rawcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=14719415897364830707"">Google</a>","<a href=""https://www.yelp.com/biz/raw-cider-company-dayton"">Yelp</a>",,"<a href=""https://untappd.com/Raw_Cider_Co"">Untappd</a>"
Rogue Ales & Spirits,Oregon,1,0,0,1,2014,2014,1,Newport,Oregon,Inactive,,,,,,,
^5 Cider,Oregon,0,1,0,1,2016,2016,1,Portland,Oregon,Inactive,,,,,,,
12 Bridge Ciderworks,Oregon,0,1,0,1,2022,2022,1,Oregon City,Oregon,Inactive,,,,,,,
Barmann Cellars,Washington,0,1,0,1,2024,2024,1,Everson,Washington,Active,"<a href=""https://www.barmanncellars.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100086931867334"">Facebook</a>","<a href=""https://www.instagram.com/barmanncellars"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277667669161055707"">Google</a>",,,"<a href=""https://untappd.com/w/542-cider-co/547362"">Untappd</a>"
Cambium Cider Co,British Columbia,0,1,0,1,2019,2019,1,Vernon,British Columbia,Active,"<a href=""https://www.cambiumcider.com/"">Website</a>","<a href=""https://www.facebook.com/cambiumcider"">Facebook</a>","<a href=""https://www.instagram.com/cambiumcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=6249839959535544019"">Google</a>","<a href=""https://www.yelp.com/biz/cambium-cider-vernon"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g154946-d26458661"">TripAdvisor</a>","<a href=""https://untappd.com/w/cambium-cider-co/143435"">Untappd</a>"
Chatter Creek Winery,Washington,0,1,0,1,2018,2018,1,Woodinville,Washington,Inactive,,,,,,,
Cyderish,Oregon,0,1,0,1,2021,2021,1,Eugene,Oregon,Inactive,,,,,,,
Heartland Ciderworks,Oregon,0,1,0,1,2023,2023,1,Rickreall,Oregon,Active,,"<a href=""https://www.facebook.com/HeartlandCiderworks"">Facebook</a>","<a href=""https://www.instagram.com/heartland_ciderworks/"">Instagram</a>",,,,"<a href=""https://untappd.com/HeartlandCiderworks"">Untappd</a>"
Hedgerow Cidery,Oregon,0,1,0,1,2015,2015,1,Dallas,Oregon,Inactive,,,,,,,
Lockhorn Cider House,Montana,0,1,0,1,2022,2022,1,Bozeman,Montana,Active,"<a href=""http://www.lockhornhardcider.com/"">Website</a>","<a href=""https://www.facebook.com/lockhorncider/"">Facebook</a>","<a href=""https://www.instagram.com/lockhorncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3319793704993492447"">Google</a>","<a href=""https://www.yelp.com/biz/lockhorn-cider-house-bozeman"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g45095-d10379574"">TripAdvisor</a>","<a href=""https://untappd.com/w/lockhorn-cider-house/108004"">Untappd</a>"
OR\WA Cider Collective,Oregon,0,1,0,1,2019,2019,1,Milwaukie,Oregon,Inactive,,,,,,,
Renaissance Orchards,Washington,0,1,0,1,2024,2024,1,Ferndale,Washington,Active,"<a href=""https://renaissanceorchards.com/"">Website</a>","<a href=""https://www.facebook.com/RenaissanceOrchardsCider/"">Facebook</a>","<a href=""https://www.instagram.com/renaissanceorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8299199662211416163"">Google</a>",,,"<a href=""https://untappd.com/RenaissanceOrchards"">Untappd</a>"
Upside Cider,British Columbia,0,1,0,1,2021,2021,1,Kelowna,British Columbia,Active,"<a href=""https://www.upsidecider.com/"">Website</a>","<a href=""https://www.facebook.com/upside.ciderBC"">Facebook</a>","<a href=""https://www.instagram.com/upside.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7631322191789606074"">Google</a>","<a href=""https://www.yelp.com/biz/upside-cider-and-farm-market-kelowna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g154933-d17836371"">TripAdvisor</a>","<a href=""https://untappd.com/w/upside-cider/435440"">Untappd</a>"
Ventimiglia Cellars,Washington,0,1,0,1,2013,2013,1,Manson,Washington,Inactive,,,,,,,
Wards Cider,British Columbia,0,1,0,1,2017,2017,1,Kelowna,British Columbia,Active,"<a href=""https://www.wardshardcider.com/"">Website</a>","<a href=""https://www.facebook.com/WardsHardAppleCider/"">Facebook</a>","<a href=""https://www.instagram.com/WardsCidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16878260899987568393"">Google</a>","<a href=""https://www.yelp.com/biz/the-view-winery-and-vineyard-kelowna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154933-d3547867"">TripAdvisor</a>","<a href=""https://untappd.com/w/wards-cidery/134573"">Untappd</a>"
Archibald James,Washington,0,0,1,1,2022,2022,1,Leavenworth,Washington,Active,"<a href=""https://archibaldjames.com/"">Website</a>","<a href=""https://www.facebook.com/archibald.james.wine.cider"">Facebook</a>","<a href=""https://instagram.com/archibald.james.wine.cider"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/archibald-james-wine-and-cider-leavenworth-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58560-d15684809"">TripAdvisor</a>","<a href=""https://untappd.com/ArchibaldJamesCiderWorks"">Untappd</a>"
Freewater Cider and Wine Company,Oregon,0,0,1,1,2021,2021,1,Milton-Freewater,Oregon,Active,"<a href=""http://www.freewatercider.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3598112635185277642"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g51971-d23305550"">TripAdvisor</a>","<a href=""https://untappd.com/w/freewater-cider-co/419915"">Untappd</a>"
Happy Valley Ciderworks,Oregon,0,0,1,1,2019,2019,1,Clackamas,Oregon,Inactive,,,,,,,
Idun Cider,Washington,0,0,1,1,2019,2019,1,Seattle,Washington,Inactive,,,,,,,
Lost Giants Cider Company,Washington,0,0,1,1,2024,2024,1,Bellingham,Washington,Active,"<a href=""https://lostgiantscider.com/"">Website</a>","<a href=""https://www.facebook.com/LostGiantsCider"">Facebook</a>","<a href=""https://www.instagram.com/lostgiantsciderco"">Instagram</a>","<a href=""https://maps.google.com/?cid=3699889965366654678"">Google</a>","<a href=""https://www.yelp.com/biz/lost-giants-cider-company-bellingham"">Yelp</a>",,"<a href=""https://untappd.com/w/lost-giants-cider-company/395484"">Untappd</a>"
Riley's Cidery,British Columbia,0,0,1,1,2022,2022,1,Bowen Island,British Columbia,Active,"<a href=""https://www.rileyscider.com/"">Website</a>","<a href=""https://www.facebook.com/rileyscidery/"">Facebook</a>","<a href=""https://www.instagram.com/rileyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9203737158800520029"">Google</a>",,,"<a href=""https://untappd.com/RileysCidery"">Untappd</a>"
Stray Cider,Oregon,0,0,1,1,2024,2024,1,Clackamas,Oregon,Active,,,"<a href=""https://www.instagram.com/straycider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/stray-cider/538425"">Untappd</a>"
Tumalo Cider,Oregon,0,0,1,1,2018,2018,1,Bend,Oregon,Active,"<a href=""http://www.tumalocider.com/"">Website</a>","<a href=""https://www.facebook.com/tumalocider/"">Facebook</a>","<a href=""https://www.instagram.com/tumalocider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=522863006020173702"">Google</a>","<a href=""https://www.yelp.com/biz/tumalo-cider-bend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51766-d19974086"">TripAdvisor</a>","<a href=""https://untappd.com/w/tumalo-cider-co/276596"">Untappd</a>"
Whitewood Cider Co.,Washington,0,0,1,1,2015,2015,1,Olympia,Washington,Active,"<a href=""https://www.whitewoodcider.com/"">Website</a>","<a href=""https://www.facebook.com/WhitewoodCider/"">Facebook</a>","<a href=""https://www.instagram.com/wwcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17959127106154260964"">Google</a>","<a href=""https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia"">Yelp</a>",,"<a href=""https://untappd.com/w/whitewood-cider-co/9380"">Untappd</a>"
Working Hands Fermentation,Oregon,0,0,1,1,2019,2019,1,Hood River,Oregon,Active,"<a href=""https://www.workinghandsfermentation.com/"">Website</a>","<a href=""https://www.facebook.com/workinghandsbeer"">Facebook</a>","<a href=""https://www.instagram.com/workinghandsbeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5832524138589986526"">Google</a>","<a href=""https://www.yelp.com/biz/working-hands-fermentation-no-title"">Yelp</a>",,"<a href=""https://untappd.com/WorkingHandsBeer"">Untappd</a>"
Total,,135,153,138,426,,,,,,,,,,,,,
