Name,Town/City,Region,Country,Primary Type,Google,Website,Facebook,Instagram,Yelp,TripAdvisor,Untappd,GLINTCAP,AKA
Mill Bridge Winery,Pigeon Forge,Tennessee,United States,Wine,"<a href=""https://maps.google.com/?cid=2315023363076254103"">Google</a>","<a href=""http://www.millbridgewinery.com/"">Website</a>",,,"<a href=""https://www.yelp.com/biz/mill-bridge-winery-pigeon-forge"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g55270-d10252461"">TripAdvisor</a>","<a href=""https://untappd.com/w/mill-bridge-winery/280831"">Untappd</a>","<a href=""https://ciderguide.com/mill-bridge-winery/"">GLINTCAP</a>",
Mill Haus Cider,Eatonville,Washington,United States,Cider,"<a href=""https://maps.google.com/?cid=13632179647129119778"">Google</a>","<a href=""https://www.drinkmillhaus.com/"">Website</a>","<a href=""https://www.facebook.com/drinkmillhaus/"">Facebook</a>","<a href=""https://www.instagram.com/drinkmillhaus/"">Instagram</a>","<a href=""https://www.yelp.com/biz/mill-haus-cider-eatonville-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58449-d24114866"">TripAdvisor</a>","<a href=""https://untappd.com/w/mill-haus-hard-cider/408680"">Untappd</a>",,
Minneapolis Cider Company,Minneapolis,Minnesota,United States,Cider,"<a href=""https://maps.google.com/?cid=7331255600636952675"">Google</a>","<a href=""https://minneapoliscider.co/"">Website</a>","<a href=""https://www.facebook.com/MinneapolisCider/"">Facebook</a>","<a href=""https://www.instagram.com/minneapoliscider"">Instagram</a>","<a href=""https://www.yelp.com/biz/minneapolis-cider-company-minneapolis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g43323-d15760144"">TripAdvisor</a>","<a href=""https://untappd.com/w/lionheart-cider/207630"">Untappd</a>","<a href=""https://ciderguide.com/minneapolis-cider-company/"">GLINTCAP</a>",
Mission-Trail Cider Company,Cholame,California,United States,Cider,"<a href=""https://maps.google.com/?cid=8198976845699582216"">Google</a>","<a href=""https://www.missiontrailranches.com/"">Website</a>",,"<a href=""https://www.instagram.com/mission__trail/"">Instagram</a>","<a href=""https://www.yelp.com/biz/mission-trail-cider-house-shandon"">Yelp</a>",,"<a href=""https://untappd.com/w/mission-trail-cider-co/233138"">Untappd</a>",,
Mojave Brewing Company,Henderson,Nevada,United States,Beer,"<a href=""https://maps.google.com/?cid=14282263278030228656"">Google</a>",,"<a href=""https://www.facebook.com/MojaveBrewingCo"">Facebook</a>","<a href=""https://www.instagram.com/mojavebrewingcompany"">Instagram</a>","<a href=""https://www.yelp.com/biz/mojave-brewing-henderson"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g45953-d20072109"">TripAdvisor</a>","<a href=""https://untappd.com/w/mojave-brewing-company/35718"">Untappd</a>",,
Molley Chomper Hard Cider,Lansing,North Carolina,United States,Cider,"<a href=""https://maps.google.com/?cid=8244324459499359621"">Google</a>","<a href=""http://www.molleychomper.com/"">Website</a>","<a href=""https://www.facebook.com/MolleyChomper"">Facebook</a>","<a href=""https://www.instagram.com/molleychomper/"">Instagram</a>","<a href=""https://www.yelp.com/biz/molley-chomper-lansing"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g49273-d12543129"">TripAdvisor</a>","<a href=""https://untappd.com/w/molley-chomper/267316"">Untappd</a>",,
Monroe Bay Vineyard,Colonial Beach,Virginia,United States,Wine,"<a href=""https://maps.google.com/?cid=14568271489218818209"">Google</a>","<a href=""http://www.monroebaywine.com/"">Website</a>","<a href=""https://www.facebook.com/MonroeBayWine/"">Facebook</a>",,"<a href=""https://www.yelp.com/biz/monroe-bay-vineyard-colonial-beach"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57628-d15011903"">TripAdvisor</a>","<a href=""https://untappd.com/w/monroe-bay-vineyard/297508"">Untappd</a>",,
Montana CiderWorks,Darby,Montana,United States,Cider,,"<a href=""http://montanacider.com/"">Website</a>","<a href=""https://www.facebook.com/Montana-CiderWorks-208483272577248/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/montana-ciderworks/33843"">Untappd</a>","<a href=""https://ciderguide.com/montana-ciderworks/"">GLINTCAP</a>",
Moon Dancer Winery,Wrightsville,Pennsylvania,United States,Wine,"<a href=""https://maps.google.com/?cid=3222311711833527172"">Google</a>","<a href=""http://moondancerwinery.com/"">Website</a>","<a href=""https://www.facebook.com/moondancerwinery"">Facebook</a>","<a href=""https://www.instagram.com/moondancerwinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/moon-dancer-winery-wrightsville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g54032-d2299611"">TripAdvisor</a>","<a href=""https://untappd.com/w/moon-dancer-winery-and-cider-house/180202"">Untappd</a>",,
Moonlight Meadery,Pittsfield,New Hampshire,United States,Mead,"<a href=""https://maps.google.com/?cid=14659583396868823358"">Google</a>","<a href=""https://www.moonlightmeadery.com/"">Website</a>","<a href=""https://www.facebook.com/MoonlightMeadery/"">Facebook</a>","<a href=""https://www.instagram.com/moonlightmeadery/"">Instagram</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g46205-d23600894"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g46205-d23600894"">TripAdvisor</a>","<a href=""https://untappd.com/w/moonlight-meadery/9900"">Untappd</a>",,
Moulton Falls Winery,Yacolt,Washington,United States,Wine,"<a href=""https://maps.google.com/?cid=13803411228861388906"">Google</a>","<a href=""http://moultonfallswinery.com/"">Website</a>","<a href=""https://www.facebook.com/MoultonFallsWinery"">Facebook</a>","<a href=""https://www.instagram.com/moulton_falls_winery_and_cider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/moulton-falls-winery-yacolt"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58837-d4022293"">TripAdvisor</a>","<a href=""https://untappd.com/w/moulton-falls-winery/250609"">Untappd</a>",,
Mountain West Cider Company,Salt Lake City,Utah,United States,Cider,"<a href=""https://maps.google.com/?cid=16538924633378887108"">Google</a>","<a href=""http://mountainwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/MountainWestHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/mountainwestcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/mountain-west-cider-salt-lake-city"">Yelp</a>",,"<a href=""https://untappd.com/w/mountain-west-hard-cider/235312"">Untappd</a>","<a href=""https://ciderguide.com/mountain-west-cider-company/"">GLINTCAP</a>",
Mt. Defiance Cidery & Distillery,Middleburg,Virginia,United States,Cider,"<a href=""https://maps.google.com/?cid=18015401412423918259"">Google</a>","<a href=""http://www.mtdefiance.com/"">Website</a>","<a href=""https://www.facebook.com/mtdefiancecider/"">Facebook</a>","<a href=""https://www.instagram.com/mtdefiance/"">Instagram</a>","<a href=""https://www.yelp.com/biz/mt-defiance-cider-barn-middleburg"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57963-d21238075"">TripAdvisor</a>","<a href=""https://untappd.com/w/mt-defiance-cidery-and-distillery/157316"">Untappd</a>",,
Muse Cider Bar,Haydenville,Massachusetts,United States,Cider,"<a href=""https://maps.google.com/?cid=10999039092052473571"">Google</a>","<a href=""https://www.museciderbar.com/"">Website</a>",,"<a href=""https://www.instagram.com/museciderbar/"">Instagram</a>","<a href=""https://www.yelp.com/biz/muse-cider-bar-williamsburg"">Yelp</a>",,"<a href=""https://untappd.com/w/muse-cidery/509714"">Untappd</a>",,Valley View Farm
Nashi Orchards,Vashon,Washington,United States,Cider,"<a href=""https://maps.google.com/?cid=12360902013052761069"">Google</a>","<a href=""http://www.nashiorchards.com/"">Website</a>","<a href=""https://www.facebook.com/nashiorchards"">Facebook</a>","<a href=""https://www.instagram.com/nashi_orchards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/nashi-orchards-winery-vashon"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58805-d9564025"">TripAdvisor</a>","<a href=""https://untappd.com/w/nashi-orchards/113169"">Untappd</a>","<a href=""https://ciderguide.com/nashi-orchards/"">GLINTCAP</a>",
Pear Up Cider,East Wenatchee,Washington,United States,Cider,"<a href=""https://maps.google.com/?cid=14063996714132835886"">Google</a>","<a href=""https://www.pearupcider.com/"">Website</a>","<a href=""https://www.facebook.com/pearupcider"">Facebook</a>",,,,"<a href=""https://untappd.com/w/neigel-vintners/135343"">Untappd</a>",,"The Orchard: Cider, Seltzer & Mead House"
New England Cider Company,Wallingford,Connecticut,United States,Cider,"<a href=""https://maps.google.com/?cid=2393864296090004660"">Google</a>","<a href=""http://www.newenglandcider.com/"">Website</a>","<a href=""https://www.facebook.com/NewEnglandCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/newenglandcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/new-england-cider-company-wallingford"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g33959-d12857536"">TripAdvisor</a>","<a href=""https://untappd.com/w/new-england-cider-company/147309"">Untappd</a>",,
New Mexico Hard Cider,Santa Fe,New Mexico,United States,Cider,"<a href=""https://maps.google.com/?cid=436835158583593504"">Google</a>","<a href=""https://www.nmhardcider.com/"">Website</a>","<a href=""https://www.facebook.com/nmcider"">Facebook</a>","<a href=""https://www.instagram.com/nmcider"">Instagram</a>","<a href=""https://www.yelp.com/biz/new-mexico-hard-cider-taproom-santa-fe"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g60958-d12579086"">TripAdvisor</a>","<a href=""https://untappd.com/w/new-mexico-hard-cider/171283"">Untappd</a>",,
New York Cider Company,Ithaca,New York,United States,Cider,"<a href=""https://maps.google.com/?cid=9732288801442577727"">Google</a>","<a href=""https://www.nyciderco.com/"">Website</a>",,,,,"<a href=""https://untappd.com/w/new-york-cider-company/382724"">Untappd</a>",,
Newport Vineyards,Middletown,Rhode Island,United States,Wine,"<a href=""https://maps.google.com/?cid=11337956862474426939"">Google</a>","<a href=""http://www.newportvineyards.com/"">Website</a>",,,"<a href=""https://www.yelp.com/biz/newport-vineyards-and-winery-middletown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g54095-d560105"">TripAdvisor</a>","<a href=""https://untappd.com/w/newport-vineyards/18154"">Untappd</a>",,
Newtopia Cyder,San Diego,California,United States,Cider,"<a href=""https://maps.google.com/?cid=12830879160117035367"">Google</a>","<a href=""http://www.drinknewtopia.com/"">Website</a>","<a href=""https://www.facebook.com/NewtopiaCyder"">Facebook</a>","<a href=""https://www.instagram.com/newtopiacyder/"">Instagram</a>",,,,,
Nine Pin Cider,Albany,New York,United States,Cider,"<a href=""https://maps.google.com/?cid=2997433588563467926"">Google</a>","<a href=""https://www.ninepincider.com/"">Website</a>","<a href=""https://www.facebook.com/ninepincider/"">Facebook</a>","<a href=""https://www.instagram.com/ninepincider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/nine-pin-cider-albany"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29786-d6412410"">TripAdvisor</a>","<a href=""https://untappd.com/w/nine-pin-cider-works/108520"">Untappd</a>","<a href=""https://ciderguide.com/nine-pin-cider/"">GLINTCAP</a>",
Noble Cider,Asheville,North Carolina,United States,Cider,"<a href=""https://maps.google.com/?cid=10806279487860629423"">Google</a>","<a href=""http://www.noblecider.com/"">Website</a>","<a href=""https://www.facebook.com/NobleCider"">Facebook</a>","<a href=""https://www.instagram.com/noble_cider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/noble-cider-asheville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60742-d8604019"">TripAdvisor</a>","<a href=""https://untappd.com/w/noble-cider/77407"">Untappd</a>","<a href=""https://ciderguide.com/noble-cider/"">GLINTCAP</a>",
North 2 South Cider Works,Lake City,Georgia,United States,Cider,"<a href=""https://maps.google.com/?cid=9175056465339025801"">Google</a>",,"<a href=""https://www.facebook.com/n2sciderworks"">Facebook</a>","<a href=""https://www.instagram.com/n2sciderworks/"">Instagram</a>","<a href=""https://www.yelp.com/biz/north-2-south-cider-works-lake-city"">Yelp</a>",,"<a href=""https://untappd.com/w/north-2-south-cider-works/369362"">Untappd</a>",,
North Canyon Cider Company,Camino,California,United States,Cider,"<a href=""https://maps.google.com/?cid=15474272377040798709"">Google</a>","<a href=""http://northcanyoncider.com/"">Website</a>","<a href=""https://www.facebook.com/NorthCanyonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/NorthCanyonCider"">Instagram</a>","<a href=""https://www.yelp.com/biz/north-canyon-cider-company-camino-2"">Yelp</a>",,"<a href=""https://untappd.com/w/north-canyon-cider-co/366979"">Untappd</a>",,
North Country Hard Cider,Rollinsford,New Hampshire,United States,Cider,"<a href=""https://maps.google.com/?cid=11688864600451179632"">Google</a>","<a href=""https://www.northcountryhardcider.com/"">Website</a>","<a href=""https://www.facebook.com/northcountryhardcider/"">Facebook</a>","<a href=""https://www.instagram.com/northcountryhardcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/north-country-hard-cider-rollinsford"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g46214-d10198994"">TripAdvisor</a>","<a href=""https://untappd.com/w/north-country-hard-cider-company/169804"">Untappd</a>",,
Norumbega Cidery,New Gloucester,Maine,United States,Cider,"<a href=""https://maps.google.com/?cid=10861503905248700570"">Google</a>","<a href=""http://www.norumbegacidery.com/"">Website</a>","<a href=""https://www.facebook.com/norumbega.cidery"">Facebook</a>","<a href=""https://www.instagram.com/norumbegacidery"">Instagram</a>","<a href=""https://www.yelp.com/biz/norumbega-cidery-new-gloucester"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g40758-d17561640"">TripAdvisor</a>","<a href=""https://untappd.com/w/norumbega-cidery-llc/167610"">Untappd</a>",,
Number 12 Cider,Minneapolis,Minnesota,United States,Cider,"<a href=""https://maps.google.com/?cid=2535435254747381286"">Google</a>","<a href=""http://www.number12ciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/number12cider"">Facebook</a>","<a href=""https://www.instagram.com/number12cider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/number-twelve-cider-minneapolis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g43323-d19494391"">TripAdvisor</a>","<a href=""https://untappd.com/w/number-12-cider-house/201114"">Untappd</a>","<a href=""https://ciderguide.com/number-12-cider/"">GLINTCAP</a>",
OK Cider Co,Oklahoma City,Oklahoma,United States,Cider,"<a href=""https://maps.google.com/?cid=14630301903407867537"">Google</a>","<a href=""https://okciderco.com/"">Website</a>","<a href=""https://www.facebook.com/okciderco/"">Facebook</a>","<a href=""https://www.instagram.com/okciderco"">Instagram</a>","<a href=""https://www.yelp.com/biz/ok-cider-co-oklahoma-city-3"">Yelp</a>",,"<a href=""https://untappd.com/w/ok-cider-co/340369"">Untappd</a>","<a href=""https://ciderguide.com/ok-cider-co/"">GLINTCAP</a>",
Old Hill Cider,Timberville,Virginia,United States,Cider,"<a href=""https://maps.google.com/?cid=9342034920472670388"">Google</a>","<a href=""https://www.showaltersorchard.com/"">Website</a>","<a href=""https://www.facebook.com/OldHillCider"">Facebook</a>","<a href=""https://www.instagram.com/oldhillcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/old-hill-hard-cider-timberville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58247-d11916665"">TripAdvisor</a>","<a href=""https://untappd.com/w/old-hill-hard-cider/32748"">Untappd</a>","<a href=""https://ciderguide.com/old-hill-cider/"">GLINTCAP</a>",Showalter's Orchard
Old Settlers Cider,Alstead,New Hampshire,United States,Cider,,,,"<a href=""https://www.instagram.com/oldsettlerscider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/old-settlers-cider/285569"">Untappd</a>",,
Old Stone Cider,Lewisville,Pennsylvania,United States,Cider,"<a href=""https://maps.google.com/?cid=15301622259561826535"">Google</a>","<a href=""http://www.oldstonecider.com/"">Website</a>","<a href=""https://www.facebook.com/oldstonecider/"">Facebook</a>","<a href=""https://www.instagram.com/old.stone.cider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/old-stone-cider-lewisville"">Yelp</a>",,"<a href=""https://untappd.com/w/old-stone-cider/312161"">Untappd</a>",,
Old Trade Brewery & Cidery,Brandy Station,Virginia,United States,Beer,"<a href=""https://maps.google.com/?cid=3851137081521067286"">Google</a>","<a href=""https://www.oldtradebrewery.com/"">Website</a>","<a href=""https://www.facebook.com/oldtradebrewery"">Facebook</a>","<a href=""https://www.instagram.com/oldtradebrewery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/old-trade-brewery-brandy-station"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57535-d12635130"">TripAdvisor</a>","<a href=""https://untappd.com/w/old-trade-brewery/340384"">Untappd</a>",,
Oliver Winery,Bloomington,Indiana,United States,Wine,"<a href=""https://maps.google.com/?cid=6073108493371819556"">Google</a>","<a href=""http://www.oliverwinery.com/"">Website</a>","<a href=""https://www.facebook.com/oliverwinery"">Facebook</a>","<a href=""https://www.instagram.com/oliverwinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/oliver-winery-bloomington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g36942-d612831"">TripAdvisor</a>","<a href=""https://untappd.com/w/oliver-winery/6024"">Untappd</a>",,Beanblossom Hard Cider
One Tree Hard Cider,Spokane,Washington,United States,Cider,"<a href=""https://maps.google.com/?cid=3782079883535213089"">Google</a>","<a href=""http://www.onetreehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/OneTreeHardCider"">Facebook</a>","<a href=""https://www.instagram.com/onetreecider"">Instagram</a>","<a href=""https://www.yelp.com/biz/one-tree-hard-cider-spokane-valley"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58759-d12802835"">TripAdvisor</a>","<a href=""https://untappd.com/w/one-tree-hard-cider/141397"">Untappd</a>",,
Orchard Girls,Kingfield,Maine,United States,Cider,"<a href=""https://maps.google.com/?cid=2486607221948549190"">Google</a>","<a href=""http://orchardgirls.com/"">Website</a>","<a href=""https://www.facebook.com/orchardgirlscider/"">Facebook</a>","<a href=""https://www.instagram.com/orchardgirlscider"">Instagram</a>","<a href=""https://www.yelp.com/biz/orchard-girls-cidery-kingfield"">Yelp</a>",,"<a href=""https://untappd.com/w/orchard-girls/420976"">Untappd</a>",,
Orchard Hill Cider Mill,New Hampton,New York,United States,Cider,"<a href=""https://maps.google.com/?cid=639324896791929360"">Google</a>","<a href=""https://orchardhillcidermill.com/"">Website</a>",,"<a href=""https://www.instagram.com/orchardhillny/"">Instagram</a>","<a href=""https://www.yelp.com/biz/orchard-hill-cider-mill-new-hampton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48237-d8567457"">TripAdvisor</a>","<a href=""https://untappd.com/w/orchard-hill-cider-mill/115211"">Untappd</a>",,Soons Orchards
Original Sin Cider,New York,New York,United States,Cider,,"<a href=""http://www.origsin.com/"">Website</a>","<a href=""https://www.facebook.com/sincider/"">Facebook</a>","<a href=""https://www.instagram.com/originalsincider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/original-sin/6200"">Untappd</a>","<a href=""https://ciderguide.com/original-sin-cider/"">GLINTCAP</a>",
Original Stump Blower Ciderworks,Lakeville,New York,United States,Cider,"<a href=""https://maps.google.com/?cid=16325230189000075488"">Google</a>","<a href=""https://www.osbciderworks.com/"">Website</a>",,,"<a href=""https://www.yelp.com/biz/original-stump-blower-ciderworks-lakeville"">Yelp</a>",,"<a href=""https://untappd.com/w/original-stump-blower-ciderworks/286023"">Untappd</a>",,
Oyster River Winegrowers,Warren,Maine,United States,Wine,"<a href=""https://maps.google.com/?cid=5754201811702903070"">Google</a>","<a href=""http://www.oysterriverwine.com/"">Website</a>","<a href=""https://www.facebook.com/oysterriverwinegrowers/"">Facebook</a>","<a href=""https://www.instagram.com/oysterriverwinegrowers/"">Instagram</a>",,,"<a href=""https://untappd.com/w/oyster-river-winegrowers/227001"">Untappd</a>",,
Palmer Brewery and Cider House,Albuquerque,New Mexico,United States,Beer,"<a href=""https://maps.google.com/?cid=10316892422713216149"">Google</a>",,"<a href=""https://www.facebook.com/palmerbrewery"">Facebook</a>",,"<a href=""https://www.yelp.com/biz/palmer-brewery-and-cider-house-albuquerque"">Yelp</a>",,"<a href=""https://untappd.com/w/palmer-brewery-and-cider-house/258881"">Untappd</a>",,
Paper Moon Vineyards,Vermilion,Ohio,United States,Wine,"<a href=""https://maps.google.com/?cid=1240760623136536704"">Google</a>","<a href=""http://www.papermoonvineyards.com/"">Website</a>","<a href=""https://www.facebook.com/papermoonvineyards"">Facebook</a>","<a href=""https://www.instagram.com/papermoonvineyards"">Instagram</a>","<a href=""https://www.yelp.com/biz/paper-moon-vineyards-vermilion"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51082-d3244494"">TripAdvisor</a>","<a href=""https://untappd.com/w/paper-moon-vineyards/193187"">Untappd</a>",,
Paradise Ciders,Honolulu,Hawaii,United States,Cider,"<a href=""https://maps.google.com/?cid=3640610953233511216"">Google</a>","<a href=""http://www.paradiseciders.com/"">Website</a>","<a href=""https://www.facebook.com/paradiseciders/"">Facebook</a>","<a href=""https://www.instagram.com/paradiseciders/"">Instagram</a>","<a href=""https://www.yelp.com/biz/paradise-ciders-honolulu"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g60982-d17377346"">TripAdvisor</a>","<a href=""https://untappd.com/w/paradise-ciders/312450"">Untappd</a>",,
Pennings Farm Cidery,Warwick,New York,United States,Cider,"<a href=""https://maps.google.com/?cid=13447781733504940824"">Google</a>","<a href=""http://www.penningscidery.com/"">Website</a>",,,"<a href=""https://www.yelp.com/biz/pennings-farm-market-warwick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48804-d4588614"">TripAdvisor</a>","<a href=""https://untappd.com/w/pennings-farm-cidery/87270"">Untappd</a>",,
Philo Apple Farm,Philo,California,United States,Cider,"<a href=""https://maps.google.com/?cid=1455581767233613211"">Google</a>","<a href=""http://www.philoapplefarm.com/"">Website</a>",,"<a href=""https://www.instagram.com/philoapplefarm/"">Instagram</a>","<a href=""https://www.yelp.com/biz/philo-apple-farm-philo-2"">Yelp</a>",,"<a href=""https://untappd.com/w/philo-apple-farm/34557"">Untappd</a>",,
Pier City Cider,Ventura,California,United States,Cider,"<a href=""https://maps.google.com/?cid=4223569126546870931"">Google</a>","<a href=""http://piercitycider.com/"">Website</a>","<a href=""https://www.facebook.com/piercitycider/"">Facebook</a>","<a href=""https://www.instagram.com/piercitycider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/pier-city-cider-ventura"">Yelp</a>",,"<a href=""https://untappd.com/w/pier-city-cider-house/436386"">Untappd</a>",,
Ploughman Cider,Gettysburg,Pennsylvania,United States,Cider,"<a href=""https://maps.google.com/?cid=15758452568129086078"">Google</a>","<a href=""https://www.ploughmancider.com/"">Website</a>","<a href=""https://www.facebook.com/PloughmanCider/"">Facebook</a>","<a href=""https://www.instagram.com/ploughmancider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/ploughman-farm-cider-taproom-gettysburg"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g60798-d23897295"">TripAdvisor</a>","<a href=""https://untappd.com/w/ploughman-cider/309732"">Untappd</a>","<a href=""https://ciderguide.com/ploughman-cider/"">GLINTCAP</a>",
Po' Boy Brewery,Port Jefferson Station,New York,United States,Beer,"<a href=""https://maps.google.com/?cid=18415357398810529309"">Google</a>","<a href=""http://www.poboybrewery.com/"">Website</a>",,,"<a href=""https://www.yelp.com/biz/poboy-brewery-port-jefferson-station"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48431-d12193562"">TripAdvisor</a>","<a href=""https://untappd.com/w/poboy-brewery/177099"">Untappd</a>",,
Pony Shack Cider,Boxborough,Massachusetts,United States,Cider,"<a href=""https://maps.google.com/?cid=6079788624169346761"">Google</a>","<a href=""https://www.ponyshackcider.com/"">Website</a>","<a href=""https://www.facebook.com/ponyshack/"">Facebook</a>","<a href=""https://www.instagram.com/ponyshackcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/pony-shack-cider-boxborough"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41470-d14790615"">TripAdvisor</a>","<a href=""https://untappd.com/w/pony-shack-cider/235037"">Untappd</a>",,
Poochie's Hooch Urban Cidery,San Diego,California,United States,Cider,"<a href=""https://maps.google.com/?cid=13170709452456103892"">Google</a>","<a href=""https://poochieshoochcidery.com/"">Website</a>","<a href=""https://www.facebook.com/PoochiesHooch/"">Facebook</a>","<a href=""https://www.instagram.com/PoochiesHooch"">Instagram</a>","<a href=""https://www.yelp.com/biz/poochies-hooch-urban-cidery-san-diego"">Yelp</a>",,"<a href=""https://untappd.com/w/poochie-s-hooch/277752"">Untappd</a>",,
Portersfield Cider,Pownal,Maine,United States,Cider,"<a href=""https://maps.google.com/?cid=15131843143212544489"">Google</a>","<a href=""https://www.portersfieldcider.com/"">Website</a>","<a href=""https://www.facebook.com/portersfieldcider"">Facebook</a>","<a href=""https://www.instagram.com/portersfield_cider"">Instagram</a>","<a href=""https://www.yelp.com/biz/portersfield-cider-pownal"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g40828-d14787659"">TripAdvisor</a>","<a href=""https://untappd.com/w/portersfield-cider/216472"">Untappd</a>",,
Portland Cider Company,Clackamas,Oregon,United States,Cider,"<a href=""https://maps.google.com/?cid=5897814277091816079"">Google</a>","<a href=""http://portlandcider.com/"">Website</a>","<a href=""https://www.facebook.com/portlandcider"">Facebook</a>","<a href=""https://www.instagram.com/portlandcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/portland-cider-company-clackamas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793"">TripAdvisor</a>","<a href=""https://untappd.com/w/portland-cider-company/56260"">Untappd</a>","<a href=""https://ciderguide.com/portland-cider-company/"">GLINTCAP</a>",
Potter's Craft Cider,Charlottesville,Virginia,United States,Cider,"<a href=""https://maps.google.com/?cid=5866852060832925678"">Google</a>","<a href=""https://potterscraftcider.com/"">Website</a>","<a href=""https://www.facebook.com/potterscraftcider"">Facebook</a>","<a href=""https://www.instagram.com/potterscraftcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/potters-craft-cider-charlottesville-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57592-d19722718"">TripAdvisor</a>","<a href=""https://untappd.com/w/potters-craft-cider/30119"">Untappd</a>","<a href=""https://ciderguide.com/potters-craft-cider/"">GLINTCAP</a>",
Prima Cider,Long Grove,Illinois,United States,Cider,,"<a href=""http://www.primacider.com/"">Website</a>","<a href=""https://www.facebook.com/primacider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/prima-cider/35782"">Untappd</a>","<a href=""https://ciderguide.com/prima-cider/"">GLINTCAP</a>",
Quantum Leap Winery,Orlando,Florida,United States,Wine,,"<a href=""https://quantumleapwinery.com/"">Website</a>","<a href=""https://www.facebook.com/QuantumLeapWinery/"">Facebook</a>","<a href=""https://www.instagram.com/quantumleapwinery/"">Instagram</a>",,,"<a href=""https://untappd.com/w/quantum-leap-winery/237930"">Untappd</a>",,Pedaler's Hard Cider
