Style,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Bottle Fermented,🏆 Best in Class,Skyborry Cider & Perry,Rural Method 2018,https://skyborrycider.co.uk/,,https://www.instagram.com/skyborrycider/,,,https://untappd.com/w/skyborry/117846
Bottle Fermented,🥇 Gold,Seidr Ci Ddu,Premium whole juice sparkling cider,https://www.ciddu.co.uk/,,,https://maps.google.com/?cid=13600510542486755126,,https://untappd.com/w/seidr-ci-ddu/544489
Bottle Fermented,🥉 Bronze,Abbey Orchards,Traditional Bottle Conditioned Cider,,,,,,
Bottle Fermented,🥉 Bronze,Over The Hill Cider,Ronnie & Reggie,,,,,,
Bottle Fermented,🥉 Bronze,John and Naomi Wakelin,Harromint Sparkling 2023,,,,,,
Bottle Fermented,🥉 Bronze,Caledonian Cider Co,Strange Bru,https://caledoniancider.com/,,,https://maps.google.com/?cid=15633057795289615854,,https://untappd.com/CaledonianCiderCo
Bottle Fermented,🥉 Bronze,Artistraw Cider,Bridstow Nouveau,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Bottle Fermented,🥉 Bronze,Wyatts,Wyatts Bottle Conditioned Sparkling Cider,,,,,,
Bottle Fermented,🥉 Bronze,Ventons Devon Cider,Venton's Naturally Sparkling Cyder,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Single Variety Cider,🏆 Best in Class,Bere Cider Company,Dabinett,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Single Variety Cider,🥇 Gold,Chapel Sider,Franko,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Single Variety Cider,🥇 Gold,Branch Cider,Hangdown,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Single Variety Cider,🥇 Gold,Bere Cider Company,Yarlington Mill,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Single Variety Cider,🥇 Gold,Rull Orchard,Ashmeads Kernel,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Single Variety Cider,🥈 Silver,Southdown Cider,Single variety cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Single Variety Cider,🥈 Silver,Rawlins Family Cider,Somerset Redstreak,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Single Variety Cider,🥈 Silver,Canterbury Cider,The Duke,,,,,,
Single Variety Cider,🥈 Silver,Palmers Upland Cyder,Strawberry Norman,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Single Variety Cider,🥈 Silver,Steve Faulkner,Yarlington Mill,,,,,,
Single Variety Cider,🥈 Silver,Bere Cider Company,Kingston Black,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Single Variety Cider,🥈 Silver,Branch Cider,Yarlington,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Single Variety Cider,🥈 Silver,Rawlins Family Cider,Yarlington mill,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Single Variety Cider,🥉 Bronze,Canterbury Cider,Bonagold,,,,,,
Single Variety Cider,🥉 Bronze,Southdown Cider,Single variety cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Single Variety Cider,🥉 Bronze,Harry's Cider,Dabinett,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Single Variety Cider,🥉 Bronze,Hecks Farmhouse Cider,Browns apple single variety,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Single Variety Cider,🥉 Bronze,Honey's Cider,Brown Snout Single Variety Cider,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111
Single Variety Cider,🥉 Bronze,Monkey House Cider,Browns,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Single Variety Cider,🥉 Bronze,North Down Orchard,Stembridge Cluster,,,,,,
Single Variety Cider,🥉 Bronze,Pagetts Traditional Cider,Dymock red sv,,,,,,
Single Variety Cider,🥉 Bronze,Paul Rendell,Northleigh cider,,,,,,
Single Variety Cider,🥉 Bronze,Smith Hayne Orchards,yarlington mill,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976
Single Variety Cider,🥉 Bronze,Jon Steadman,Codling Moth (Bramley),,,,,,
Single Variety Cider,🥉 Bronze,Woodredding Farm Cider,Yarlington Mill,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Single Variety Cider,🥉 Bronze,Strangey's Devon Cyder,Kingston Black,,,,,,
Single Variety Cider,🥉 Bronze,Monkey House Cider,Yarlington Mill,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Single Variety Cider,🥉 Bronze,Steve Faulkner,Stoke Red,,,,,,
Modern Cider,🥈 Silver,Monkey House Cider,Borwell Farm Single Orchard,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Modern Cider,🥈 Silver,Seidear,Walled Garden,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Modern Cider,🥉 Bronze,Seidear,Seidear Castle Fraser,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Modern Cider,🥉 Bronze,The Wharie Experience,Side by Cider,,,,,,
Modern Cider,🥉 Bronze,Over The Hill Cider,Discovery,,,,,,
Modern Cider,🥉 Bronze,Mount Vale,Orchard cider,,,,,,
Modern Cider,🥉 Bronze,Abbey Orchards,Traditional Bottle Conditioned Cider,,,,,,
Modern Cider,🥉 Bronze,Blackmore Vale Cider,Dessert Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Modern Cider,🥉 Bronze,Caledonian Cider Co,High and Dry,https://caledoniancider.com/,,,https://maps.google.com/?cid=15633057795289615854,,https://untappd.com/CaledonianCiderCo
Modern Cider,🥉 Bronze,Canterbury Cider,Bonagold,,,,,,
Modern Cider,🥉 Bronze,Chapel Sider,Forgotten Orchards,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Perry Still,🥈 Silver,Downside Perry,Special Reserve blended perry 2022,,,,,,
Perry Still,🥉 Bronze,Molly & Jasmine's Cider,Brida,,,,,,
Perry Still,🥉 Bronze,Rull Orchard,PERRYOTE,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Perry Carbonated,🥈 Silver,Wilding Cider,November,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253
Perry Carbonated,🥈 Silver,Downside Perry,Champagner Bratbirne SV - Traditional Method,,,,,,
Perry Carbonated,🥉 Bronze,Downside Perry,Speckbirne SV,,,,,,
Perry Carbonated,🥉 Bronze,Molly & Jasmine's Cider,Arwen,,,,,,
Perry Carbonated,🥉 Bronze,Molly & Jasmine's Cider,Galadriel,,,,,,
Perry Carbonated,🥉 Bronze,Hecks Farmhouse Cider,Hecks perry,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Perry Carbonated,🥉 Bronze,Halfpenny Green Cider,Keeved Perry,https://www.halfpennygreencider.co.uk/,https://www.facebook.com/p/The-Halfpenny-Green-Cider-Company-100063680012599/,https://www.instagram.com/halfpennycider/,https://maps.google.com/?cid=6102481507786239286,,https://untappd.com/w/halfpenny-green/413928
Farmhouse Dry,🏆 Best in Class,Ad Astra Cider,Ad Astra Dry,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Farmhouse Dry,🥇 Gold,Bere Cider Company,Polden Delicious,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Farmhouse Dry,🥇 Gold,Orchard 101,Tango,,,,,,
Farmhouse Dry,🥇 Gold,Dowding's,Tower Brue dry cider,,,,,,
Farmhouse Dry,🥇 Gold,Chris Hecks,Cider,,,,,,
Farmhouse Dry,🥇 Gold,Moons Cider,Farmhouse Dry Cider,,,,,,
Farmhouse Dry,🥇 Gold,Orchard 101,Foxtrot,,,,,,
Farmhouse Dry,🥇 Gold,Glyders Cider,Farmhouse dry,,,,,,
Farmhouse Dry,🥈 Silver,Lisa Letchford,Letchford's Cyder,,,,,,
Farmhouse Dry,🥈 Silver,Sandford Orchards,Dry Farmhouse,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Farmhouse Dry,🥈 Silver,Sisson & Smith,DRY #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Dry,🥈 Silver,Wilcox Cider,Dry cider,,https://www.facebook.com/wilcoxcider,,,,https://untappd.com/w/wilcox-cider/190406
Farmhouse Dry,🥈 Silver,W-G Cider,W-G Farmhouse Cider,,,,,,
Farmhouse Dry,🥈 Silver,Ventons Devon Cider,Skippy's Scrumpy,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Farmhouse Dry,🥈 Silver,Sweeting's Cider,Monument Farmhouse Cider,,,,,,
Farmhouse Dry,🥈 Silver,Strangey's Devon Cyder,Leg breaker,,,,,,
Farmhouse Dry,🥈 Silver,Stones Cider,Stones Dry,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537
Farmhouse Dry,🥈 Silver,Seven Trees Cider,Orchard Press - DRY,,,,,,
Farmhouse Dry,🥈 Silver,Paul Rendell,Northleigh cider,,,,,,
Farmhouse Dry,🥈 Silver,Palmers Upland Cyder,Cwn Annwn,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Dry,🥈 Silver,Orchard 101,Zulu,,,,,,
Farmhouse Dry,🥈 Silver,Monkey House Cider,Spot House Dry,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Farmhouse Dry,🥈 Silver,Hecks Farmhouse Cider,Dry,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Farmhouse Dry,🥈 Silver,Sisson & Smith,Dry #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Dry,🥈 Silver,Hayloft,Hayloft,,,,,,
Farmhouse Dry,🥈 Silver,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider,,,,,,
Farmhouse Dry,🥈 Silver,Hayloft,Hayloft,,,,,,
Farmhouse Dry,🥈 Silver,Gabe Cook,Dymock Delight,,,,,,
Farmhouse Dry,🥈 Silver,Dorset Nectar,Farmhouse Dry,https://dorsetnectar.co.uk/,https://www.facebook.com/dorsetnectarcider,https://www.instagram.com/dorsetnectarciderco/,https://maps.google.com/?cid=12382606142379540152,https://www.tripadvisor.com/Attraction_Review-g551706-d7075524,https://untappd.com/w/dorset-nectar/33352
Farmhouse Dry,🥈 Silver,Bere Cider Company,Gold Rush,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Farmhouse Dry,🥈 Silver,Blackmore Vale Cider,Traditional Farmhouse Dry Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Dry,🥈 Silver,Chris Hecks,Cider,,,,,,
Farmhouse Dry,🥈 Silver,John and Naomi Wakelin,Harromint Dry Farmhouse,,,,,,
Farmhouse Dry,🥉 Bronze,Strangey's Devon Cyder,Devon Vintage Dry,,,,,,
Farmhouse Dry,🥉 Bronze,The Parrett Cider Company,Parrett Standard,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Farmhouse Dry,🥉 Bronze,The Crest Cyder Company,Traditional,,,,,,
Farmhouse Dry,🥉 Bronze,Rawlins Family Cider,Dry,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Dry,🥉 Bronze,Bollhayes Cider,Bollhayes Still Dry Cider,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Farmhouse Dry,🥉 Bronze,Moons Cider,Farmhouse Dry Cider,,,,,,
Farmhouse Dry,🥉 Bronze,Blackmore Vale Cider,Traditional Farmhouse Dry Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Dry,🥉 Bronze,Mark Palfrey & Jonathan Pepper,Rydon Farm Cider,,,,,,
Farmhouse Dry,🥉 Bronze,Strangey's Devon Cyder,Devon Dangler,,,,,,
Farmhouse Dry,🥉 Bronze,Pontymeddyg Cider,Doctors' Orders,,,,,,
Farmhouse Dry,🥉 Bronze,Southdown Cider,Dry farmhouse cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Farmhouse Dry,🥉 Bronze,Shed Cider,dry Still,,,,,,
Farmhouse Dry,🥉 Bronze,Chris Hecks,Cider,,,,,,
Farmhouse Medium,🏆 Best in Class,Sisson & Smith,Medium #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Medium,🥈 Silver,Bollhayes Cider,Bollhayes Still Medium Cider,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Farmhouse Medium,🥈 Silver,Cranborne Chase Cider,Farmhouse Medium,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Farmhouse Medium,🥈 Silver,Ventons Devon Cider,Apple Vice,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Farmhouse Medium,🥈 Silver,The Crest Cyder Company,Golden,,,,,,
Farmhouse Medium,🥈 Silver,Southdown Cider,Medium farmhouse cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Farmhouse Medium,🥈 Silver,Southdown Cider,Medium farmhouse cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Farmhouse Medium,🥈 Silver,Seven Trees Cider,Orchard Press - MEDIUM,,,,,,
Farmhouse Medium,🥈 Silver,Palmers Upland Cyder,Little Jenny Wren,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Medium,🥈 Silver,Branch Cider,Early Drop,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Farmhouse Medium,🥈 Silver,Chris Hecks,Cider,,,,,,
Farmhouse Medium,🥈 Silver,Sisson & Smith,MEDIUM #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Medium,🥈 Silver,Courtney's Devon Cider,Silly Cow Cider,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Farmhouse Medium,🥈 Silver,Blackmore Vale Cider,Traditional Farmhouse Medium Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Medium,🥈 Silver,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider,,,,,,
Farmhouse Medium,🥉 Bronze,Chris Hecks,Cider,,,,,,
Farmhouse Medium,🥉 Bronze,Blackmore Vale Cider,Traditional Farmhouse Medium Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Medium,🥉 Bronze,Strangey's Devon Cyder,Devon lovely,,,,,,
Farmhouse Medium,🥉 Bronze,Strangey's Devon Cyder,Devon Ansome,,,,,,
Farmhouse Medium,🥉 Bronze,Strangey's Devon Cyder,Devon Special Medium,,,,,,
Farmhouse Medium,🥉 Bronze,Sandford Orchards,Medium Farmhouse,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Farmhouse Medium,🥉 Bronze,Ridge & Furrow Cider,Naturally Medium,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Farmhouse Medium,🥉 Bronze,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Medium,🥉 Bronze,Orchard 101,Alpha Papa,,,,,,
Farmhouse Medium,🥉 Bronze,Moons Cider,Medium Cider,,,,,,
Farmhouse Medium,🥉 Bronze,Moons Cider,Medium Cider,,,,,,
Farmhouse Medium,🥉 Bronze,John and Naomi Wakelin,Farmhouse Medium - OC16,,,,,,
Farmhouse Medium,🥉 Bronze,Dowding's,Tower Brue medium cider,,,,,,
Farmhouse Medium,🥉 Bronze,Dorset Star Cider,Stargazer,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602
Farmhouse Sweet,🏆 Best in Class,Wilding Cider,Burlands Sweet,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253
Farmhouse Sweet,🥇 Gold,Courtney's Devon Cider,Whimple Orchards,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Farmhouse Sweet,🥇 Gold,Ridge & Furrow Cider,Naturally Sweet,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Farmhouse Sweet,🥇 Gold,Rawlins Family Cider,Sweet,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Farmhouse Sweet,🥇 Gold,Dorset Star Cider,Sunset,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602
Farmhouse Sweet,🥇 Gold,Ridge & Furrow Cider,Naturally Sweet,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Farmhouse Sweet,🥇 Gold,Sisson & Smith,SWEET #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Sweet,🥈 Silver,Strangey's Devon Cyder,Devon Booty,,,,,,
Farmhouse Sweet,🥈 Silver,Strangey's Devon Cyder,Strangey's Special Sweet,,,,,,
Farmhouse Sweet,🥈 Silver,Sandford Orchards,Sweet Farmhouse,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Farmhouse Sweet,🥈 Silver,Southdown Cider,Sweet farmhouse cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Farmhouse Sweet,🥈 Silver,Sisson & Smith,Sweet #1,,,,,,https://untappd.com/w/sisson-smith/229581
Farmhouse Sweet,🥈 Silver,Moons Cider,Farmhouse Sweet Cider,,,,,,
Farmhouse Sweet,🥈 Silver,Ventons Devon Cider,Sweet Maid In Devon,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Farmhouse Sweet,🥈 Silver,Strangey's Devon Cyder,Vintage Devon Sweet,,,,,,
Farmhouse Sweet,🥈 Silver,Branch Cider,Yada,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Farmhouse Sweet,🥈 Silver,The Crest Cyder Company,Milly,,,,,,
Farmhouse Sweet,🥈 Silver,Palmers Upland Cyder,Cheeky Jackdaw,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Farmhouse Sweet,🥉 Bronze,West Croft Cider,Sweet,https://www.somersetcidervinegarco.co.uk/westcroft-cider-and-janets-jungle-juice.html,https://www.facebook.com/SomersetCiderVinegar/,,,,https://untappd.com/w/west-croft-cider/31172
Farmhouse Sweet,🥉 Bronze,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider,,,,,,
Farmhouse Sweet,🥉 Bronze,Sweeting's Cider,Sweeting's Sweet Cider,,,,,,
Farmhouse Sweet,🥉 Bronze,Hecks Farmhouse Cider,Sweet,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Farmhouse Sweet,🥉 Bronze,Cranborne Chase Cider,Farmhouse Sweet,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Farmhouse Sweet,🥉 Bronze,Branch Cider,Late Drop,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Farmhouse Sweet,🥉 Bronze,Branch Cider,Hangman,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Farmhouse Sweet,🥉 Bronze,Bollhayes Cider,Bollhayes Still Sweet Cider,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Farmhouse Sweet,🥉 Bronze,Blackmore Vale Cider,Traditional Farmhouse Sweet Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Sweet,🥉 Bronze,Blackmore Vale Cider,Traditional Farmhouse Sweet Cider,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Farmhouse Sweet,🥉 Bronze,Shed Cider,Sweet Still,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Newcomer Award,🏆 Best in Class,Lewis Henry,Glasshouse White,,,,,,
