Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Ninch Cider,Tasmania,1,3,1,5,2019,2023,3,Active,Australia,,,"<a href=""https://www.instagram.com/ninchcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10134826457369794124"">Google</a>",,,
Fils de Pomme,Île-de-France,1,1,3,5,2018,2019,2,Active,France,"<a href=""https://fils-de-pomme.com/"">Website</a>","<a href=""https://www.facebook.com/filsdepomme"">Facebook</a>","<a href=""https://www.instagram.com/filsdepomme/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8093403779791398976"">Google</a>",,,"<a href=""https://untappd.com/w/fils-de-pa-mme/335627"">Untappd</a>"
Magners,Tipperary,1,1,3,5,2011,2018,4,Active,Ireland,"<a href=""https://magners.co.uk/"">Website</a>","<a href=""https://www.facebook.com/magnerscider"">Facebook</a>","<a href=""https://www.instagram.com/magnersuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=13030775149028298606"">Google</a>",,,"<a href=""https://untappd.com/MagnersCider"">Untappd</a>"
Funk Drinks Co.,Western Australia,---,4,1,5,2017,2024,7,Active,Australia,"<a href=""https://funkdrinks.co/"">Website</a>","<a href=""https://www.facebook.com/funkdrinksco"">Facebook</a>","<a href=""https://www.instagram.com/funkdrinksco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12976653066917509642"">Google</a>",,,"<a href=""https://untappd.com/FunkCider"">Untappd</a>"
Trattore Cider,Victoria,---,3,2,5,2019,2022,3,Active,Australia,"<a href=""https://trattore.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/trattorecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=144355748988170218"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g6888459-d23858854"">TripAdvisor</a>","<a href=""https://untappd.com/w/trattore/470815"">Untappd</a>"
Gurneys Cider,Victoria,---,2,3,5,2023,2024,2,Active,Australia,"<a href=""https://gurneyscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/gurneyscider"">Facebook</a>","<a href=""https://www.instagram.com/gurneyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17296225831182939561"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552172-d15180819"">TripAdvisor</a>","<a href=""https://untappd.com/GurneysCider"">Untappd</a>"
Monkey Rock Winery & Cider,Western Australia,---,2,3,5,2023,2023,1,Active,Australia,"<a href=""https://www.monkeyrockwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/monkeyrockwinerydenmarkWA"">Facebook</a>","<a href=""https://www.instagram.com/monkeyrockwineryandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4216191327395483874"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g488338-d18942597"">TripAdvisor</a>","<a href=""https://untappd.com/w/monkey-rock-cider/488303"">Untappd</a>"
Pure Peninsula Honey,Victoria,---,2,3,5,2017,2024,3,Active,Australia,"<a href=""https://purepeninsulahoney.com.au/"">Website</a>","<a href=""https://www.facebook.com/purepeninsulahoney"">Facebook</a>","<a href=""https://www.instagram.com/purepeninsulahoney/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2932326746558972212"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1773630-d8382184"">TripAdvisor</a>","<a href=""https://untappd.com/w/pure-peninsula-honey/171274"">Untappd</a>"
Yarra Valley Cider,Victoria,---,2,3,5,2013,2019,4,Active,Australia,"<a href=""http://www.yarravalleycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/YarraValleyCider/"">Facebook</a>","<a href=""https://www.instagram.com/yarravalleycider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/yarra-valley-cider/57524"">Untappd</a>"
Old Twelfth Cider,Tasmania,---,1,4,5,2021,2022,2,Active,Australia,,,"<a href=""https://www.instagram.com/oldtwelfth/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/old-twelfth-cider/500737"">Untappd</a>"
Redwood Cider Co.,Tasman,---,1,4,5,2011,2018,5,Active,New Zealand,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
Surges Bay Orchard,Tasmania,---,1,4,5,2018,2019,2,Inactive,Australia,,,,,,,
Monteith's Brewing Co.,West Coast,---,---,5,5,2013,2018,3,Active,New Zealand,"<a href=""https://www.thebrewery.co.nz/"">Website</a>","<a href=""https://www.facebook.com/monteithsbrewery"">Facebook</a>","<a href=""https://www.instagram.com/monteithsbrewery1868"">Instagram</a>","<a href=""https://maps.google.com/?cid=13339274588774573493"">Google</a>","<a href=""https://www.yelp.com/biz/monteiths-brewing-co-greymouth"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255372-d1007467"">TripAdvisor</a>","<a href=""https://untappd.com/MonteithsBrewingCo"">Untappd</a>"
NewLeaf Orchard,Western Australia,1,---,3,4,2023,2024,2,Active,Australia,"<a href=""https://newleaforchard.com.au/"">Website</a>","<a href=""https://www.facebook.com/wildbeyondcider"">Facebook</a>",,,,,
Roleystone Brewing Company,Western Australia,1,---,3,4,2019,2023,4,Active,Australia,"<a href=""https://www.roleystonebrewingco.com/"">Website</a>","<a href=""https://www.facebook.com/RoleystoneBrewingCo/"">Facebook</a>","<a href=""https://www.instagram.com/roleystonebrewingco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8363645666309319654"">Google</a>",,,"<a href=""https://untappd.com/RoleystoneBrewingCo"">Untappd</a>"
Cheeky Rascal Cider,Victoria,---,2,2,4,2015,2021,2,Active,Australia,"<a href=""https://cheekyrascal.com.au/"">Website</a>","<a href=""https://www.facebook.com/CheekyRascalCider"">Facebook</a>","<a href=""https://www.instagram.com/cheekyrascalcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17305349640147101403"">Google</a>",,,"<a href=""https://untappd.com/RebelloWines"">Untappd</a>"
Manjimup Cider Co.,Western Australia,---,2,2,4,2019,2023,3,Active,Australia,,"<a href=""https://www.facebook.com/giantscider/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/manjimup-cider-co/422781"">Untappd</a>"
Granite Belt Cider Company,Queensland,---,1,3,4,2016,2018,3,Inactive,Australia,,,,,,,
Little Creatures,Western Australia,---,1,3,4,2012,2014,3,Active,Australia,"<a href=""https://littlecreatures.com.au/"">Website</a>","<a href=""https://www.facebook.com/littlecreaturesbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlecreaturesbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1864054459948406266"">Google</a>","<a href=""https://www.yelp.com/biz/little-creatures-brewery-fremantle"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g285726-d778314"">TripAdvisor</a>","<a href=""https://untappd.com/LittleCreaturesBrewing"">Untappd</a>"
Lost Pippin,Tasmania,---,1,3,4,2015,2016,2,Active,Australia,"<a href=""https://lostpippin.com.au/"">Website</a>","<a href=""https://www.facebook.com/LostPippin/"">Facebook</a>","<a href=""https://www.instagram.com/lostpippin/"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/42379"">Untappd</a>"
Patrick of Coonawarra,South Australia,---,1,3,4,2015,2018,4,Inactive,Australia,,,,,,,
Faire Ferments,Victoria,---,---,4,4,2015,2018,2,Inactive,Australia,,,,,,,
Mr Little Cider,Victoria,---,---,4,4,2014,2016,3,Active,Australia,"<a href=""https://mrlittlecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/mrlittlecider/"">Facebook</a>","<a href=""https://www.instagram.com/mrlittlecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2019669846727246935"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552161-d15190619"">TripAdvisor</a>","<a href=""https://untappd.com/w/mr-little-cider/236921"">Untappd</a>"
Tilse's Apple Truck Cider,New South Wales,---,---,4,4,2012,2013,2,Active,Australia,"<a href=""https://www.theorchardlodge.com.au/"">Website</a>","<a href=""https://www.facebook.com/theorchardlodgensw/"">Facebook</a>","<a href=""https://www.instagram.com/appletruckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18205993928648034259"">Google</a>",,"<a href=""https://www.tripadvisor.com/Hotel_Review-g5788651-d23405360"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/30402"">Untappd</a>"
Weidmann & Groh,Hesse,3,---,---,3,2012,2013,2,Active,Germany,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>","<a href=""https://www.instagram.com/weidmann.und.groh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
The Sparkke Change Beverage Company,South Australia,1,1,1,3,2017,2019,3,Inactive,Australia,,,,,,,
Adam's Evening Cider,Victoria,1,---,2,3,2019,2019,1,Inactive,Australia,,,,,,,
St Andrews Beach Brewery,Victoria,---,3,---,3,2023,2024,2,Active,Australia,"<a href=""https://standrewsbeachbrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/sab.brewery/"">Facebook</a>","<a href=""https://www.instagram.com/sab.brewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3674219969181670288"">Google</a>","<a href=""https://www.yelp.com/biz/st-andrews-beach-brewery-fingal"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1800212-d13141758"">TripAdvisor</a>","<a href=""https://untappd.com/StAndrewsBeachBrewery"">Untappd</a>"
Adams Cider Company,Tipperary,---,2,1,3,2017,2019,3,Active,Ireland,,"<a href=""https://www.facebook.com/devilsbitcider"">Facebook</a>","<a href=""https://www.instagram.com/devilsbitcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/AdamsCiderCompany"">Untappd</a>"
Aspall,Suffolk,---,2,1,3,2013,2017,3,Active,England,"<a href=""https://www.aspall.co.uk/"">Website</a>","<a href=""https://www.facebook.com/AspallUK/"">Facebook</a>","<a href=""https://www.instagram.com/aspalluk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281573289882642327"">Google</a>",,,"<a href=""https://untappd.com/brewery/3468"">Untappd</a>"
Cidres Kerisac,Pays de la Loire,---,2,1,3,2021,2023,3,Active,France,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
Pagan Cider,Tasmania,---,2,1,3,2016,2022,2,Active,Australia,"<a href=""https://www.pagancider.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Pagan-Cider/304091666387269"">Facebook</a>","<a href=""https://www.instagram.com/pagancider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1300362860253149854"">Google</a>","<a href=""https://www.yelp.com/biz/pagan-cider-cradoc"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504289-d10383732"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/46303"">Untappd</a>"
Red Sails Ciders,Tasmania,---,2,1,3,2012,2015,3,Inactive,Australia,,,,,,,
ALDI Stores Australia,New South Wales,---,1,2,3,2017,2019,2,Active,Australia,"<a href=""https://www.aldi.com.au/"">Website</a>",,,,,,"<a href=""https://untappd.com/w/aldi-stores-australia/92570"">Untappd</a>"
Alpine Cider,Victoria,---,1,2,3,2016,2017,2,Active,Australia,"<a href=""https://alpinecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/Nightingalebrosalpinecider/"">Facebook</a>","<a href=""https://www.instagram.com/alpinecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8047391799601806918"">Google</a>",,,"<a href=""https://untappd.com/w/nightingale-bros/421899"">Untappd</a>"
Crafty Cider,New South Wales,---,1,2,3,2021,2023,3,Active,Australia,"<a href=""https://www.craftycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/craftyciderbatlow"">Facebook</a>","<a href=""https://www.instagram.com/craftyciderbatlow/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15536909893508302345"">Google</a>",,,"<a href=""https://untappd.com/w/crafty-cider/460789"">Untappd</a>"
Pomologist Cider,New South Wales,---,1,2,3,2016,2017,2,Active,Australia,"<a href=""https://pomologistcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/pomologistcider/"">Facebook</a>","<a href=""https://www.instagram.com/pomologistcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/pomologist-cider/398580"">Untappd</a>"
The Side Project Cider & Beerworks,South Australia,---,1,2,3,2018,2019,2,Inactive,Australia,,,,,,,
Blue Elephant Beverage Co.,Victoria,---,---,3,3,2014,2016,3,Inactive,Australia,,,,,,,
Hansen Tasmania,Tasmania,---,---,3,3,2017,2019,3,Inactive,Australia,,,,,,,
Little Green Men Brewing Co,Tasmania,---,---,3,3,2024,2024,1,Active,Australia,"<a href=""https://www.littlegreenmenbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/littlegreenmenbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlegreenmenbrewing"">Instagram</a>","<a href=""https://maps.google.com/?cid=4403040247038681309"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g261651-d15813582"">TripAdvisor</a>","<a href=""https://untappd.com/w/little-green-men/485891"">Untappd</a>"
Oakvale Wines,New South Wales,---,---,3,3,2012,2014,3,Active,Australia,"<a href=""https://www.oakvalewines.com.au/"">Website</a>","<a href=""https://www.facebook.com/oakvalewinery"">Facebook</a>","<a href=""https://www.instagram.com/oakvalewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5190501698518241314"">Google</a>","<a href=""https://www.yelp.com/biz/oakvale-wines-pokolbin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255328-d2536109"">TripAdvisor</a>","<a href=""https://untappd.com/w/oakvale/157694"">Untappd</a>"
Paracombe Premium Perry,South Australia,---,---,3,3,2013,2014,2,Active,Australia,"<a href=""https://paracombepremiumperry.com.au/"">Website</a>","<a href=""https://www.facebook.com/ParacombePremiumPerry"">Facebook</a>","<a href=""https://www.instagram.com/paracombe_premium_perry/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8848424261688723969"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255093-d11707679"">TripAdvisor</a>","<a href=""https://untappd.com/ParacombePremiumPerry"">Untappd</a>"
Sidra El Gaitero,Asturias,---,---,3,3,2016,2018,3,Active,Spain,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
"Sinclair Orchards ",Victoria,---,---,3,3,2017,2021,2,Inactive,Australia,,,,,,,
Thatchers Cider,Somerset,1,1,---,2,2014,2015,2,Active,England,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
Cidrerie Manoir du Kinkiz,Brittany,1,---,1,2,2013,2013,1,Active,France,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.yelp.com/biz/manoir-du-kinkiz-quimper"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
Simple Cider,Tasmania,1,---,1,2,2018,2023,2,Active,Australia,"<a href=""https://simplecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/simplecider"">Facebook</a>","<a href=""https://www.instagram.com/simple.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16786558994979050480"">Google</a>",,,"<a href=""https://untappd.com/w/simple-cider/259809"">Untappd</a>"
Domaine Dupont,Normandy,---,2,---,2,2011,2011,1,Active,France,"<a href=""https://www.calvados-dupont.com/"">Website</a>","<a href=""https://www.facebook.com/calvados.dupont/"">Facebook</a>","<a href=""https://www.instagram.com/domaine_dupont/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4283975466429458280"">Google</a>","<a href=""https://www.yelp.com/biz/domaine-familial-louis-dupont-victot-pontfol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3419860-d2344452"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4744"">Untappd</a>"
White Rabbit,Victoria,---,2,---,2,2017,2018,2,Inactive,Australia,,,,,,,
Aston Manor Cider,West Midlands,---,1,1,2,2017,2017,1,Active,England,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
Cidre Écusson,Normandy,---,1,1,2,2013,2013,1,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16717845515481593007"">Google</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Le Père Jules,Normandy,---,1,1,2,2013,2013,1,Active,France,"<a href=""http://www.calvados-leperejules.com/"">Website</a>","<a href=""https://www.facebook.com/calvadosleperejules/"">Facebook</a>","<a href=""https://www.instagram.com/calvadosleperejules"">Instagram</a>","<a href=""https://maps.google.com/?cid=13505988202545080748"">Google</a>",,,"<a href=""https://untappd.com/brewery/6106"">Untappd</a>"
Matilda Bay Brewing Company,Victoria,---,1,1,2,2011,2013,2,Inactive,Australia,,,,,,,
Nutrition Farms,Queensland,---,1,1,2,2021,2021,1,Active,Australia,"<a href=""https://nutritionfarms.com/"">Website</a>","<a href=""https://www.facebook.com/NutritionFarmsNTS"">Facebook</a>","<a href=""https://www.instagram.com/nutritionfarms_/"">Instagram</a>",,,,
PRAH,Tasmania,---,1,1,2,2023,2024,2,Active,Australia,"<a href=""https://www.prah.au/"">Website</a>",,"<a href=""https://www.instagram.com/prah.au/"">Instagram</a>",,,,
Strange Brothers,Auckland,---,1,1,2,2021,2021,1,Active,New Zealand,"<a href=""https://www.strangebrothers.co.nz/"">Website</a>","<a href=""https://www.facebook.com/strangebrothersnz/"">Facebook</a>","<a href=""https://www.instagram.com/strangebrothersnz/"">Instagram</a>",,,,"<a href=""https://untappd.com/BrothersBeer"">Untappd</a>"
The Cider Lab,Victoria,---,1,1,2,2017,2017,1,Inactive,Australia,,,,,,,
Adams Orchard Cider,South Australia,---,---,2,2,2014,2015,2,Inactive,Australia,,,,,,,
Big Shed Brewing,South Australia,---,---,2,2,2016,2021,2,Active,Australia,"<a href=""https://bigshed.beer/"">Website</a>","<a href=""https://www.facebook.com/BigShedBrewing/"">Facebook</a>","<a href=""https://www.instagram.com/bigshedbeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13408097918532710257"">Google</a>","<a href=""https://www.yelp.com/biz/big-shed-brewing-co-royal-park"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g9862373-d12533906"">TripAdvisor</a>","<a href=""https://untappd.com/BigShedBrewing"">Untappd</a>"
Eva Group,Navarre,---,---,2,2,2016,2016,1,Active,Spain,"<a href=""https://www.evasa.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=546948451257487120"">Google</a>",,,"<a href=""https://untappd.com/EvaGroup"">Untappd</a>"
Gwynt y Ddraig Cider,Rhondda Cynon Taf,---,---,2,2,2011,2011,1,Active,Wales,"<a href=""https://gwyntcidershop.com/"">Website</a>","<a href=""https://www.facebook.com/gwyntcider/"">Facebook</a>","<a href=""https://www.instagram.com/gwyntyddraigcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=194836955180238214"">Google</a>",,,"<a href=""https://untappd.com/brewery/6770"">Untappd</a>"
Harvey River Estate,Western Australia,---,---,2,2,2013,2013,1,Inactive,Australia,,,,,,,
James Squire,New South Wales,---,---,2,2,2013,2018,2,Active,Australia,"<a href=""https://www.jamessquire.com.au/"">Website</a>","<a href=""https://www.facebook.com/jamessquire"">Facebook</a>","<a href=""https://www.instagram.com/jamessquire_au/"">Instagram</a>",,,,"<a href=""https://untappd.com/JamesSquireMaltShovelBrewery"">Untappd</a>"
Main Ridge Cider,Victoria,---,---,2,2,2015,2019,2,Inactive,Australia,,,,,,,
Rebel Cider,Victoria,---,---,2,2,2021,2023,2,Active,Australia,,"<a href=""https://www.facebook.com/profile.php?id=100080154523886"">Facebook</a>","<a href=""https://www.instagram.com/rebel.cider/"">Instagram</a>",,,,
Red Brick Road Ciderhouse & Bar,Tasmania,---,---,2,2,2015,2015,1,Inactive,Australia,,,,,,,
Sacred Valley Beverages,New South Wales,---,---,2,2,2014,2015,2,Active,Australia,"<a href=""https://www.sacredvalley.com.au/"">Website</a>","<a href=""https://www.facebook.com/sacredvalleybrewingco"">Facebook</a>","<a href=""https://www.instagram.com/sacredvalleybrewingco/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/sacred-valley-cider/193970"">Untappd</a>"
Sitting Ducks Cider,South Australia,---,---,2,2,2013,2013,1,Inactive,Australia,,,,,,,
Suspicious Squirrel,New South Wales,---,---,2,2,2016,2017,2,Inactive,Australia,,,,,,,
Ten Sixty One,Victoria,---,---,2,2,2018,2018,1,Active,Australia,"<a href=""https://www.tensixtyone.com.au/"">Website</a>","<a href=""https://www.facebook.com/tensixtyonebyatlanta"">Facebook</a>","<a href=""https://www.instagram.com/tensixtyone"">Instagram</a>","<a href=""https://maps.google.com/?cid=11303100687113031618"">Google</a>",,,"<a href=""https://untappd.com/w/atlanta-orchards/304062"">Untappd</a>"
The Australian Brewery,New South Wales,---,---,2,2,2012,2013,2,Active,Australia,"<a href=""https://www.australianhotelbrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/australianhotelbrewery"">Facebook</a>","<a href=""https://www.instagram.com/australianhotelbrewery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11658747106516787081"">Google</a>","<a href=""https://www.yelp.com/biz/the-australian-brewery-rouse-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1548245-d10063887"">TripAdvisor</a>","<a href=""https://untappd.com/TheAustralianBrewery"">Untappd</a>"
Yallingup Cider Co.,Western Australia,---,---,2,2,2023,2023,1,Active,Australia,"<a href=""https://www.yallingupciderco.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/yallingupciderco/"">Instagram</a>",,,,
Apfelweinkontor,Hesse,---,1,---,1,2012,2012,1,Active,Germany,"<a href=""https://www.apfelweinkontor.com/"">Website</a>","<a href=""https://www.facebook.com/Apfelweinkontor"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinkontor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=599143855742456461"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g187337-d6922559"">TripAdvisor</a>","<a href=""https://untappd.com/w/apfelweinkontor-frankfurt/468433"">Untappd</a>"
AW Shugg Craft Distiller,Tasmania,---,1,---,1,2022,2022,1,Inactive,Australia,,,,,,,
Bress Wines,Victoria,---,1,---,1,2016,2016,1,Inactive,Australia,,,,,,,
Cider Garden,---,---,1,---,1,2012,2012,1,Inactive,Australia,,,,,,,
Fernbank Creek Cidery,New South Wales,---,1,---,1,2019,2019,1,Inactive,Australia,,,,,,,
Hazeldean Forest Farm,Victoria,---,1,---,1,2012,2012,1,Inactive,Australia,,,,,,,
Swell Brewing Co.,South Australia,---,1,---,1,2017,2017,1,Active,Australia,"<a href=""https://swellbeer.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/swellbeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5921662718639681355"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g499714-d17621288"">TripAdvisor</a>","<a href=""https://untappd.com/Swell_Brewing_Co"">Untappd</a>"
Windermere Cider,Western Cape,---,1,---,1,2014,2014,1,Inactive,South Africa,,,,,,,
Winter Brook Vineyard,Tasmania,---,1,---,1,2017,2017,1,Inactive,Australia,,,,,,,
2 Brothers Brewery,Victoria,---,---,1,1,2016,2016,1,Active,Australia,"<a href=""https://www.2brothers.com.au/"">Website</a>","<a href=""https://www.facebook.com/2brothersbrewery/"">Facebook</a>","<a href=""https://www.instagram.com/2brothersbrewery"">Instagram</a>","<a href=""https://maps.google.com/?cid=7491025659517231760"">Google</a>","<a href=""https://www.yelp.com/biz/2-brothers-brewery-moorabbin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2020520-d5990751"">TripAdvisor</a>","<a href=""https://untappd.com/2BrothersBrewery"">Untappd</a>"
Angry Orchard,New York,---,---,1,1,2017,2017,1,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
Archer Brewing,Queensland,---,---,1,1,2023,2023,1,Active,Australia,"<a href=""https://www.archerbrewing.com.au/"">Website</a>","<a href=""https://www.facebook.com/archerbrewingaus"">Facebook</a>","<a href=""https://www.instagram.com/archerbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4414488942984174656"">Google</a>",,,"<a href=""https://untappd.com/archerbrewingaus"">Untappd</a>"
Byron Bay Wild Cider,Queensland,---,---,1,1,2019,2019,1,Inactive,Australia,,,,,,,
Camilla’s Crush Red Hill Cider,Victoria,---,---,1,1,2022,2022,1,Active,Australia,,,"<a href=""https://www.instagram.com/camillas_crush/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/camilla-s-crush/470897"">Untappd</a>"
Captain Bligh's,Tasmania,---,---,1,1,2017,2017,1,Inactive,Australia,,,,,,,
Captains Creek,Victoria,---,---,1,1,2023,2023,1,Active,Australia,"<a href=""https://www.captainscreek.com/"">Website</a>","<a href=""https://www.facebook.com/CaptainsCreekOrganicWines"">Facebook</a>","<a href=""https://www.instagram.com/captainscreekwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=5345523854642937105"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2275855-d2249819"">TripAdvisor</a>","<a href=""https://untappd.com/w/captain-s-creek/77455"">Untappd</a>"
Cherry Bird Orchards,New South Wales,---,---,1,1,2018,2018,1,Inactive,Australia,,,,,,,
