Year,Medalist,Entry,Class,Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",Hard Apple,Modern Cider - Dry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Green Man,Modern Cider - Dry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/esoterra-ciderworks/"">EsoTerra Ciderworks</a>",The Last Stand,Modern Cider - Dry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",McIntosh,Modern Cider - Sweet,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/ragged-and-right-cider-project/"">Ragged and Right Cider Project</a>",First Pick Gravenstein,Modern Cider - Sweet,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",Rockin' Cock,Modern Cider - Sweet,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",1817,Heritage Cider - Dry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/esoterra-ciderworks/"">EsoTerra Ciderworks</a>",Tessano,Heritage Cider - Dry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",Savvy Pomme Sparkling,Heritage Cider - Dry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Harrison,Heritage Cider - Sweet,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",Harrison,Heritage Cider - Sweet,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Gold Rush,Heritage Cider - Sweet,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/"">Twin Pines Orchards & Cider House</a>",Hammer Bent Old World,Traditional Cider - Dry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/"">Presque Isle Farm Cider</a>",Farmhouse,Traditional Cider - Dry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/stormalong-cider/"">Stormalong Cider</a>",Bittersweet Symphonie,Traditional Cider - Dry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/celtic-marches/"">Celtic Marches</a>",Abrahalls Vintage,Traditional Cider - Sweet,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/celtic-marches/"">Celtic Marches</a>",Pulp Apple Cider,Traditional Cider - Sweet,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/heemans/"">Heeman's</a>",New Traditions,Traditional Cider - Sweet,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",M. Busto Natural Cider,Natural Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/wildbranch-cider/"">Wildbranch Cider</a>",The Spinney,Natural Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Raw,Natural Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/dead-horse-cider-co/"">Dead Horse Cider Co.</a>",Life is Rosé,Rosé Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Mountain Rose,Rosé Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Methode Ancestrale Masonville Orchards Rosé,Rosé Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/verger-belliveau-orchard/"">Verger Belliveau Orchard</a>",SCOW Pear Cider,Modern Perry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/sidewood-estate/"">Sidewood Estate</a>",Sidewood Pear Cider,Modern Perry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Perry,Modern Perry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/once-upon-a-tree/"">Once Upon A Tree</a>",Perry,Traditional Perry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/clear-fork-cider/"">Clear Fork Cider</a>",Feral Pear,Traditional Perry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Pagetree Perry,Traditional Perry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",Crimson Dew,Fruit Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/scenic-road-cider-co/"">Scenic Road Cider Co.</a>",Razz,Fruit Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Cranberry Apple Cider,Fruit Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",Spy vs Citra,Hopped Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/valley-cider-company/"">Valley Cider Company</a>",Humulus Lupulus,Hopped Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Grant Twp Hop Cider,Hopped Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/threadbare-cider/"">Threadbare Cider</a>",Bouquet de Rosé,Botanical Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Basil Mint,Botanical Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",Hibiscus,Botanical Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/alma-cider/"">Alma Cider</a>",Alma Wood Aged,Wood Aged Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/stoic-cider/"">Stoic Cider</a>",Meditations,Wood Aged Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/two-broads-ciderworks/"">Two Broads Ciderworks</a>",Frost,Wood Aged Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Pinot Rosé Cider,Wood Aged Specialty Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Bourbon Vanilla,Wood Aged Specialty Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/cambium-cider-co/"">Cambium Cider Co</a>",The Barber Sleuth,Wood Aged Specialty Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Strawberry Mojito,Specialty Cider and Perry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Imperial Gold,Specialty Cider and Perry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Rockies Rosé,Specialty Cider and Perry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",Pulsar,Unlimited Cider and Perry,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Magners Original Irish Cider,Unlimited Cider and Perry,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/crispin-cider-company/"">Crispin Cider Company</a>",Crispin Pacific Pear,Unlimited Cider and Perry,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/ragged-hill-cider/"">Ragged Hill Cider</a>",Ice Cider,Ice Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Northern Spy Ice Cider,Ice Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",1898 Ice Cider,Ice Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",Fascination,Fortified Cider,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",Barrel Aged Pommeau,Fortified Cider,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/rootstock-ciderworks/"">Rootstock Ciderworks</a>",Pommeau,Fortified Cider,3rd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Pear,Spirits,1st Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,2nd Place
2021,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Apple,Spirits,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Macintosh,Modern Cider - Dry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/coffin-ridge-boutique-winery/"">Coffin Ridge Boutique Winery</a>",Forbidden Dry Cider,Modern Cider - Dry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Akane,Modern Cider - Dry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Gravenstein,Modern Cider - Sweet,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Crémant de pomme,Modern Cider - Sweet,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Karmijn de Sonnaville,Modern Cider - Sweet,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",Somerset Jersey,Heritage Cider - Dry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Clyde's Dry,Heritage Cider - Dry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Salt Spring Wild Cider Semi-Dry,Heritage Cider - Dry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/sierra-cider/"">Sierra Cider</a>",Early Harvest,Heritage Cider - Sweet,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/tieton-cider-works/"">Tieton Cider Works</a>",Blossom Nectar Cider,Heritage Cider - Sweet,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",Hickster,Heritage Cider - Sweet,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/nashi-orchards/"">Nashi Orchards</a>",Idyll Acres Cider,Traditional Cider - Dry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/dunkertons-cider-and-perry/"">Dunkertons Cider and Perry</a>",Dunkertons Black Fox Cider,Traditional Cider - Dry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/spoke-spy-ciderworks/"">Spoke + Spy Ciderworks</a>",kingston black,Traditional Cider - Dry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/hogans-cider/"">Hogan's Cider</a>",Libertine,Traditional Cider - Sweet,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/renaissance-orchards/"">Renaissance Orchards</a>",Keeved Cider 2018 (Cidre Bouché),Traditional Cider - Sweet,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/renaissance-orchards/"">Renaissance Orchards</a>",Keeved Cider 2017 (Cidre Bouché),Traditional Cider - Sweet,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/barrika/"">Barrika</a>",Barrika Basque Country Cider,Natural Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-trabanco/"">Sidra Trabanco</a>",Sidra Trabanco DOP Seleccionada,Natural Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",Over The Hill,Natural Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Cid Rosé,Rosé Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/champlain-orchards/"">Champlain Orchards</a>",Redfield,Rosé Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/lost-giants-cider-company/"">Lost Giants Cider Company</a>",Rose,Rosé Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/edenvale-winery/"">EdenVale Winery</a>",Eden Valley Orchards Pear House Cider,Modern Perry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/sidewood-estate/"">Sidewood Estate</a>",Sidewood Pear Cider,Modern Perry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/scenic-road-cider-co/"">Scenic Road Cider Co.</a>",Peary,Modern Perry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/olivers-cider-and-perry/"">Oliver's Cider and Perry</a>",Classic Perry,Traditional Perry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/dragons-head-cider/"">Dragon's Head Cider</a>",Sparkling Perry,Traditional Perry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",Perry,Traditional Perry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/"">Apple Valley Cider Company</a>",Black Currant,Fruit Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/thors-hard-cider/"">Thor's Hard Cider</a>",Dry Cranberry,Fruit Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",Blackberry Boom,Fruit Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",Hopshot,Hopped Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",Spy vs. Citra,Hopped Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/twisted-hills-craft-cider/"">Twisted Hills Craft Cider</a>",Pacific Gem,Hopped Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/urban-tree-hard-cider/"">Urban Tree Hard Cider</a>",Habanero Haze,Spiced Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/pux-cider/"">Pux Cider</a>",Whippersnapper,Spiced Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/threadbare-cider/"">Threadbare Cider</a>",Bouquet de Rosé,Spiced Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gravenstein Rosé,Wood Aged Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Winesap Rosé,Wood Aged Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/upper-left-apples/"">Upper Left Apples</a>",Oaked Apple,Wood Aged Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",Badass Perry,Wood Aged Specialty Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/elk-horn-brewery-ciderhouse/"">Elk Horn Brewery & Ciderhouse</a>",Pinot Perry,Wood Aged Specialty Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",El Cadejo,Wood Aged Specialty Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/coffin-ridge-boutique-winery/"">Coffin Ridge Boutique Winery</a>",Maple Rosemary,Specialty Cider and Perry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/tieton-cider-works/"">Tieton Cider Works</a>",Lavender Honey Cider,Specialty Cider and Perry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Bitter Orange Rosemary,Specialty Cider and Perry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/crispin-cider-company/"">Crispin Cider Company</a>",Pacific Pear,Unlimited Cider and Perry,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/"">Bold Rock Hard Cider</a>",Carolina Apple,Unlimited Cider and Perry,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Wyder's Pear,Unlimited Cider and Perry,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Le Glacé,Ice Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Crémant de Glace,Ice Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Heirloom Blend 2015,Ice Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Du Minot Doré,Fortified Cider,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/urban-tree-hard-cider/"">Urban Tree Hard Cider</a>",Pommeau,Fortified Cider,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/castle-hill-cider/"">Castle Hill Cider</a>",Sunday Muse Port,Fortified Cider,3rd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Pear,Spirits,2nd Place
2019,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Apple,Spirits,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/arsenal-cider-house/"">Arsenal Cider House</a>",Arsenal Gold Rush,Modern Cider - Dry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/bulwark-cider/"">Bulwark Cider</a>",Bulwark Original Cider,Modern Cider - Dry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Gowan's Macintosh Cider,Modern Cider - Dry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Summer,Modern Cider - Sweet,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",Rockin' Cock,Modern Cider - Sweet,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Sansa,Modern Cider - Sweet,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Wild Meadow,Heritage Cider - Dry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/twisted-hills-craft-cider/"">Twisted Hills Craft Cider</a>",Pippin's Fate,Heritage Cider - Dry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",SlateStone,Heritage Cider - Dry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",Hickster,Heritage Cider - Sweet,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Scarlet Surprise,Heritage Cider - Sweet,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/sierra-cider/"">Sierra Cider</a>",Early Harvest,Heritage Cider - Sweet,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/"">Sea Cider Farm & Ciderhouse</a>",Wild English,Traditional Cider - Dry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/methow-valley-ciderhouse/"">Methow Valley Ciderhouse</a>",Fox,Traditional Cider - Dry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/dunkertons-cider-and-perry/"">Dunkertons Cider and Perry</a>",Breakwells Seedling Cider,Traditional Cider - Dry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/ferme-de-romilly/"">Ferme de Romilly</a>",Cidre de Normandie 2015 Demi-sec,Traditional Cider - Sweet,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/ferme-de-romilly/"">Ferme de Romilly</a>",Cidre de Normandie 2015 Brut,Traditional Cider - Sweet,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/ferme-de-romilly/"">Ferme de Romilly</a>",Cidre de Normandie 2015 Doux,Traditional Cider - Sweet,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-fanjul/"">Sidra Fanjul</a>",Fanjul Sidra Natural,Natural Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/barrika/"">Barrika</a>",Barrika Basque Country Cider 2017,Natural Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",M. Busto Sidra Natural,Natural Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Perry,Modern Perry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/sidewood-estate/"">Sidewood Estate</a>",Sidewood Pear Cider,Modern Perry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Perry,Modern Perry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/hogans-cider/"">Hogan's Cider</a>",Vintage Perry,Traditional Perry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/olivers-cider-and-perry/"">Oliver's Cider and Perry</a>",Bottle Conditioned Perry,Traditional Perry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Orchard Oriole Perry,Traditional Perry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/bull-city-ciderworks/"">Bull City Ciderworks</a>",Cherry Tart,Fruit Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/twisted-hills-craft-cider/"">Twisted Hills Craft Cider</a>",Tangled Rose,Fruit Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Loganberry Cider,Fruit Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/c-squared-ciders/"">C Squared Ciders</a>",Ella,Hopped Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/citizen-cider/"">Citizen Cider</a>",The Full Nelson,Hopped Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",Hopshot,Hopped Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/grey-gold-cider/"">Grey & Gold Cider</a>",Spruce of the Bruce,Spiced Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/c-squared-ciders/"">C Squared Ciders</a>",Cuhl,Spiced Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/"">Suttons Bay Ciders</a>",I Spy Ginger,Spiced Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/bull-city-ciderworks/"">Bull City Ciderworks</a>",Slow Ryed,Wood Aged Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/donovan-orchards-estate-ciders/"">Donovan Orchards Estate Ciders</a>",Buffalo Bluegrass,Wood Aged Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Cuivré fût de chêne,Wood Aged Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",The Falstaff,Wood Aged Specialty Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Red Wine Barrel Aged Berry,Wood Aged Specialty Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Monterey Maple,Wood Aged Specialty Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/chateau-morrisette/"">Chateau Morrisette</a>",Cherry Ginger,Specialty Cider and Perry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",The Blossom Blend,Specialty Cider and Perry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",Apricot Sage,Specialty Cider and Perry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Wyder's Pear,Unlimited Cider and Perry,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Woodchuck Semi-Dry,Unlimited Cider and Perry,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Magners Original,Unlimited Cider and Perry,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/"">Twin Pines Orchards & Cider House</a>",Twin Pines Orchards Ice Cider,Ice Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Le Glacé,Ice Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Des Glaces - Récolte Hivernale IGP 2014,Ice Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/vergers-de-velours/"">Vergers de Velours</a>",Les belles du Lac,Fortified Cider,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",Pommeau,Fortified Cider,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/cold-hand-winery/"">Cold Hand Winery</a>",Malus X - Feminam 2015,Fortified Cider,3rd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/ferme-de-romilly/"">Ferme de Romilly</a>",Vergers de Romilly Calvados,Spirits,2nd Place
2018,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Apple Brandy - Cask,Spirits,3rd Place
