WID,Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2252,Caribé Tropical Hard Cider,Florida,United States,0,3,1,4,2015,2019,4,Active,"<a href=""https://caribbreweryusa.com/"">Website</a>","<a href=""https://www.facebook.com/people/Carib-Brewery-USA/100071513900968/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5794166466253271261"">Google</a>","<a href=""https://www.yelp.com/biz/carib-brewery-usa-cape-canaveral"">Yelp</a>",,"<a href=""https://untappd.com/floridabeer"">Untappd</a>"
1999,Les Celliers Associés,Brittany,France,0,3,1,4,2021,2022,2,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
681,White Winter Winery,Wisconsin,United States,0,2,2,4,2017,2024,2,Active,"<a href=""https://whitewinter.com/"">Website</a>","<a href=""https://www.facebook.com/WhiteWinterWinery/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13642608818447326025"">Google</a>","<a href=""https://www.yelp.com/biz/white-winter-winery-iron-river"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g59986-d2457860"">TripAdvisor</a>","<a href=""https://untappd.com/w/white-winter-winery/1359"">Untappd</a>"
3123,Windmill Ridge Acres,Ontario,Canada,2,1,0,3,2023,2024,2,Active,"<a href=""https://www.windmillridge.ca/"">Website</a>","<a href=""https://www.facebook.com/windmillridgeacres/"">Facebook</a>","<a href=""https://www.instagram.com/windmillridgeacres/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15963586865573618177"">Google</a>",,,"<a href=""https://untappd.com/w/windmill-ridge-craft-brew/539150"">Untappd</a>"
547,Saro Cider,Nebraska,United States,1,2,0,3,2020,2021,2,Active,"<a href=""https://sarocider.com/"">Website</a>","<a href=""https://www.facebook.com/4SaroCider"">Facebook</a>","<a href=""https://www.instagram.com/sarocider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14239117714929818609"">Google</a>","<a href=""https://www.yelp.com/biz/saro-cider-lincoln"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590"">TripAdvisor</a>","<a href=""https://untappd.com/w/saro-cider/407311"">Untappd</a>"
2286,Apple Barrel Orchards,New York,United States,1,1,1,3,2023,2024,2,Active,"<a href=""https://applebarrelorchards.com/"">Website</a>","<a href=""https://www.facebook.com/applebarrelorchards"">Facebook</a>","<a href=""https://www.instagram.com/applebarrelorchards"">Instagram</a>","<a href=""https://maps.google.com/?cid=6734152269443403352"">Google</a>","<a href=""https://www.yelp.com/biz/apple-barrel-orchards-penn-yan"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48378-d7187340"">TripAdvisor</a>","<a href=""https://untappd.com/w/apple-barrel-orchards/549035"">Untappd</a>"
12,Boss Cider Company,Michigan,United States,1,1,1,3,2020,2020,1,Active,"<a href=""https://www.bosscider.com/"">Website</a>","<a href=""https://www.facebook.com/BossCider"">Facebook</a>","<a href=""https://www.instagram.com/bosscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1969051789610674635"">Google</a>","<a href=""https://www.yelp.com/biz/boss-cider-leslie"">Yelp</a>",,"<a href=""https://untappd.com/w/boss-cider-company/445688"">Untappd</a>"
999,Doc Waters Cidery,Maryland,United States,1,1,1,3,2023,2024,2,Active,"<a href=""https://www.docwaterscidery.com/"">Website</a>","<a href=""https://www.facebook.com/docwaterscidery"">Facebook</a>","<a href=""https://www.instagram.com/docwaterscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897969821393799631"">Google</a>","<a href=""https://www.yelp.com/biz/doc-waters-cidery-germantown-3"">Yelp</a>",,"<a href=""https://untappd.com/w/doc-waters-cidery/408791"">Untappd</a>"
1133,Dunkertons Cider and Perry,Herefordshire,England,1,1,1,3,2016,2017,2,Active,"<a href=""https://www.dunkertonscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/dunkertonsorganiccider/"">Facebook</a>","<a href=""https://www.instagram.com/dunkertonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719921113153419800"">Google</a>",,,"<a href=""https://untappd.com/brewery/12988"">Untappd</a>"
707,Muse Orchard,Virginia,United States,1,1,1,3,2021,2022,2,Active,,,,,,,"<a href=""https://untappd.com/w/widow-s-watch-cider/532630"">Untappd</a>"
495,Quantum Leap Winery,Florida,United States,1,1,1,3,2017,2020,3,Active,"<a href=""https://quantumleapwinery.com/"">Website</a>","<a href=""https://www.facebook.com/QuantumLeapWinery/"">Facebook</a>","<a href=""https://www.instagram.com/quantumleapwinery/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/quantum-leap-winery/237930"">Untappd</a>"
650,Tumbling Creek Cider Company,Virginia,United States,1,1,1,3,2021,2023,3,Active,"<a href=""https://tumblingcreekcider.com/"">Website</a>","<a href=""https://www.facebook.com/TumblingCreekCider"">Facebook</a>","<a href=""https://www.instagram.com/tumblingcreekcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8196003782694988545"">Google</a>",,,"<a href=""https://untappd.com/w/tumbling-creek-cider-company/447864"">Untappd</a>"
2035,Covered Bridge Brewing,Oregon,United States,1,0,2,3,2020,2022,3,Inactive,,,,,,,
415,Meriwether Cider Company,Idaho,United States,1,0,2,3,2018,2019,2,Active,"<a href=""https://www.meriwethercider.com/"">Website</a>","<a href=""https://www.facebook.com/meriwethercider"">Facebook</a>","<a href=""https://www.instagram.com/meriwethercider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7830741432069672416"">Google</a>","<a href=""https://www.yelp.com/biz/meriwether-cider-company-garden-city-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g35459-d10034505"">TripAdvisor</a>","<a href=""https://untappd.com/w/meriwether-cider-company/222316"">Untappd</a>"
553,Seattle Cider Company,Washington,United States,1,0,2,3,2016,2017,2,Active,"<a href=""http://www.seattlecidercompany.com/"">Website</a>","<a href=""https://www.facebook.com/SeattleCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/seattleciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10339393864619567754"">Google</a>","<a href=""https://www.yelp.com/biz/seattle-cider-company-seattle"">Yelp</a>",,"<a href=""https://untappd.com/w/seattle-cider-company/75923"">Untappd</a>"
90,Appalachian Mountain Brewery,North Carolina,United States,0,3,0,3,2015,2017,3,Active,"<a href=""https://www.amb.beer/"">Website</a>","<a href=""https://www.facebook.com/appalachianmountain.brewery/"">Facebook</a>","<a href=""https://www.instagram.com/appalachianmountainbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5564632093346928631"">Google</a>","<a href=""https://www.yelp.com/biz/appalachian-mountain-brewery-boone"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48975-d4185372"">TripAdvisor</a>","<a href=""https://untappd.com/w/appalachian-mountain-cidery/199566"">Untappd</a>"
2239,Ola Brew,Hawaii,United States,0,3,0,3,2019,2022,3,Active,"<a href=""https://www.olabrewco.com/"">Website</a>","<a href=""https://www.facebook.com/OlaBrewCo"">Facebook</a>","<a href=""https://www.instagram.com/olabrewco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15799959683814156778"">Google</a>","<a href=""https://www.yelp.com/biz/ola-brew-kailua-kona"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60872-d13368863"">TripAdvisor</a>","<a href=""https://untappd.com/OlaBrewCompany"">Untappd</a>"
2575,Jeff Carlson,Michigan,United States,0,2,1,3,2015,2024,3,Inactive,,,,,,,
432,Mountain West Cider Company,Utah,United States,0,2,1,3,2022,2023,2,Active,"<a href=""http://mountainwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/MountainWestHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/mountainwestcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16538924633378887108"">Google</a>","<a href=""https://www.yelp.com/biz/mountain-west-cider-salt-lake-city"">Yelp</a>",,"<a href=""https://untappd.com/w/mountain-west-hard-cider/235312"">Untappd</a>"
126,Big B's Hard Cider,Colorado,United States,0,1,2,3,2016,2019,3,Active,"<a href=""https://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
211,Common Cider Company,California,United States,0,1,2,3,2016,2019,3,Inactive,,,,,,,
353,Atomic Dog Hard Cider,Pennsylvania,United States,0,0,3,3,2017,2022,2,Active,"<a href=""https://atomicdoghardcider.com/"">Website</a>","<a href=""https://www.facebook.com/atomicdoghardcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7169999648774734369"">Google</a>","<a href=""https://www.yelp.com/biz/the-core-kitchen-at-atomic-dog-cidery-gettysburg"">Yelp</a>",,"<a href=""https://untappd.com/w/atomic-dog-cidery/547121"">Untappd</a>"
2178,Domaine des 5 D,Normandy,France,2,0,0,2,2016,2017,2,Active,"<a href=""http://cidreriedaufresne.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069411953752"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8401719320995507859"">Google</a>",,,"<a href=""https://untappd.com/CidrerieDaufresne"">Untappd</a>"
1908,Mount Diablo Cider Company,California,United States,2,0,0,2,2021,2022,2,Active,"<a href=""https://www.mountdiablocider.com/"">Website</a>","<a href=""https://www.facebook.com/mountdiablocider"">Facebook</a>","<a href=""https://www.instagram.com/mountdiablocider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mount-diablo-cider-company/527606"">Untappd</a>"
497,Ragged Hill Cider,Massachusetts,United States,2,0,0,2,2018,2019,2,Active,"<a href=""https://www.raggedhillcider.com/"">Website</a>","<a href=""https://www.facebook.com/RaggedHillCider/"">Facebook</a>","<a href=""https://www.instagram.com/raggedhillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12743756096350248911"">Google</a>","<a href=""https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41900-d13976564"">TripAdvisor</a>","<a href=""https://untappd.com/w/ragged-hill-cider-company/339946"">Untappd</a>"
3462,Thomas Brothers Hard Cider,California,United States,2,0,0,2,2019,2020,2,Inactive,,,,,,,
864,West Avenue Cider,Ontario,Canada,2,0,0,2,2016,2017,2,Active,"<a href=""https://www.westavenue.ca/"">Website</a>","<a href=""https://www.facebook.com/WestAvenueCider"">Facebook</a>","<a href=""https://www.instagram.com/westavenuecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2732627738094534556"">Google</a>","<a href=""https://www.yelp.com/biz/west-avenue-cider-house-freelton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154990-d15192590"">TripAdvisor</a>","<a href=""https://untappd.com/w/west-avenue-cider/72499"">Untappd</a>"
103,Avid Cider,Oregon,United States,1,1,0,2,2018,2020,2,Active,"<a href=""https://avidcider.com/"">Website</a>","<a href=""https://www.facebook.com/AVIDCider/"">Facebook</a>","<a href=""https://www.instagram.com/avidcidercompany/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/atlas-cider-co-bend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51766-d6870614"">TripAdvisor</a>","<a href=""https://untappd.com/w/atlas-cider-company/65739"">Untappd</a>"
3459,Kopparberg,Örebro,Sweden,1,1,0,2,2021,2021,1,Active,"<a href=""https://kopparberg.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=9190022698371839045"">Google</a>",,,"<a href=""https://untappd.com/w/kopparbergs-bryggeri/6350"">Untappd</a>"
3489,Trump Cidery,Virginia,United States,1,1,0,2,2024,2024,1,Active,"<a href=""https://www.trumpwinery.com/cidery/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=61556781914582"">Facebook</a>","<a href=""https://www.instagram.com/trumpcidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5076746479216071156"">Google</a>","<a href=""https://www.yelp.com/biz/trump-cidery-no-title"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57592-d27958022"">TripAdvisor</a>","<a href=""https://untappd.com/w/trump-cidery/560673"">Untappd</a>"
2053,Vergers de Romilly,Normandy,France,1,1,0,2,2017,2018,2,Active,"<a href=""https://vergersderomilly.com/"">Website</a>","<a href=""https://www.facebook.com/romillycidre/"">Facebook</a>","<a href=""https://www.instagram.com/romillycidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17784069933896314553"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1009737-d2196474"">TripAdvisor</a>","<a href=""https://untappd.com/RomillyFrenchCidre"">Untappd</a>"
127,Big Fish Cider Co.,Virginia,United States,1,0,1,2,2020,2020,1,Active,"<a href=""http://www.bigfishcider.com/"">Website</a>","<a href=""https://www.facebook.com/BigFishCider/"">Facebook</a>","<a href=""https://www.instagram.com/big_fish_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10686446551531832863"">Google</a>","<a href=""https://www.yelp.com/biz/big-fish-cider-monterey"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57982-d10413095"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-fish-cider-co/202963"">Untappd</a>"
3116,Cherry Street Brewing,Georgia,United States,1,0,1,2,2023,2024,2,Active,"<a href=""https://cherrystreetbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/cherrystreetbrewing/"">Facebook</a>","<a href=""https://www.instagram.com/cherrystreetbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16068754441412803212"">Google</a>","<a href=""https://www.yelp.com/biz/cherry-street-brewing-cooperative-cumming"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g34877-d10428081"">TripAdvisor</a>","<a href=""https://untappd.com/CherryStreetBrewing"">Untappd</a>"
199,Citizen Cider,Vermont,United States,1,0,1,2,2016,2017,2,Active,"<a href=""https://www.citizencider.com/"">Website</a>","<a href=""https://www.facebook.com/citizencider"">Facebook</a>","<a href=""https://www.instagram.com/citizencider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=705537445817027258"">Google</a>","<a href=""https://www.yelp.com/biz/citizen-cider-burlington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57201-d6924616"">TripAdvisor</a>","<a href=""https://untappd.com/w/citizen-cider/24209"">Untappd</a>"
209,Colorado Cider Company,Colorado,United States,1,0,1,2,2016,2016,1,Active,"<a href=""http://www.coloradocider.com/"">Website</a>","<a href=""https://www.facebook.com/coloradocider"">Facebook</a>","<a href=""https://www.instagram.com/coloradocidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9606181927626096546"">Google</a>","<a href=""https://www.yelp.com/biz/colorado-cider-denver"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g33388-d8505809"">TripAdvisor</a>","<a href=""https://untappd.com/w/colorado-cider-company/11426"">Untappd</a>"
2236,Sycamore Brewing,North Carolina,United States,1,0,1,2,2019,2019,1,Active,"<a href=""https://www.sycamorebrew.com/"">Website</a>","<a href=""https://www.facebook.com/SycamoreBrewing/"">Facebook</a>","<a href=""https://www.instagram.com/sycamorebrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4876898246003691885"">Google</a>","<a href=""https://www.yelp.com/biz/sycamore-brewing-charlotte-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g49022-d7234229"">TripAdvisor</a>","<a href=""https://untappd.com/SycamoreBrewing"">Untappd</a>"
949,Armageddon Brewing,New Jersey,United States,0,2,0,2,2024,2024,1,Active,"<a href=""https://www.armageddon-brewing.com/"">Website</a>","<a href=""https://www.facebook.com/armageddonbrewing"">Facebook</a>","<a href=""https://www.instagram.com/armageddonbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14423006988471622028"">Google</a>","<a href=""https://www.yelp.com/biz/armageddon-brewing-somerdale"">Yelp</a>",,"<a href=""https://untappd.com/ArmageddonBrewing"">Untappd</a>"
789,Garage D'or Ciders,Ontario,Canada,0,2,0,2,2016,2017,2,Inactive,,,,,,,
303,Gowan's Heirloom Ciders,California,United States,0,2,0,2,2020,2020,1,Active,"<a href=""http://www.gowansheirloomcider.com/"">Website</a>","<a href=""https://www.facebook.com/gowanscider/"">Facebook</a>","<a href=""https://www.instagram.com/gowanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14585432541984297394"">Google</a>","<a href=""https://www.yelp.com/biz/gowan-s-cider-philo"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g32878-d23631277"">TripAdvisor</a>","<a href=""https://untappd.com/w/gowans-hard-cider/200818"">Untappd</a>"
716,401 Cider Brewery,Ontario,Canada,0,1,1,2,2016,2019,2,Active,"<a href=""https://www.401cidercompany.com/"">Website</a>","<a href=""https://www.facebook.com/401CiderBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/401ciderbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15904679425375007750"">Google</a>","<a href=""https://www.yelp.com/biz/the-big-apple-colborne"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g5414486-d586711"">TripAdvisor</a>","<a href=""https://untappd.com/w/401-brewery/207707"">Untappd</a>"
1642,Adams Cider Company,Tipperary,Ireland,0,1,1,2,2019,2019,1,Active,,"<a href=""https://www.facebook.com/devilsbitcider"">Facebook</a>","<a href=""https://www.instagram.com/devilsbitcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/AdamsCiderCompany"">Untappd</a>"
128,Big Hill Ciderworks,Pennsylvania,United States,0,1,1,2,2016,2017,2,Active,"<a href=""https://www.bighillcider.com/"">Website</a>","<a href=""https://www.facebook.com/BigHillCider/"">Facebook</a>","<a href=""https://www.instagram.com/bighillciderworks"">Instagram</a>","<a href=""https://maps.google.com/?cid=11839293456795799865"">Google</a>","<a href=""https://www.yelp.com/biz/big-hill-ciderworks-gardners"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g52702-d24083733"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-hill-ciderworks/126817"">Untappd</a>"
464,Orchard Girls,Maine,United States,0,1,1,2,2022,2024,2,Active,"<a href=""http://orchardgirls.com/"">Website</a>","<a href=""https://www.facebook.com/orchardgirlscider/"">Facebook</a>","<a href=""https://www.instagram.com/orchardgirlscider"">Instagram</a>","<a href=""https://maps.google.com/?cid=2486607221948549190"">Google</a>","<a href=""https://www.yelp.com/biz/orchard-girls-cidery-kingfield"">Yelp</a>",,"<a href=""https://untappd.com/w/orchard-girls/420976"">Untappd</a>"
541,Sandia Hard Cider,New Mexico,United States,0,1,1,2,2022,2022,1,Active,,"<a href=""https://www.facebook.com/sandiahardcider/"">Facebook</a>","<a href=""https://www.instagram.com/sandiahardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10960141526376680070"">Google</a>","<a href=""https://www.yelp.com/biz/the-craftroom-albuquerque"">Yelp</a>",,"<a href=""https://untappd.com/w/sandia-hard-cider/286813"">Untappd</a>"
651,Turquoise Barn Cider,California,United States,0,1,1,2,2017,2018,2,Active,"<a href=""http://www.turquoisebarncider.com/"">Website</a>","<a href=""https://www.facebook.com/turquoisebarncider"">Facebook</a>","<a href=""https://www.instagram.com/turquoisebarncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11982641167925504503"">Google</a>","<a href=""https://www.yelp.com/biz/turquoise-barn-cider-ramona"">Yelp</a>",,"<a href=""https://untappd.com/w/turquoise-barn-cider/210564"">Untappd</a>"
145,Blue Barn Cidery,New York,United States,0,0,2,2,2023,2024,2,Active,"<a href=""https://www.bluebarncidery.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8104758114885529003"">Google</a>","<a href=""https://www.yelp.com/biz/blue-barn-cidery-hilton"">Yelp</a>",,"<a href=""https://untappd.com/BlueBarnCidery"">Untappd</a>"
215,Contoocook Cider Company,New Hampshire,United States,0,0,2,2,2019,2020,2,Active,"<a href=""https://www.contoocookcider.com/"">Website</a>","<a href=""https://www.facebook.com/contoocookcider"">Facebook</a>","<a href=""https://www.instagram.com/contoocook_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=5608445815929475021"">Google</a>","<a href=""https://www.yelp.com/biz/contoocook-cider-co-contoocook"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g46053-d3546159"">TripAdvisor</a>","<a href=""https://untappd.com/w/contoocook-cider-company/356350"">Untappd</a>"
328,Hidden Cave Cidery,Wisconsin,United States,0,0,2,2,2018,2022,2,Active,"<a href=""https://www.hiddencavecidery.com/"">Website</a>","<a href=""https://www.facebook.com/hiddencavecidery/"">Facebook</a>","<a href=""https://www.instagram.com/hiddencavecidery"">Instagram</a>","<a href=""https://maps.google.com/?cid=2326894092775693665"">Google</a>","<a href=""https://www.yelp.com/biz/hidden-cave-cidery-middleton"">Yelp</a>",,"<a href=""https://untappd.com/w/hidden-cave-cidery/395008"">Untappd</a>"
339,Houston Cider Company,Texas,United States,0,0,2,2,2019,2019,1,Active,"<a href=""https://www.houstoncidertx.com/"">Website</a>","<a href=""https://www.facebook.com/houstoncidercompany"">Facebook</a>","<a href=""https://www.instagram.com/houstoncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9879541345239427997"">Google</a>","<a href=""https://www.yelp.com/biz/town-in-city-brewing-company-houston"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g56003-d9609375"">TripAdvisor</a>","<a href=""https://untappd.com/w/houston-cider-company/300156"">Untappd</a>"
389,Liquid Alchemy Beverages,Delaware,United States,0,0,2,2,2017,2018,2,Active,"<a href=""https://www.liquidalchemybeverages.com/"">Website</a>","<a href=""https://www.facebook.com/LiquidAlchemyBeverages/"">Facebook</a>","<a href=""https://www.instagram.com/liquidalchemybeverages"">Instagram</a>","<a href=""https://maps.google.com/?cid=17392171192902258223"">Google</a>","<a href=""https://www.yelp.com/biz/liquid-alchemy-beverages-wilmington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g34059-d12048635"">TripAdvisor</a>","<a href=""https://untappd.com/w/liquid-alchemy-beverages/224415"">Untappd</a>"
3721,Wise Man Brewing,North Carolina,United States,0,0,2,2,2024,2024,1,Active,"<a href=""https://www.wisemanbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/wisemanbrewing/"">Facebook</a>","<a href=""https://www.instagram.com/wisemanbeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13467140978540966884"">Google</a>","<a href=""https://www.yelp.com/biz/wise-man-brewing-winston-salem-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g49680-d12221328"">TripAdvisor</a>","<a href=""https://untappd.com/WiseManBrewing"">Untappd</a>"
1227,Aspall,Suffolk,England,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.aspall.co.uk/"">Website</a>","<a href=""https://www.facebook.com/AspallUK/"">Facebook</a>","<a href=""https://www.instagram.com/aspalluk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281573289882642327"">Google</a>",,,"<a href=""https://untappd.com/brewery/3468"">Untappd</a>"
3456,Cellar Door Cider,California,United States,1,0,0,1,2019,2019,1,Inactive,,,,,,,
290,Freewater Cider and Wine Company,Oregon,United States,1,0,0,1,2024,2024,1,Active,"<a href=""http://www.freewatercider.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3598112635185277642"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g51971-d23305550"">TripAdvisor</a>","<a href=""https://untappd.com/w/freewater-cider-co/419915"">Untappd</a>"
397,Lost Giants Cider Company,Washington,United States,1,0,0,1,2020,2020,1,Active,"<a href=""https://lostgiantscider.com/"">Website</a>","<a href=""https://www.facebook.com/LostGiantsCider"">Facebook</a>","<a href=""https://www.instagram.com/lostgiantsciderco"">Instagram</a>","<a href=""https://maps.google.com/?cid=3699889965366654678"">Google</a>","<a href=""https://www.yelp.com/biz/lost-giants-cider-company-bellingham"">Yelp</a>",,"<a href=""https://untappd.com/w/lost-giants-cider-company/395484"">Untappd</a>"
2219,Quartz Rock Vineyard,New York,United States,1,0,0,1,2024,2024,1,Active,"<a href=""https://quartzrockvineyard.com/"">Website</a>","<a href=""https://www.facebook.com/QuartzRockVineyard"">Facebook</a>","<a href=""https://www.instagram.com/bedrockcidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1886322759965400402"">Google</a>","<a href=""https://www.yelp.com/biz/quartz-rock-vineyard-marlboro-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48121-d3404475"">TripAdvisor</a>","<a href=""https://untappd.com/w/quartz-rock/537568"">Untappd</a>"
1119,Thatchers Cider,Somerset,England,1,0,0,1,2015,2015,1,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
58,Thornapple Brewing Company,Michigan,United States,1,0,0,1,2022,2022,1,Active,"<a href=""https://www.thornapplebrewing.com/"">Website</a>","<a href=""https://www.facebook.com/ThornappleBrewingCompany"">Facebook</a>","<a href=""https://www.instagram.com/thornapplebrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9646788014435304722"">Google</a>","<a href=""https://www.yelp.com/biz/thornapple-brewing-grand-rapids"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g19275776-d12838215"">TripAdvisor</a>","<a href=""https://untappd.com/w/thornapple-brewing-co/344603"">Untappd</a>"
3454,Ægir Brugghús,Capital Region,Iceland,0,1,0,1,2019,2019,1,Inactive,,,,,,,
947,Beach Bee Meadery,New Jersey,United States,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.beachbeemeadery.com/"">Website</a>","<a href=""https://www.facebook.com/beachbeemeadery/"">Facebook</a>","<a href=""https://www.instagram.com/drinkbeachbee/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3925888969412189535"">Google</a>","<a href=""https://www.yelp.com/biz/beach-bee-meadery-long-branch"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g46582-d21226866"">TripAdvisor</a>","<a href=""https://untappd.com/w/beach-bee-meadery/452564"">Untappd</a>"
1895,Broken Brix,Illinois,United States,0,1,0,1,2020,2020,1,Active,"<a href=""http://homebrewshopltd.com/"">Website</a>","<a href=""https://www.facebook.com/homebrewshopltd"">Facebook</a>","<a href=""https://www.instagram.com/brokenbrix_cidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11646904330402367413"">Google</a>",,,"<a href=""https://untappd.com/Broken_Brix"">Untappd</a>"
