ID,Year,Class,Award,WID,Entrant,Entry
314,2023,Newcomer Award,🥇 Gold,X,Steve Faulkner,Molly's Cider
315,2023,Newcomer Award,🥈 Silver,X,Riverside Cider,Battlefield Cider
316,2023,Newcomer Award,🥈 Silver,X,Riverside Cider,Bineham Court
317,2023,Newcomer Award,🥈 Silver,X,Pip Bailey,Chunky Monkey medium
318,2023,Newcomer Award,🥈 Silver,X,Riverside Cider,Windmill Flowers
319,2023,Newcomer Award,🥈 Silver,X,Over The Hill Cider,Disco-J
320,2023,Newcomer Award,🥈 Silver,X,Peter Captainino,Dry Cider
321,2023,Newcomer Award,🥈 Silver,X,Over The Hill Cider,Blue Stripe Dab
322,2023,Newcomer Award,🥈 Silver,X,Abbey Orchards,Traditional Bottle Conditioned Cider
323,2023,Newcomer Award,🥈 Silver,X,Steve Faulkner,Jasmine's Cider
324,2023,Newcomer Award,🥈 Silver,X,Wyatts,
325,2023,Newcomer Award,🥈 Silver,X,Lewis Henry,Glasshouse Yellow
326,2023,Newcomer Award,🥈 Silver,X,Sweeting's Cider,Golden Summer
327,2023,Newcomer Award,🥈 Silver,X,Sweeting's Cider,Sparkling Cascade
328,2023,Newcomer Award,🥈 Silver,X,Tom Cernohous,Oaked Dry Snowdonian
329,2023,Newcomer Award,🥈 Silver,X,W-G Cider,W-G Farmhouse Cider
330,2023,Newcomer Award,🥈 Silver,X,William Barnes,Padfield House Medium Cider
331,2023,Newcomer Award,🥈 Silver,X,William Barnes,Padfield House Dry Cider
332,2023,Newcomer Award,🥈 Silver,X,Steve Faulkner,Tippi's Cider
333,2023,Newcomer Award,🥉 Bronze,3143,Seidr Ci Ddu,Premium whole juice still cider
334,2023,Newcomer Award,🥉 Bronze,X,Paul Rendell,Northleigh cider
335,2023,Newcomer Award,🥉 Bronze,X,Park Farm,Kelston Tump
336,2023,Newcomer Award,🥉 Bronze,X,Lewis Henry,Glasshouse green
337,2023,Newcomer Award,🥉 Bronze,X,Hayloft,Hayloft
338,2023,Newcomer Award,🥉 Bronze,X,Chris Conroy,Axbridge medium
339,2023,Newcomer Award,🥉 Bronze,X,Chris Conroy,Axbridge sweet
340,2023,Newcomer Award,🥉 Bronze,X,Chris Conroy,Axbridge dry
341,2023,Newcomer Award,🥉 Bronze,X,Lisa Letchford,Letchford's Cyder
342,2023,Newcomer Award,🥉 Bronze,X,Park Farm,Kelston sparkling cider
343,2024,Open Class Dry,🏆 Best in Class,X,William Barnes,Padfield Cider
344,2024,Open Class Dry,🥈 Silver,2075,Artistraw Cider,Strange Shrew
345,2024,Open Class Dry,🥈 Silver,X,Dee Ciders,Richard's Dry Cider
346,2024,Open Class Dry,🥈 Silver,X,Broadpool Cider,Broadpool Dry Cider
347,2024,Open Class Dry,🥈 Silver,1572,Woodredding Cider and Perry,Oaky Meadow
348,2024,Open Class Dry,🥈 Silver,X,Mount Vale Orchards,St Aubyn's Dry
349,2024,Open Class Dry,🥈 Silver,3144,BetterCider - Bristol University,Prince William & Ellis Blend
350,2024,Open Class Dry,🥈 Silver,X,Orchard 101,Herakles
351,2024,Open Class Dry,🥈 Silver,3312,W-G Cider,W-G Farmhouse Cider
352,2024,Open Class Dry,🥈 Silver,X,North Down Orchard,Dry
353,2024,Open Class Dry,🥈 Silver,X,Dr Rob Whale,Festival Dry
354,2024,Open Class Dry,🥈 Silver,1381,Pips Cider,Pips Dry Cider
355,2024,Open Class Dry,🥈 Silver,1657,Hitchcox Cider,Hitchcox Cider
356,2024,Open Class Dry,🥈 Silver,X,Abbey Orchards,Abbott's Secret 2022
357,2024,Open Class Dry,🥈 Silver,X,Dinnington Cider Press,Dragonfly Cider
358,2024,Open Class Dry,🥈 Silver,2530,Wild West Cider,A Day At The Races
359,2024,Open Class Dry,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Dry Carbonated Cider
360,2024,Open Class Dry,🥉 Bronze,2520,Palmers Upland Cyder,Cwn Annwn
361,2024,Open Class Dry,🥉 Bronze,X,Jonathan Marsden,Draycott Farm Cider
362,2024,Open Class Dry,🥉 Bronze,2990,Loader's Cider,Loader's Dry 2021
363,2024,Open Class Dry,🥉 Bronze,2990,Loader's Cider,Loader's Drycider
364,2024,Open Class Dry,🥉 Bronze,2075,Artistraw Cider,Jury
365,2024,Open Class Dry,🥉 Bronze,X,Martin Pagett,Pagetts Traditional Cider
366,2024,Open Class Dry,🥉 Bronze,X,Camilla Humphries,Camilla’s Crush Red Hill Cider
367,2024,Open Class Dry,🥉 Bronze,2354,Chapel Sider,Witham Sunrise
368,2024,Open Class Dry,🥉 Bronze,X,Northleigh Cider,Northleigh Cider
369,2024,Open Class Dry,🥉 Bronze,2531,Rawlins Family Cider,Dry
370,2024,Open Class Dry,🥉 Bronze,X,Crest Cyder,Traditional
371,2024,Open Class Dry,🥉 Bronze,3313,Wolds Wine Estate,Still Wild
372,2024,Open Class Dry,🥉 Bronze,1107,Showerings,Showerings Dry Cider
373,2024,Open Class Dry,🥉 Bronze,3207,Rennie's Winslow Cider,Rennie's Winslow Dry Cider
374,2024,Open Class Dry,🥉 Bronze,X,Seven Trees Cider,Kingston Black
375,2024,Open Class Dry,🥉 Bronze,X,Sweeting's Cider,Vintage Dry
376,2024,Open Class Dry,🥉 Bronze,X,Lower Rydon,Farmhouse
377,2024,Open Class Dry,🥉 Bronze,X,Lower Rydon,Farmhouse
378,2024,Open Class Dry,🥉 Bronze,X,Abbey Orchards,Abbott's Secret 2023
379,2024,Open Class Dry,🥉 Bronze,X,The Hayloft,Orchard Blend
380,2024,Open Class Medium,🏆 Best in Class,2531,Rawlins Family Cider,Medium
381,2024,Open Class Medium,🥇 Gold,X,James and Becky Gerlis-Gray,Crowded Rooms
382,2024,Open Class Medium,🥇 Gold,1657,Hitchcox Cider,Hitchcox Medium
383,2024,Open Class Medium,🥈 Silver,2476,Kentish Pip,Craftsman
384,2024,Open Class Medium,🥈 Silver,X,Glastonbury Abbey,Glastonbury Abbey Cider
385,2024,Open Class Medium,🥈 Silver,2990,Loader's Cider,Loader's Sweetings Mill
386,2024,Open Class Medium,🥈 Silver,2144,Courtneys of Whimple,Silly Cow Cider
387,2024,Open Class Medium,🥈 Silver,X,Chris Conroy,"Colonels Cider, White Top"
388,2024,Open Class Medium,🥈 Silver,1683,Cranborne Chase Cider,General Pitt Rivers
389,2024,Open Class Medium,🥈 Silver,1448,Bere Cider Company,5 Acres
390,2024,Open Class Medium,🥈 Silver,X,Broadpool Cider,Broadpool Medium Cider
391,2024,Open Class Medium,🥈 Silver,X,William Barnes,Padfield Cider
392,2024,Open Class Medium,🥈 Silver,1107,Showerings,Showerings Medium Cider
393,2024,Open Class Medium,🥈 Silver,X,Broadpool Cider,Broadpool Medium Cider
394,2024,Open Class Medium,🥈 Silver,X,North Down Orchard,Medium
395,2024,Open Class Medium,🥈 Silver,X,Dr Rob Whale,Premium Medium
396,2024,Open Class Medium,🥈 Silver,X,Steve Faulkner,Jasmine's Meduim
397,2024,Open Class Medium,🥉 Bronze,2476,Kentish Pip,Skylark
398,2024,Open Class Medium,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Still Cider
399,2024,Open Class Medium,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Carbonated Cider
400,2024,Open Class Medium,🥉 Bronze,X,Jonathan Marsden,Draycott Farm Cider
401,2024,Open Class Medium,🥉 Bronze,X,Hartpury University Cider Project,Hartpury Cider 2023 Crop
402,2024,Open Class Medium,🥉 Bronze,X,Dee Ciders,Richard's Medium Cider
403,2024,Open Class Medium,🥉 Bronze,X,Chris Conroy,"Colonels Cider, Red Stripe"
404,2024,Open Class Medium,🥉 Bronze,1121,Tricky Cider,Wizard
405,2024,Open Class Medium,🥉 Bronze,X,Paul Rendell,Northleigh Cider
406,2024,Open Class Medium,🥉 Bronze,1572,Woodredding Cider and Perry,Jack's Tipple
407,2024,Open Class Medium,🥉 Bronze,1880,Little Pomona,Little Miracle
408,2024,Open Class Medium,🥉 Bronze,3144,BetterCider - Bristol University,Falstaff Blend
409,2024,Open Class Medium,🥉 Bronze,X,Alan Berry,Blackmore Vale Cider
410,2024,Open Class Medium,🥉 Bronze,2519,Shed Cider,Medium Sweet Sparkling
411,2024,Open Class Medium,🥉 Bronze,3207,Rennie's Winslow Cider,Rennie's Winslow Cider
412,2024,Open Class Medium,🥉 Bronze,X,Seven Trees Cider,Reading Press
413,2024,Open Class Medium,🥉 Bronze,X,Dr Rob Whale,Festival Medium
414,2024,Open Class Medium,🥉 Bronze,1381,Pips Cider,Pips Medium Cider
415,2024,Open Class Medium,🥉 Bronze,X,Sweeting's Cider,Monument Cider - Medium Sweet
416,2024,Open Class Sweet,🏆 Best in Class,1107,Showerings,Showerings Sweet Cider
417,2024,Open Class Sweet,🥇 Gold,X,Dee Ciders,Richard's Sweet Cider
418,2024,Open Class Sweet,🥇 Gold,X,William Barnes,Padfield Cider
419,2024,Open Class Sweet,🥈 Silver,X,Heritage Cider Limited,Medium
420,2024,Open Class Sweet,🥈 Silver,2990,Loader's Cider,Loader's Montys Gold
421,2024,Open Class Sweet,🥈 Silver,2144,Courtneys of Whimple,Whimple Orchards
422,2024,Open Class Sweet,🥈 Silver,1448,Bere Cider Company,Turnhill Sunrise
423,2024,Open Class Sweet,🥈 Silver,X,North Down Orchard,Sweet
424,2024,Open Class Sweet,🥈 Silver,1381,Pips Cider,Pips Sweet Cider
425,2024,Open Class Sweet,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Sweet Still Cider
426,2024,Open Class Sweet,🥉 Bronze,2075,Artistraw Cider,"She Loves Shrew (Yeah, Yeah, Yeah)"
427,2024,Open Class Sweet,🥉 Bronze,2075,Artistraw Cider,The Old Ways
428,2024,Open Class Sweet,🥉 Bronze,1572,Woodredding Cider and Perry,Sweet Celebration
429,2024,Open Class Sweet,🥉 Bronze,2531,Rawlins Family Cider,Sweet
430,2024,Open Class Sweet,🥉 Bronze,X,Alan Berry,Blackmore Vale Cider
431,2024,Open Class Sweet,🥉 Bronze,X,Dr Rob Whale,Festival Sweet
432,2024,Open Class Sweet,🥉 Bronze,2530,Wild West Cider,Crimson King
433,2024,Open Class Sweet,🥉 Bronze,3041,Sisson & Smith,Sweet Cider
434,2024,Fruit Cider,🏆 Best in Class,X,Dr Rob Whale,Pineapple Cider
435,2024,Fruit Cider,🥇 Gold,X,Broadpool Cider,Broadpool Hopped
436,2024,Fruit Cider,🥈 Silver,2476,Kentish Pip,Forager - Hedgerow Berry Cider
437,2024,Fruit Cider,🥈 Silver,2075,Artistraw Cider,Artistraw X Black Mountain Vineyard
438,2024,Fruit Cider,🥈 Silver,3233,Ganley & Naish Cider,Raspberry
439,2024,Fruit Cider,🥈 Silver,X,Broadpool Cider,Broadpool Hopped
440,2024,Fruit Cider,🥈 Silver,1657,Hitchcox Cider,Foxy Bramble
441,2024,Fruit Cider,🥈 Silver,2356,The Wee Scottish Cider Company,Sassenapple Sea
442,2024,Fruit Cider,🥉 Bronze,X,Heritage Cider Limited,English Berry
443,2024,Fruit Cider,🥉 Bronze,1450,Honey's Cider,Apple Black
444,2024,Fruit Cider,🥉 Bronze,1683,Cranborne Chase Cider,Elderflower Still Farmhouse Cider
445,2024,Fruit Cider,🥉 Bronze,1107,Brothers Drinks,Brothers Fruit Cider
446,2024,Two Bottles/Cans of Cider,🏆 Best in Class,X,Wyldlands,Gold
447,2024,Two Bottles/Cans of Cider,🥇 Gold,2371,Luke's Cider,Original Sin
448,2024,Two Bottles/Cans of Cider,🥇 Gold,2381,Ridge & Furrow Cider,Naturally Medium
449,2024,Two Bottles/Cans of Cider,🥈 Silver,X,Dowding's,Dowding's Tower Brue Sweet Still Cider
450,2024,Two Bottles/Cans of Cider,🥈 Silver,1449,Harry's Cider Company,Harry's Original
451,2024,Two Bottles/Cans of Cider,🥈 Silver,2144,Courtneys of Whimple,Whimple Orchards
452,2024,Two Bottles/Cans of Cider,🥈 Silver,3098,On Point Cider Company,Medium Sparkling
453,2024,Two Bottles/Cans of Cider,🥈 Silver,1450,Honey's Cider,Midford Unrefined
454,2024,Two Bottles/Cans of Cider,🥈 Silver,3314,Wadys Cider,Orchard Rambler
455,2024,Two Bottles/Cans of Cider,🥈 Silver,3233,Ganley & Naish Cider,Caught Adrift
456,2024,Two Bottles/Cans of Cider,🥈 Silver,2531,Rawlins Family Cider,Keeved Kingston Black
457,2024,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Vintage - Barrel Conditioned
458,2024,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Barn Owl - Farmhouse Cider
459,2024,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Grey Heron - Single Orchard Cider
460,2024,Two Bottles/Cans of Cider,🥈 Silver,X,Orchards Farm,Orchards Farm
461,2024,Two Bottles/Cans of Cider,🥈 Silver,2371,Luke's Cider,Infernal Serpent
462,2024,Two Bottles/Cans of Cider,🥈 Silver,2381,Ridge & Furrow Cider,Naturally Sweet
463,2024,Two Bottles/Cans of Cider,🥈 Silver,2485,Rull Orchard,Devon Heritage Blend
464,2024,Two Bottles/Cans of Cider,🥈 Silver,2512,The Parrett Cider Company,Parrett Standard
465,2024,Two Bottles/Cans of Cider,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Dry Still Cider
466,2024,Two Bottles/Cans of Cider,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Still Cider
467,2024,Two Bottles/Cans of Cider,🥉 Bronze,X,Moons Cider,Medium Sparkling
468,2024,Two Bottles/Cans of Cider,🥉 Bronze,X,Moons Cider,Orchard Moon
469,2024,Two Bottles/Cans of Cider,🥉 Bronze,1119,Thatchers Cider,Thatchers Vintage
470,2024,Two Bottles/Cans of Cider,🥉 Bronze,3208,Stones Cider,Ram Of Shepton
471,2024,Bottle Fermented (Methode Traditionelle),🏆 Best in Class,X,Alex Hill,Bollhayes
472,2024,Bottle Fermented (Methode Traditionelle),🥇 Gold,2485,Rull Orchard,Starlight
473,2024,Bottle Fermented (Methode Traditionelle),🥇 Gold,1119,Thatchers Cider,Thatchers Porters Perfection & Vilberie
474,2024,Bottle Fermented (Methode Traditionelle),🥈 Silver,X,Alex Hill,Bollhayes
475,2024,Bottle Fermented (Methode Traditionelle),🥈 Silver,X,John and Naomi Wakelin,Harromint House Cider
476,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,2476,Kentish Pip,Forwhelp +
477,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,1449,Harry's Cider Company,Fine Sparkling Cider
478,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,3098,On Point Cider Company,Sur Pointe
479,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,1942,Tinston Cider,Tinston Gateway 2021
480,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,X,Strange Lady Cider,Strange Lady Cider 2022
481,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,1942,Tinston Cider,Tinston Anatomy 2021
482,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,2356,The Wee Scottish Cider Company,Seidear Pitmedden
483,2024,Bottle Fermented (Methode Traditionelle),🥉 Bronze,2356,The Wee Scottish Cider Company,Seidear Ellon Castle
484,2024,Keeved Cider,🏆 Best in Class,2520,Palmers Upland Cyder,Keeved Special Reserve
485,2024,Keeved Cider,🥇 Gold,3041,Sisson & Smith,Keeved
486,2024,Keeved Cider,🥈 Silver,1683,Cranborne Chase Cider,Dorsecco
487,2024,Keeved Cider,🥈 Silver,2531,Rawlins Family Cider,Keeved Kingston Black
488,2024,Keeved Cider,🥈 Silver,2531,Rawlins Family Cider,Keeved Medium Sweet
489,2024,Keeved Cider,🥈 Silver,X,Dr Rob Whale,Keeved
490,2024,Keeved Cider,🥈 Silver,X,Dinnington Cider Press,Cidre Bouché Village
491,2024,Keeved Cider,🥈 Silver,1113,Hecks Cider,Keeved Dunkertons Late Sweet
492,2024,Keeved Cider,🥉 Bronze,X,Wyldlands,Keeved
493,2024,Keeved Cider,🥉 Bronze,2531,Rawlins Family Cider,Keeved Yarlington
494,2024,Keeved Cider,🥉 Bronze,2485,Rull Orchard,Orchard Blend 2023
495,2024,Keeved Cider,🥉 Bronze,2485,Rull Orchard,Vibrant
496,2024,Keeved Cider,🥉 Bronze,1657,Hitchcox Cider,Hitchcox Keeved
497,2024,Keeved Cider,🥉 Bronze,X,Dinnington Cider Press,Cidre Bouché
498,2024,Bottle Fermented,🏆 Best in Class,X,John and Naomi Wakelin,Harromint House Cider
499,2024,Bottle Fermented,🥈 Silver,2075,Artistraw Cider,Bisquet
500,2024,Bottle Fermented,🥈 Silver,X,Wyldlands,Gold
501,2024,Bottle Fermented,🥈 Silver,X,Ian Philp,Wyatts Naturally Sparkling Cider
502,2024,Bottle Fermented,🥉 Bronze,2075,Artistraw Cider,"She Loves Shrew (Yeah, Yeah, Yeah)"
503,2024,Bottle Fermented,🥉 Bronze,2354,Chapel Sider,Inspiration
504,2024,Bottle Fermented,🥉 Bronze,X,Paul Rendell,Northleigh Cider
505,2024,Bottle Fermented,🥉 Bronze,X,William Barnes,Padfield Cider
506,2024,Bottle Fermented,🥉 Bronze,1880,Little Pomona,"Kingston Black, Dragon Orchard, 2022"
507,2024,Bottle Fermented,🥉 Bronze,X,Abbey Orchards,Abbott's Secret 2023
508,2024,Bottle Fermented,🥉 Bronze,2371,Luke's Cider,Five Virtues
509,2024,Single Variety Cider,🏆 Best in Class,1448,Bere Cider Company,Yarlington Mill
510,2024,Single Variety Cider,🥈 Silver,X,Heritage Cider Limited,Row 34 ( Redstreak)
511,2024,Single Variety Cider,🥈 Silver,1450,Honey's Cider,Brown Snout Single Variety Cider
512,2024,Single Variety Cider,🥈 Silver,1448,Bere Cider Company,Dabinett
513,2024,Single Variety Cider,🥈 Silver,1572,Woodredding Cider and Perry,Kingston Black
514,2024,Single Variety Cider,🥈 Silver,2531,Rawlins Family Cider,Keeved Kingston Black
515,2024,Single Variety Cider,🥈 Silver,2531,Rawlins Family Cider,Yarlington Mill
516,2024,Single Variety Cider,🥈 Silver,2531,Rawlins Family Cider,Somerset Redstreak
517,2024,Single Variety Cider,🥈 Silver,1880,Little Pomona,"Kingston Black, Hill Farm, 2022"
518,2024,Single Variety Cider,🥈 Silver,2485,Rull Orchard,Hmj
519,2024,Single Variety Cider,🥈 Silver,2519,Shed Cider,"Still, Somerset Redstreak"
520,2024,Single Variety Cider,🥈 Silver,X,Steve Faulkner,Stoke Red
521,2024,Single Variety Cider,🥈 Silver,X,Dr Rob Whale,Dabinett
522,2024,Single Variety Cider,🥈 Silver,1116,Perry’s Cider,Redstreak - Single Variety
523,2024,Single Variety Cider,🥈 Silver,X,Sweeting's Cider,Vintage Dry
524,2024,Single Variety Cider,🥈 Silver,1119,Thatchers Cider,Thatchers Three Counties
525,2024,Single Variety Cider,🥈 Silver,3208,Stones Cider,Stones Dabinette
526,2024,Single Variety Cider,🥈 Silver,2512,The Parrett Cider Company,Northwood
527,2024,Single Variety Cider,🥉 Bronze,1449,Harry's Cider Company,Harry's Dabinett
528,2024,Single Variety Cider,🥉 Bronze,2075,Artistraw Cider,Court Royal
529,2024,Single Variety Cider,🥉 Bronze,X,Northleigh Cider,Kingston Black
530,2024,Single Variety Cider,🥉 Bronze,X,William Barnes,Padfield Cider: Kingston Black
531,2024,Single Variety Cider,🥉 Bronze,X,Steve Faulkner,Yarlington Mill
532,2024,Single Variety Cider,🥉 Bronze,X,Steve Faulkner,Kingston Black
533,2024,Single Variety Cider,🥉 Bronze,X,Dr Rob Whale,Yarlington Mill
534,2024,Single Variety Cider,🥉 Bronze,1116,Perry’s Cider,Dabinett - Single Variety
535,2024,Single Variety Cider,🥉 Bronze,X,Sweeting's Cider,Naturally Delicious Craft Cider
536,2024,Single Variety Cider,🥉 Bronze,1657,Hitchcox Cider,Kingston Black
537,2024,Single Variety Cider,🥉 Bronze,1657,Hitchcox Cider,Dabinet
538,2024,Single Variety Cider,🥉 Bronze,1140,Butford Organics,Dabinett
539,2024,Single Variety Cider,🥉 Bronze,2371,Luke's Cider,Apple Of Discord - Yarlington Mill
540,2024,Single Variety Cider,🥉 Bronze,X,Tom Cernohous - Cidermil,One And Only Dabinett
541,2024,Modern Cider,🏆 Best in Class,1880,Little Pomona,Wading In
542,2024,Modern Cider,🥇 Gold,2476,Kentish Pip,High Diver
543,2024,Modern Cider,🥇 Gold,1119,Thatchers Cider,Thatchers Katy
544,2024,Modern Cider,🥈 Silver,2144,Courtneys of Whimple,Dapple
545,2024,Modern Cider,🥈 Silver,1942,Tinston Cider,Tinston Gateway 2021
546,2024,Modern Cider,🥈 Silver,1942,Tinston Cider,Tinston Anatomy 2021
547,2024,Modern Cider,🥈 Silver,X,Broadpool Cider,Broadpool Cider
548,2024,Modern Cider,🥈 Silver,3144,BetterCider - Bristol University,Joanna Cider
549,2024,Modern Cider,🥈 Silver,2485,Rull Orchard,Sunset
550,2024,Modern Cider,🥈 Silver,3313,Wolds Wine Estate,Unhampered Sparkling Cider
551,2024,Modern Cider,🥈 Silver,3207,Rennie's Winslow Cider,Rennie's Winslow Cider
552,2024,Modern Cider,🥈 Silver,X,Abbey Orchards,Abbott's Secret 2023
553,2024,Modern Cider,🥈 Silver,X,Tom Cernohous - Cidermil,Eastern Promises
554,2024,Modern Cider,🥈 Silver,X,Tom Cernohous - Cidermil,Dawn Of Wigsthorpe
555,2024,Modern Cider,🥉 Bronze,2354,Chapel Sider,Garden Disco
556,2024,Modern Cider,🥉 Bronze,X,Dr Rob Whale,Modern Cider
557,2024,Modern Cider,🥉 Bronze,3041,Sisson & Smith,Modern Dry
558,2024,Perry Still,🏆 Best in Class,X,Dr Rob Whale,Perry
559,2024,Perry Still,🥈 Silver,2485,Rull Orchard,Still Perry
560,2024,Perry Still,🥈 Silver,X,Molly's and Jasmine's Cider,Brida
561,2024,Perry Still,🥉 Bronze,X,Molly's and Jasmine's Cider,Tauriel
562,2024,Perry Still,🥉 Bronze,X,Molly's and Jasmine's Cider,Pyrland Perry
563,2024,Perry Still,🥉 Bronze,X,Dinnington Cider Press,Dragonfly Perry
564,2024,Perry Carbonated,🏆 Best in Class,1113,Hecks Cider,Keeved Oldfield Perry
565,2024,Perry Carbonated,🥈 Silver,1449,Harry's Cider Company,Fine Sparkling Perry
566,2024,Perry Carbonated,🥈 Silver,2485,Rull Orchard,Keeved Perry
567,2024,Perry Carbonated,🥈 Silver,X,Molly's and Jasmine's Cider,Vault 33 Blend
568,2024,Perry Carbonated,🥈 Silver,1113,Hecks Cider,Keeved Rock & Gin Perry
569,2024,Perry Carbonated,🥉 Bronze,X,Alex Hill,Bollhayes
570,2024,Perry Carbonated,🥉 Bronze,2520,Palmers Upland Cyder,Bottle Conditioned Perry
571,2024,Perry Carbonated,🥉 Bronze,3233,Ganley & Naish Cider,No Divisions
572,2024,Perry Carbonated,🥉 Bronze,1880,Little Pomona,Brut De Poiré 2021
573,2024,Perry Carbonated,🥉 Bronze,X,Molly's and Jasmine's Cider,Arwen
574,2024,Perry Carbonated,🥉 Bronze,X,Molly's and Jasmine's Cider,Galadriel
575,2024,Perry Carbonated,🥉 Bronze,X,Dinnington Cider Press,Dragonfly Perry
576,2024,Perry Carbonated,🥉 Bronze,X,Dinnington Cider Press,Poiré
577,2024,Farmhouse Dry,🏆 Best in Class,3312,W-G Cider,W-G Farmhouse Cider
578,2024,Farmhouse Dry,🥈 Silver,X,Alex Hill,Bollhayes
579,2024,Farmhouse Dry,🥈 Silver,2990,Loader's Cider,Loader's Dry Pytt
580,2024,Farmhouse Dry,🥈 Silver,X,John and Naomi Wakelin,Harromint House Cider
581,2024,Farmhouse Dry,🥈 Silver,X,Win's Cider,Farmhouse Dry
582,2024,Farmhouse Dry,🥈 Silver,X,Orchard 101,Abax
583,2024,Farmhouse Dry,🥈 Silver,X,Orchard 101,Belos
584,2024,Farmhouse Dry,🥈 Silver,X,Orchard 101,Doros
585,2024,Farmhouse Dry,🥈 Silver,2519,Shed Cider,Dry Farmhouse
586,2024,Farmhouse Dry,🥈 Silver,1436,Ventons Devon Cyder,Skippy's Scrumpy
587,2024,Farmhouse Dry,🥈 Silver,X,Dinnington Cider Press,Dragonfly Cider - Dry
588,2024,Farmhouse Dry,🥈 Silver,2784,Ad Astra Cider,Ad Astra Dry
589,2024,Farmhouse Dry,🥈 Silver,3041,Sisson & Smith,Dry #2
590,2024,Farmhouse Dry,🥉 Bronze,X,Alex Hill,Bollhayes
591,2024,Farmhouse Dry,🥉 Bronze,2520,Palmers Upland Cyder,Ty Du
592,2024,Farmhouse Dry,🥉 Bronze,2990,Loader's Cider,Loader's Dry Yarmill
593,2024,Farmhouse Dry,🥉 Bronze,2990,Loader's Cider,Loader's Longaller Dry
594,2024,Farmhouse Dry,🥉 Bronze,2144,Courtneys of Whimple,Courtneys Dry
595,2024,Farmhouse Dry,🥉 Bronze,X,Moons Cider,Farmhouse Dry
596,2024,Farmhouse Dry,🥉 Bronze,2531,Rawlins Family Cider,Dry
597,2024,Farmhouse Dry,🥉 Bronze,X,Alan Berry,Blackmore Vale Dry Farmhouse Cider
598,2024,Farmhouse Dry,🥉 Bronze,2519,Shed Cider,Dry Farmhouse
599,2024,Farmhouse Dry,🥉 Bronze,X,Dr Rob Whale,Farmhouse Dry
600,2024,Farmhouse Dry,🥉 Bronze,X,Sweeting's Cider,Monument Dry Cider
601,2024,Farmhouse Dry,🥉 Bronze,2784,Ad Astra Cider,Ad Astra Dry
602,2024,Farmhouse Dry,🥉 Bronze,3041,Sisson & Smith,Dry #1
603,2024,Farmhouse Dry,🥉 Bronze,2512,The Parrett Cider Company,Standard
604,2024,Farmhouse Medium,🏆 Best in Class,2520,Palmers Upland Cyder,Rubber Chicken
605,2024,Farmhouse Medium,🥇 Gold,2519,Shed Cider,Medium Farmhouse
606,2024,Farmhouse Medium,🥇 Gold,X,Dr Rob Whale,Farmhouse Medium
607,2024,Farmhouse Medium,🥇 Gold,3041,Sisson & Smith,Medium #2
608,2024,Farmhouse Medium,🥈 Silver,X,Moons Cider,Medium
609,2024,Farmhouse Medium,🥈 Silver,X,Moons Cider,Medium
610,2024,Farmhouse Medium,🥈 Silver,2531,Rawlins Family Cider,Medium
611,2024,Farmhouse Medium,🥈 Silver,2519,Shed Cider,Medium Farmhouse
612,2024,Farmhouse Medium,🥈 Silver,3041,Sisson & Smith,Medium #1
613,2024,Farmhouse Medium,🥉 Bronze,X,Alex Hill,Bollhayes
614,2024,Farmhouse Medium,🥉 Bronze,X,Alex Hill,Bollhayes
615,2024,Farmhouse Medium,🥉 Bronze,2990,Loader's Cider,Loader's Medium Pytt
616,2024,Farmhouse Medium,🥉 Bronze,2990,Loader's Cider,Loader's Medium Yarmill
617,2024,Farmhouse Medium,🥉 Bronze,2990,Loader's Cider,Loader's Medium Longaller
618,2024,Farmhouse Medium,🥉 Bronze,X,John and Naomi Wakelin,Harromint House Cider
619,2024,Farmhouse Medium,🥉 Bronze,X,Orchard 101,Epaphos
620,2024,Farmhouse Medium,🥉 Bronze,X,Seven Trees Cider,Royal County
621,2024,Farmhouse Medium,🥉 Bronze,X,Dinnington Cider Press,Dragonfly Cider - Medium
622,2024,Farmhouse Sweet,🏆 Best in Class,3041,Sisson & Smith,Sweet #2
623,2024,Farmhouse Sweet,🥈 Silver,X,Alex Hill,Bollhayes
624,2024,Farmhouse Sweet,🥈 Silver,2520,Palmers Upland Cyder,Cheeky Jackdaw
625,2024,Farmhouse Sweet,🥈 Silver,2519,Shed Cider,Sweet Farmhouse
626,2024,Farmhouse Sweet,🥈 Silver,X,Dr Rob Whale,Farmhouse Sweet
