Medalist,Region,Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Draper Girls Cider Co.,Oregon,2019,0,2,2,4,2018,2019,2,Parkdale,Oregon,Active,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577
Swift Cider,Oregon,2019,1,2,0,3,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Liberty Ciderworks,Washington,2019,2,0,0,2,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Snowdrift Cider Co.,Washington,2019,2,0,0,2,2016,2022,4,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
Independent Perry,Washington,2019,1,0,1,2,2019,2019,1,Dryden,Washington,Active,,https://www.facebook.com/IndependentPerry,https://www.instagram.com/independentperry/,,,,https://untappd.com/Independent_Cider
Rootwood Cider Co.,Washington,2019,0,2,0,2,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Runcible Cider,Oregon,2019,1,0,0,1,2019,2023,3,Mosier,Oregon,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Cambium Cider Co,British Columbia,2019,0,1,0,1,2019,2019,1,Vernon,British Columbia,Active,https://www.cambiumcider.com/,https://www.facebook.com/cambiumcider,https://www.instagram.com/cambiumcider,https://maps.google.com/?cid=6249839959535544019,https://www.yelp.com/biz/cambium-cider-vernon,https://www.tripadvisor.com/Restaurant_Review-g154946-d26458661,https://untappd.com/w/cambium-cider-co/143435
Cider Riot!,Oregon,2019,0,1,0,1,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Montana CiderWorks,Montana,2019,0,1,0,1,2016,2019,4,Darby,Montana,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
North Idaho Cider,Idaho,2019,0,1,0,1,2017,2019,3,Hayden,Idaho,Inactive,,,,,,,
OR\WA Cider Collective,Oregon,2019,0,1,0,1,2019,2019,1,Milwaukie,Oregon,Inactive,,,,,,,
Sea Cider Farm & Ciderhouse,British Columbia,2019,0,1,0,1,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Alter Ego Cider,Oregon,2019,0,0,1,1,2015,2019,3,Portland,Oregon,Inactive,,,,,,,
Dragon's Head Cider,Washington,2019,0,0,1,1,2018,2021,3,Vashon,Washington,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
Happy Valley Ciderworks,Oregon,2019,0,0,1,1,2019,2019,1,Clackamas,Oregon,Inactive,,,,,,,
Idun Cider,Washington,2019,0,0,1,1,2019,2019,1,Seattle,Washington,Inactive,,,,,,,
Incline Cider Company,Washington,2019,0,0,1,1,2019,2024,4,Auburn,Washington,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Seattle Cider Company,Washington,2019,0,0,1,1,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Square Mile Cider,Oregon,2019,0,0,1,1,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
Working Hands Fermentation,Oregon,2019,0,0,1,1,2019,2019,1,Hood River,Oregon,Active,https://www.workinghandsfermentation.com/,https://www.facebook.com/workinghandsbeer,https://www.instagram.com/workinghandsbeer/,https://maps.google.com/?cid=5832524138589986526,https://www.yelp.com/biz/working-hands-fermentation-no-title,,https://untappd.com/WorkingHandsBeer
Bauman's Cider,Oregon,2021,4,2,2,8,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
2 Towns Ciderhouse,Oregon,2021,2,1,3,6,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Seattle Cider Company,Washington,2021,0,2,3,5,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Tieton Cider Works,Washington,2021,1,2,0,3,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Puget Sound Cider Company,Washington,2021,1,0,2,3,2021,2024,4,Renton,Washington,Active,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269
Swift Cider,Oregon,2021,1,1,0,2,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Sea Cider Farm & Ciderhouse,British Columbia,2021,1,0,1,2,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Western Cider,Montana,2021,0,2,0,2,2017,2021,3,Missoula,Montana,Active,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334
Bend Cider Company,Oregon,2021,1,0,0,1,2021,2021,1,Bend,Oregon,Active,https://www.bendcider.com/,https://www.facebook.com/bendcider/,https://www.instagram.com/bendcider/,https://maps.google.com/?cid=9987900399339296372,https://www.yelp.com/biz/bend-cider-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d23480277,https://untappd.com/BENDCIDERCO
Finnriver Farm & Cidery,Washington,2021,1,0,0,1,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Fraser Valley Cider Company,British Columbia,2021,1,0,0,1,2021,2022,2,Langley Township,British Columbia,Active,https://www.fraservalleycider.ca/,https://www.facebook.com/fraservalleycider/,https://www.instagram.com/fraservalleycider/,https://maps.google.com/?cid=1355617416961303454,https://www.yelp.com/biz/fraser-valley-cider-company-langley,https://www.tripadvisor.com/Attraction_Review-g181724-d10538342,https://untappd.com/w/fraser-valley-cider-company/272748
Peak Light Cider Company,Oregon,2021,1,0,0,1,2021,2024,3,Sauvie Island,Oregon,Active,https://peaklightcider.com/,https://www.facebook.com/peaklightcider,https://www.instagram.com/peaklightcider/,https://maps.google.com/?cid=10958770531628316703,,,https://untappd.com/PeakLightCider
Rain Barrel Ciderworks,Oregon,2021,1,0,0,1,2021,2021,1,Baker City,Oregon,Inactive,,,,,,,
Rootwood Cider Co.,Washington,2021,1,0,0,1,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Cyderish,Oregon,2021,0,1,0,1,2021,2021,1,Eugene,Oregon,Inactive,,,,,,,
Dragon's Head Cider,Washington,2021,0,1,0,1,2018,2021,3,Vashon,Washington,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
Ragged and Right Cider Project,Washington,2021,0,1,0,1,2021,2022,2,Mount Vernon,Washington,Active,http://www.farmstrongbrewing.com/,https://www.facebook.com/raggedandrightciderproject/,https://www.instagram.com/raggedandrightciderproject/,https://maps.google.com/?cid=9734737069805633605,https://www.yelp.com/biz/farmstrong-brewery-mount-vernon,https://www.tripadvisor.com/Attraction_Review-g58622-d15551215,https://untappd.com/w/farmstrong-brewing-company/216863
Runcible Cider,Oregon,2021,0,1,0,1,2019,2023,3,Mosier,Oregon,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Upside Cider,British Columbia,2021,0,1,0,1,2021,2021,1,Kelowna,British Columbia,Active,https://www.upsidecider.com/,https://www.facebook.com/upside.ciderBC,https://www.instagram.com/upside.cider/,https://maps.google.com/?cid=7631322191789606074,https://www.yelp.com/biz/upside-cider-and-farm-market-kelowna,https://www.tripadvisor.com/Restaurant_Review-g154933-d17836371,https://untappd.com/w/upside-cider/435440
Yonder Cider,Washington,2021,0,1,0,1,2021,2024,3,Seattle,Washington,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448
Freewater Cider and Wine Company,Oregon,2021,0,0,1,1,2021,2021,1,Milton-Freewater,Oregon,Active,http://www.freewatercider.com/,,,https://maps.google.com/?cid=3598112635185277642,,https://www.tripadvisor.com/Attraction_Review-g51971-d23305550,https://untappd.com/w/freewater-cider-co/419915
Liberty Ciderworks,Washington,2021,0,0,1,1,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Seattle Cider Company,Washington,2022,3,2,3,8,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Puget Sound Cider Company,Washington,2022,4,2,1,7,2021,2024,4,Renton,Washington,Active,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269
Bauman's Cider,Oregon,2022,2,3,2,7,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
2 Towns Ciderhouse,Oregon,2022,2,2,1,5,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Finnriver Farm & Cidery,Washington,2022,1,1,2,4,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Sea Cider Farm & Ciderhouse,British Columbia,2022,2,1,0,3,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Avid Cider,Oregon,2022,1,1,0,2,2022,2024,2,Bend,Oregon,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739
Peak Light Cider Company,Oregon,2022,1,1,0,2,2021,2024,3,Sauvie Island,Oregon,Active,https://peaklightcider.com/,https://www.facebook.com/peaklightcider,https://www.instagram.com/peaklightcider/,https://maps.google.com/?cid=10958770531628316703,,,https://untappd.com/PeakLightCider
Rootwood Cider Co.,Washington,2022,1,1,0,2,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Liberty Ciderworks,Washington,2022,1,0,1,2,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Incline Cider Company,Washington,2022,0,1,1,2,2019,2024,4,Auburn,Washington,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Schilling Cider,Washington,2022,0,1,1,2,2015,2023,3,Auburn,Washington,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413
RAW Cider Co.,Oregon,2022,1,0,0,1,2022,2022,1,Dayton,Oregon,Active,https://rawcider.com/,https://www.facebook.com/RAWciderco,https://www.instagram.com/rawcider,https://maps.google.com/?cid=14719415897364830707,https://www.yelp.com/biz/raw-cider-company-dayton,,https://untappd.com/Raw_Cider_Co
Scenic Road Cider Co.,British Columbia,2022,1,0,0,1,2017,2022,2,Kelowna,British Columbia,Active,https://scenicroadcider.com/,https://www.facebook.com/scenicroadcider/,https://www.instagram.com/scenicroadcider/,https://maps.google.com/?cid=1733637164282947547,https://www.yelp.com/biz/scenic-road-cider-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d12829198,https://untappd.com/w/scenic-road-cider-co/271530
12 Bridge Ciderworks,Oregon,2022,0,1,0,1,2022,2022,1,Oregon City,Oregon,Inactive,,,,,,,
Fraser Valley Cider Company,British Columbia,2022,0,1,0,1,2021,2022,2,Langley Township,British Columbia,Active,https://www.fraservalleycider.ca/,https://www.facebook.com/fraservalleycider/,https://www.instagram.com/fraservalleycider/,https://maps.google.com/?cid=1355617416961303454,https://www.yelp.com/biz/fraser-valley-cider-company-langley,https://www.tripadvisor.com/Attraction_Review-g181724-d10538342,https://untappd.com/w/fraser-valley-cider-company/272748
Idol Cider House,Oregon,2022,0,1,0,1,2022,2024,2,Turner,Oregon,Active,https://idyll-acres.com/,,https://www.instagram.com/idol_cider_house/,,,,https://untappd.com/IdolCiderHouse
Lockhorn Cider House,Montana,2022,0,1,0,1,2022,2022,1,Bozeman,Montana,Active,http://www.lockhornhardcider.com/,https://www.facebook.com/lockhorncider/,https://www.instagram.com/lockhorncider/,https://maps.google.com/?cid=3319793704993492447,https://www.yelp.com/biz/lockhorn-cider-house-bozeman,https://www.tripadvisor.com/Restaurant_Review-g45095-d10379574,https://untappd.com/w/lockhorn-cider-house/108004
Ragged and Right Cider Project,Washington,2022,0,1,0,1,2021,2022,2,Mount Vernon,Washington,Active,http://www.farmstrongbrewing.com/,https://www.facebook.com/raggedandrightciderproject/,https://www.instagram.com/raggedandrightciderproject/,https://maps.google.com/?cid=9734737069805633605,https://www.yelp.com/biz/farmstrong-brewery-mount-vernon,https://www.tripadvisor.com/Attraction_Review-g58622-d15551215,https://untappd.com/w/farmstrong-brewing-company/216863
Snowdrift Cider Co.,Washington,2022,0,1,0,1,2016,2022,4,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
19 Acres Cider Co.,Oregon,2022,0,0,1,1,2022,2024,3,Sherwood,Oregon,Active,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider
Archibald James,Washington,2022,0,0,1,1,2022,2022,1,Leavenworth,Washington,Active,https://archibaldjames.com/,https://www.facebook.com/archibald.james.wine.cider,https://instagram.com/archibald.james.wine.cider,,https://www.yelp.com/biz/archibald-james-wine-and-cider-leavenworth-2,https://www.tripadvisor.com/Attraction_Review-g58560-d15684809,https://untappd.com/ArchibaldJamesCiderWorks
Riley's Cidery,British Columbia,2022,0,0,1,1,2022,2022,1,Bowen Island,British Columbia,Active,https://www.rileyscider.com/,https://www.facebook.com/rileyscidery/,https://www.instagram.com/rileyscidery/,https://maps.google.com/?cid=9203737158800520029,,,https://untappd.com/RileysCidery
Swift Cider,Oregon,2022,0,0,1,1,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Tieton Cider Works,Washington,2022,0,0,1,1,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Victoria Cider Co.,British Columbia,2022,0,0,1,1,2022,2024,3,Victoria,British Columbia,Active,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117
2 Towns Ciderhouse,Oregon,2023,4,2,1,7,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Bauman's Cider,Oregon,2023,1,3,3,7,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Puget Sound Cider Company,Washington,2023,2,2,1,5,2021,2024,4,Renton,Washington,Active,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269
Yonder Cider,Washington,2023,2,1,1,4,2021,2024,3,Seattle,Washington,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448
Alpenfire Cider,Washington,2023,1,0,2,3,2017,2023,2,Port Townsend,Washington,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510
Meriwether Cider Company,Idaho,2023,1,1,0,2,2023,2023,1,Garden City,Idaho,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316
Seattle Cider Company,Washington,2023,1,1,0,2,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Cedar Draw Cider,Idaho,2023,1,0,1,2,2023,2023,1,Buhl,Idaho,Active,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider
Schilling Cider,Washington,2023,0,1,1,2,2015,2023,3,Auburn,Washington,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413
Sea Cider Farm & Ciderhouse,British Columbia,2023,0,1,1,2,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Empyrical Orchard & Cidery,Washington,2023,0,0,2,2,2023,2024,2,Snohomish,Washington,Active,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102
Rootwood Cider Co.,Washington,2023,1,0,0,1,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Runcible Cider,Oregon,2023,1,0,0,1,2019,2023,3,Mosier,Oregon,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Swift Cider,Oregon,2023,1,0,0,1,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Union Hill Cider Co.,Washington,2023,1,0,0,1,2023,2024,2,East Wenatchee,Washington,Active,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo
Victoria Cider Co.,British Columbia,2023,1,0,0,1,2022,2024,3,Victoria,British Columbia,Active,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117
