COUNTA of Medal,Year,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Red Top Winery,,,,,,,,,,,,,,,2,,
Redbyrd Orchard Cider,,,,,,,,3,3,,,,,,,,
Reinhart's Cider,,,,,,,,,,,,,1,,,,
Renaissance Orchards,,,,,,,,,,,1,1,2,2,,1,
Restoration Cider,,,,,,,,,,,,3,,,,,
Revel Cider Company,,,,,,,,,,1,2,4,,,,,
Reverend Nat's Hard Cider,,,,,,,,3,4,6,2,,,,,,
Rhinegeist Brewery,,,,,,,,,,,,2,,,5,3,
Rice Lake Hard Cider,,,,,,,,,,,,,,,2,,
Ricker Hill,,,,,,,,,,,2,5,3,,,,
Rider Ranch,,,,,,,,,,,,,1,,,,
Ridge Cider Co.,,,,,,,,,,,3,2,1,6,,,
Right Bee Cider,,,,,,,,,,,,,1,3,4,,
Riley's Cidery,,,,,,,,,,,,,,,,,1
Riverhead Ciderhouse,,,,,,,,,,,,,2,1,3,,
Robinette Cellars,,1,2,3,4,5,5,4,3,3,2,1,3,,1,,
Rock N Wool Winery,,,,,,,,,,,,,,,1,,
Rogue Ales & Spirits,,,,,,,,,,,1,,,,,,
Rootstock Ciderworks,,,,,,,,,,5,5,2,3,4,8,5,
Ross-on-Wye Cider and Perry,,,,,,,3,,,,,,,,,,
Rossbach Cider,,,,,,,,,,1,2,,,,1,,
Runcible Cider,,,,,,,,,,,,1,5,4,,,1
Rushford Meadery & Winery,,,,,,,,,,,,,,2,,,2
Russell Orchards,,,,,,4,,,,,,,,,,,
S. Martinelli & Co.,,,,,,,,,,,,,,1,1,,
Sage Bird Ciderworks,,,,,,,,,,,,,,,12,9,9
Salt Creek Cider House,,,,,,,,,,,,,,,,,4
Salt Spring Wild Cider,,,,,,,,,,,,,9,11,,11,12
Sanctuary Spirits,,,,,,,,,1,,,,,,,,
Santa Cruz Cider Co.,,,,,,,,,,,,3,3,,2,,
Santa Fe Cider Works,,,,,,,,,,1,,,,,,,
Santa Sidra Hard Cider,,,,,,,,,,2,3,,,,,,
Sapsucker Farms Yellow Belly Cidery,,,,,,,,,,,,3,4,6,5,6,5
Saro Cider,,,,,,,,,,,,,,4,,,
Scenic Road Cider Co.,,,,,,,,,,,,3,3,2,6,,
Schilling Cider,,,,,,,,,,,3,,,,,,
SCOW Craft Cider,,,,,,,,,,,,,,1,,,
Sea Cider Farm & Ciderhouse,,,,,,,,,3,10,7,9,7,6,7,5,4
Seasons Cider,,,,,,,,,,,,1,,,1,2,
Seattle Cider Company,,,,,,,,,,8,9,7,22,21,16,22,24
Seek-No-Further Cidery,,,,,,,,,,,,,,,,,3
Seminary Hill Orchard & Cidery,,,,,,,,,,,,,,,,4,5
Serpentine Cider,,,,,,,,,,,,,,4,,,4
Seven Seeds Seidr,,,,,,,,,,,,,,1,,,
Sheppy's Cider,,,,,,,,,3,2,,,,,,,
Shield Cider,,,,,,,,,,,,,1,,,,
Shiny Apple Cider,,,,,,,,,,,6,3,,,,3,3
ShipBuilders Cider,,,,,,,,,,2,3,,3,3,,,
Shoal Hope Ciderworks,,,,,,,,,,,,,4,5,1,,
Shuswap Cider Co.,,,,,,,,,,,,,,,,,2
Sidewood Estate,,,,,,,,,,,,,2,2,5,,3
Sidra Castañón,,,,,,,,1,,,,,,,,,
Sidra Cortina,,,,,,,,1,,,,,,,,,
Sidra El Gaitero,,,,,,,,,,,,,6,,4,6,6
Sidra El Gobernador,,,,,,,,2,,,,,,,,,
Sidra Fanjul,,,,,,,,2,,1,1,1,1,1,,,
Sidra Mayador,,,,,,,,,,,2,3,2,2,1,4,
Sidra Menéndez,,,,,,,,1,,,,,,,,,
Sidra Riestra,,,,,,,,2,,2,2,1,2,1,,,
Sidra Somarroza,,,,,,,,,,,,,,3,2,3,
Sidra Trabanco,,,,,,,,,3,4,4,3,3,3,,,
Sidra Viuda de Angelón,,,,,,,,2,,4,3,1,,,,,
Sidrería Irigoien Herrero,,,,,,,,,,1,,,,,,,
Sierra Cider,,,,,,,,,,,,2,3,3,,,
Sietsema Orchards,,,,,,,,1,5,5,1,1,1,,,,
Silo Distillery,,,,,,,,,,,,,,1,,,
Slabtown Cider Co.,,,,,,,,,,,,,,,,,15
Slake Cider,,,,,,,2,3,3,,5,7,4,,,,
Sly Clyde Ciderworks,,,,,,,,,,,,,,5,4,,
Slyboro Ciderhouse,,,,4,,,,,,,,,,,,,
Small Acres Cyder,,,,,,,,,3,,,,,,,,
Snow Capped Cider,,,,,,,,,,,,3,6,7,16,20,30
Snowdrift Cider Co.,,,,,2,4,,5,5,5,7,4,,,,4,2
SoCal CiderWorks,,,,,,,,,,,,1,,,,,
Sonoma Cider,,,,,,,,,,5,9,3,,,,,
Sourwood Cider,,,,,,,,,,,,,3,3,,,
South City Ciderworks,,,,,,,,,,,,,,5,,,
Space Time Mead & Cider Works,,,,,,,,,,,,,,3,4,3,2
Speciation Artisan Ales,,,,,,,,,,,,,,,,1,1
Spicer's Winery,,,,,1,3,3,3,2,2,3,,,,,,
Spirit Tree Estate Cidery,,,,,,4,,5,1,3,3,2,,,,,
Spoke + Spy Ciderworks,,,,,,,,,,,,,1,3,,2,2
Spring Hill Cider Works,,,,,,,,,,,,2,2,3,1,2,1
Spy Cider House and Distillery,,,,,,,,,,,,,,,,3,
Square Mile Cider,,,,,,,,,,2,2,3,3,2,,,
Squiggly Tree Cider,,,,,,,,,,,,,,,1,,
St. Ambrose Cellars,,,,,,,,,,1,6,,,,,,
St. Julian Winery,,,,,,,,,,3,,1,,2,,,
St. Vrain Cidery,,,,,,,,,,,2,2,9,10,7,7,8
Star Cider,,,,,,,,,,,4,,,,,,
Starcut Ciders,,,,,,,,,,10,9,7,7,4,4,7,6
Stem Ciders,,,,,,,,,2,4,9,10,6,10,10,5,5
Still River Winery,,,,,,1,,,,,,,,,,,
Stoic Cider,,,,,,,,,,,,,2,6,4,,2
Stoked Cider,,,,,,,,,,,,,1,,,,
Stone Circle Cider,,,,,,,,,,,,,1,,5,,
Stoney Ridge Winery,,,,,,,,,,,,,1,,,,
Stoneybrook Cider,,,,,,,,,,,,,,1,1,1,
Stormalong Cider,,,,,,,,,,1,5,5,,3,7,9,6
Stowe Cider,,,,,,,,,,,,1,3,,,,
String Theory Cider,,,,,,,,,,,,,,,2,3,2
Subterranean Cider,,,,,,,,,,,,,,,,2,
Sulker's Cider,,,,,,,,,,,,1,,,,,
Sully's Cider House,,,,,,,,,1,,,,,,,,
Summerland Heritage Cider Company,,,,,,,,1,,,,,,,,,
Sunken Paddle Ciderworks,,,,,,,,,,,,,,,1,,4
Sunnycider,,,,,,,,,,,,,,,,3,
Sunrise Orchards,,,,,,,,2,,,,,,,,,
Sutliff Cider Company,,,,,,,,,,,,,,,,2,
Suttons Bay Ciders,,,,,,,,,,,,4,4,5,5,,3
Swift Cider,,,,,,,,,,,3,7,5,11,,7,9
Swilled Dog Hard Cider,,,,,,,,,,,,4,1,,2,,
Sycamore Ranch Vineyard & Winery,,,,,,,,,,,,,,,9,,
Talbott's Cider Company,,,,,,,,,,,,,1,,5,,
Talisman Farm Cidery,,,,,,,,,,,1,,,,,,
Tall Post Craft Cider,,,,,,,,,,,,,,3,,,
Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,,,,,,,,,,,,,,,6,,
Tandem Ciders,,,,,1,4,5,7,6,3,3,7,8,3,8,13,13
Tapped Apple Winery,,,,,,,,,,,,,,,,,3
Teal Cider,,,,,,,,,,,,2,5,6,8,,
Tempted Cider,,,,,,,,,,,,,,,3,,
Ten Towers Cider Co.,,,,,,,,,,,,1,,4,,,
Tenmile Cider Co.,,,,,,,,,,,,,,,,2,
Texas Corners Brewing Company,,,,,,,,,,,,1,4,,,,
Texas Keeper Cider,,,,,,,,,,4,6,,,,,,
The BottleHouse Brewing Company,,,,,,,,,,,,,2,,,,
The Cider Farm,,,,,,,,,1,,,,5,,,,8
The Cider Mill Slane,,,,,,,,,1,,,,,,,,
The Great Canadian Cider Company,,,,,,,,,,,,1,4,7,,,
The Hills Cider Company,,,,,,,,,1,,,,,,,,
The Infinite Monkey Theorem,,,,,,,,,1,,1,1,,,,,
The New Frontier Cider Company,,,,,,,,,,,,,,1,,,
The Northman Beer & Cider Garden,,,,,,,,,,,,,,,,2,
The Old Mine Cider Company,,,,,,,,,,,,,2,,,,
Thistly Cross Cider,,,,,,,2,,,1,,,,,,,
Thor's Hard Cider,,,,,,,,,,,,,2,4,10,13,7
Thornapple Brewing Company,,,,,,,,,,,,1,3,3,7,3,5
Thornborough Cider,,,,,,,,,,,,1,,,,,
Thornbury Cider House,,,,,,,,1,1,1,1,3,2,4,9,11,20
Threadbare Cider,,,,,,,,,,,,,6,11,18,15,10
Three Brothers Wineries & Estates,,,,,,,,,,1,,,,,,,
Three Thinkers Cider,,,,,,,,,,,,,,2,1,,
Tideview Cider,,,,,3,3,,4,3,,,,,,,,
Tieton Cider Works,,,,,,3,2,3,1,5,3,,7,13,13,11,
Tilted Shed Ciderworks,,,,,,,,2,,,,,,,,,
Tin Hat Cider,,,,,,,,,,,,,1,,,,
Toboggan Brewing Co.,,,,,,,,,,,3,3,,,,,5
Tom's Foolery Distillery,,,,,,2,,,,,,,,,,,
Top of the Rock Ciders,,,,,,,,,,,1,1,1,,,,
Townline Ciderworks,,,,,,,,,,,,4,6,5,,4,3
Tractor Brewing Company,,,,,,,,,,,,2,4,5,,,
Treasury Cider at Fishkill Farms,,,,,,,,,,,,,1,2,6,4,
Treehorn Cider,,,,,,,,,,,,,4,5,,,
Troy Cider,,,,,,,,,,1,,,1,,,,
Trubacheevka,,,,,,,,,,,,,,,,,1
Tulip Valley Vineyard & Orchard,1,1,1,2,2,1,,,,,1,2,,2,,,1
Tumalo Cider,,,,,,,,,,,,,,,2,,
Turncoat Cidery,,,,,,,,,,,,,,,,,2
Twin Pines Orchards & Cider House,,,,,,2,2,2,5,4,6,6,10,5,11,18,23
Twisted Hills Craft Cider,,,,,,,,,,,3,2,7,6,,,
Two Blokes Cider,,,,,,,,,,,,,1,2,,,
Two Broads Ciderworks,,,,,,,,,,,,,,,5,,
Two K Farms,,,,,,,,,,,,,,8,10,2,4
Txopinondo,,,,,,,,,1,,1,,,,,,
Ugly Apple,,,,,,,,,,,,1,2,,,,
Uncle John's,6,6,5,9,10,12,12,14,9,14,14,11,10,19,22,21,18
Uncommon Cider Co.,,,,,,,,,,,,1,3,,7,,
Unibroue,1,,,,,,,,,,,,,,,,
Upper Left Apples,,,,,,,,,,,,,,2,,,
Upstream Cider,,,,,,,,,,,,,,1,,,
Urban Farm Fermentory,,,,,,,,,,,,,,2,3,,
Urban Forage Winery & Cider House,,,,,,,,,,,,2,,,,4,
Urban Tree Hard Cider,,,,,,,,,,,3,4,1,5,7,4,
Val de Rance,,,,,,,,,,,2,,,,,,
Vala's Orchard Cider,,,,,,,,,,,,,,,7,9,5
Valley Cider Company,,,,,,,,,,,,,,,4,,
Vander Mill,,,,3,6,3,7,5,4,2,5,3,8,14,15,13,5
Verger Belliveau Orchard,,,,,,,,,,1,,1,,,2,,
Vergers de Velours,,,,,,,,,,,,,2,,,,
Vermont Cider Company,3,4,,5,5,5,,6,11,2,4,10,11,11,12,,
Victoria Cider Co.,,,,,,,,,,,,,,,,,4
Vin 312,,,,,,,,,,,,,,,1,,
Vines & Rushes Winery,,,,,,,,,1,,,,,,,,
Vins Arista,,,,,,,,,,,,,,,,,1
Virtue Cider,,,,,,,,1,4,6,4,11,11,6,10,10,5
Walkerville City Cidery,,,,,,,,,,,,,,1,1,1,1
Wandering Aengus Ciderworks,,4,4,,,,3,6,8,5,9,,,,,,
Wards Cider,,,,,,,,,,,1,,3,,,,
Warwick Valley Winery & Distillery,,,,,4,,,2,,,,,,,,,
Waves Cider Co.,,,,,,,,,,,,,,,4,6,5
Weidmann & Groh,,,,,,,,2,4,,,,,,,,
West Avenue Cider,,,,,,,,,5,6,8,8,5,5,,3,4
West End Cider House,,,,,,,,,,,,,,,,,3
Westcott Bay Cider,,3,3,3,2,4,3,3,4,2,3,,,2,,,
Western Cider,,,,,,,,,,,,,8,,,,
Westons Cider,,,,,2,3,,,,,,,,,,,
Westside CiderWerks,,,,,,,,,,,2,,,,,,
Westview Orchards & Winery,,,,,,,,,,,,,,1,,,
Whetstone CiderWorks,,,,,,,,,,1,3,,,,,,
White Winter Winery,1,,2,2,,,,,1,,,2,,,,,2
Whitewood Cider Co.,,,,,,,,,3,2,,,,,,,
Wild Cider,,,,,,,,,4,2,,,2,,,,
Wild Hare Cider,,,,,,,,,,,1,4,,1,,,
Wild State Cider,,,,,,,,,,,,,,,4,4,5
Wildbranch Cider,,,,,,,,,,,,,,,1,,2
WildCraft Cider Works,,,,,,,,,,,2,6,,,,,
Wilding Orchards,,,,,,,,,,,,,,,2,,2
Willamette Ale & Cider House,,,,,,,,,,,,,,,,,4
Williamson Mead and Brewing,,,,,,,,,,,,,,,,4,2
Willie Smith's,,,,,,,,,,,,,2,,,,
Willow Oaks,,,,,,,,,,,,,,,2,4,
Wilson's Orchard & Farm,,,,,,,,,,,,,,,,16,
Windfall Cider,,,,,,,,,,,,,,1,1,,
Windfall Orchard,,,,,,,,,,,2,1,,,,,
Windswept Orchard Cider,,,,,,,,,,,,2,6,6,,5,
Windy Hill Orchard & Cidery,,,,,,3,3,3,4,5,5,1,2,2,,,
Winery at Black Star Farms,3,4,2,4,3,6,5,2,,4,2,,,3,3,,
Winterset Cidery,,,,,,,,,,,,,,,,,1
Wise Bird Cider,,,,,,,,,,,,,,,6,3,2
Wölffer Estate Vineyard,,,,,,,,,,,,,,,,3,
Woodbox Cider Co.,,,,,,,,,,,1,1,,,,,
Wooden Gate Cider,,,,,,,,,,,,,,,,3,13
Woodlore Cider Co.,,,,,,,,,,,,,,,,,3
Working Hands Fermentation,,,,,,,,,,,,1,,,,,
Worley's Cider,,,,,,,,,,3,,,,,,,
Wyder's Hard Cider,3,,1,,,,,,,,,,,,,,
Wyndfall Cyder,,,,,,,,,,1,1,,,,,,
Wyndridge Farm Cidery,,,,,,,,,,,3,4,2,,7,,
XO Alambic,,,,,,,,,,,,,,1,,,
Yahara Bay Distillery,,,,,,1,,,,,,,,,,,
Yip Cider,,,,,,,,,,,,,4,4,,5,4
Yonder Cider,,,,,,,,,,,,,,,,4,
York County Cider,,,,,,,,,,,,,4,,,,
Zapiain,,,,,,,,,1,,,,,1,,,
