Medalist,SUM of 🏆 BIC,SUM of 🥇 Gold,SUM of 🥈 Silver,SUM of 🥉 Bronze,SUM of Total
Winery at Black Star Farms,6,5,13,17,41
Winterset Cidery,0,0,1,0,1
Wise Bird Cider,0,1,7,3,11
Wölffer Estate Vineyard,0,0,2,1,3
Woodbox Cider Co.,0,0,1,1,2
Wooden Gate Cider,1,1,7,7,16
Woodlore Cider Co.,0,1,2,0,3
Working Hands Fermentation,0,0,0,1,1
Worley's Cider,0,0,2,1,3
Wyder's Cider,0,1,2,1,4
Wyndfall Cyder,0,0,2,0,2
Wyndridge Farm,0,2,10,4,16
XO Alambic,0,0,0,1,1
Yahara Bay Distillery,0,0,0,1,1
Yip Cider,2,1,9,5,17
Yonder Cider,0,1,2,1,4
York County Cider,0,0,1,3,4
Zapiain,0,0,0,2,2
Grand Total,392,707,3765,3202,8066
