COUNTA of Medalist,col1,Medal,col3,col4,col5,col6
WildCraft Cider Works Total,,,,2,6,
Wilding Orchards Total,,,,1,3,
Willamette Ale & Cider House Total,,,,4,,
Williamson Mead and Brewing Total,,,1,2,3,
Willie Smith's Total,,,,2,,
Willow Oaks Total,,,1,1,4,
Wilson's Orchard & Farm Total,,,1,11,4,
Windfall Cider Total,,,,1,1,
Windfall Orchard Total,,,1,,2,
Windswept Orchard Cider Total,,1,2,7,9,
Windy Hill Orchard & Cidery Total,,,1,12,15,
Winery at Black Star Farms Total,,6,5,13,17,
Winterset Cidery Total,,,,1,,
Wise Bird Cider Total,,,1,7,3,
Wölffer Estate Vineyard Total,,,,2,1,
Woodbox Cider Co. Total,,,,1,1,
Wooden Gate Cider Total,,1,1,7,7,
Woodlore Cider Co. Total,,,1,2,,
Working Hands Fermentation Total,,,,,1,
Worley's Cider Total,,,,2,1,
Wyder's Cider Total,,,1,2,1,
Wyndfall Cyder Total,,,,2,,
Wyndridge Farm Total,,,2,10,4,
XO Alambic Total,,,,,1,
Yahara Bay Distillery Total,,,,,1,
Yip Cider Total,,2,1,9,5,
Yonder Cider Total,,,1,2,1,
York County Cider Total,,,,1,3,
Zapiain Total,,,,,2,
