Year,Medal,Entrant,Entry,Style,Place
2022,🥉 BRONZE,Banjo Cider,Revival,Modern Cider - Dry,
2021,🥈 SILVER,Banjo Cider,Northern Spy,Heritage Cider - Dry,
2021,🥈 SILVER,Banjo Cider,Rouge,Specialty Cider and Perry,
2021,🥈 SILVER,Banjo Cider,Wildflower,Specialty Cider and Perry,
2013,🥈 SILVER,Bantam Cider,Wunderkind,New World Cider,
2013,🥉 BRONZE,Bantam Cider,La Grande,Specialty Cider and Perry,
2018,🥉 BRONZE,Banter's Hard Cider,Bushel and a Peck,Specialty Cider and Perry,
2018,🥉 BRONZE,Banter's Hard Cider,Hop Concoction (Vol 1),Hopped Cider,
2017,🥈 SILVER,Banter's Hard Cider,Stygian,Fruit Cider,
2017,🥉 BRONZE,Banter's Hard Cider,Bön,Modern Cider - Dry,
2021,🥉 BRONZE,Bardic Brewing & Cider,Health Potion,Specialty Cider and Perry,
2019,🏆 BEST IN CLASS,Barrika,Barrika Basque Country Cider,Natural Cider,1st Place
2018,🏆 BEST IN CLASS,Barrika,Barrika Basque Country Cider 2017,Natural Cider,2nd Place
2018,🥈 SILVER,Barrika,Barrika Basque Country Cider 2016,Natural Cider,
2017,🥉 BRONZE,Barrika,Barrika Basque Country Cider,Sour Cider,
2023,🏆 BEST IN CLASS,Bauman's Cider,Kingston Black,Traditional Cider - Dry,3rd Place
2023,🏆 BEST IN CLASS,Bauman's Cider,Mountain Rose Single Varietal,Rosé Cider,3rd Place
2023,🥇 GOLD,Bauman's Cider,Bourbon Vanilla,Wood Aged Cider,
2023,🥇 GOLD,Bauman's Cider,Brown Snout,Traditional Cider - Dry,
2023,🥇 GOLD,Bauman's Cider,Harvest Cider,Botanical Cider,
2023,🥇 GOLD,Bauman's Cider,Market Cider,Heritage Cider - Dry,
2023,🥇 GOLD,Bauman's Cider,Mountain Rose Pet Nat,Rosé Cider,
2023,🥇 GOLD,Bauman's Cider,Orange Blossom,Fruit Cider,
2023,🥇 GOLD,Bauman's Cider,Orchard Select #4,Heritage Cider - Dry,
2023,🥇 GOLD,Bauman's Cider,Reine des Pommes,Traditional Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Authentic,Modern Cider - Sweet,
2023,🥈 SILVER,Bauman's Cider,Barrel-aged Golden Russet,Wood Aged Cider,
2023,🥈 SILVER,Bauman's Cider,Bauman's Imperial,Modern Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Boysenberry Lemonade,Fruit Cider,
2023,🥈 SILVER,Bauman's Cider,Clyde's Dry,Heritage Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Farmer's Old Fashioned,Wood Aged Specialty Cider,
2023,🥈 SILVER,Bauman's Cider,Forbidden Fruit: Muscat,Fruit Cider,
2023,🥈 SILVER,Bauman's Cider,Forbidden Fruit: Pinot Noir,Fruit Cider,
2023,🥈 SILVER,Bauman's Cider,Loganberry,Fruit Cider,
2023,🥈 SILVER,Bauman's Cider,Mango Ginger,Specialty Cider and Perry,
2023,🥈 SILVER,Bauman's Cider,Muscadet de Dieppe SV,Traditional Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Porter's Perfection,Traditional Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Stoke Red,Traditional Cider - Dry,
2023,🥈 SILVER,Bauman's Cider,Strata Hopped Cider,Hopped Cider,
2023,🥈 SILVER,Bauman's Cider,Strawberry Mojito,Specialty Cider and Perry,
2023,🥉 BRONZE,Bauman's Cider,Estate Spontaneous Pet Nat,Heritage Cider - Dry,
2023,🥉 BRONZE,Bauman's Cider,My Own Private Idaho 7,Specialty Cider and Perry,
2023,🥉 BRONZE,Bauman's Cider,Peach Raspberry,Fruit Cider,
2023,🥉 BRONZE,Bauman's Cider,The Old Mule,Botanical Cider,
2022,🏆 BEST IN CLASS,Bauman's Cider,Bourbon Barrel Vanilla,Wood Aged Specialty Cider,3rd Place
2022,🏆 BEST IN CLASS,Bauman's Cider,Boysenberry Lemonade,Fruit Cider,3rd Place
2022,🏆 BEST IN CLASS,Bauman's Cider,Estate Gravenstein,Modern Cider - Dry,3rd Place
2022,🥇 GOLD,Bauman's Cider,Mountain Rose SV,Rosé Cider,
2022,🥇 GOLD,Bauman's Cider,Old Mule,Botanical Cider,
2022,🥇 GOLD,Bauman's Cider,Stephen's Sweet,Modern Cider - Sweet,
2022,🥇 GOLD,Bauman's Cider,Stoke Red,Traditional Cider - Dry,
2022,🥈 SILVER,Bauman's Cider,Clyde's Dry,Modern Cider - Dry,
2022,🥈 SILVER,Bauman's Cider,Crimson Gold SV,Heritage Cider - Dry,
2022,🥈 SILVER,Bauman's Cider,Farmer's Old Fashioned,Wood Aged Specialty Cider,
2022,🥈 SILVER,Bauman's Cider,French Bittersweet,Traditional Cider - Sweet,
2022,🥈 SILVER,Bauman's Cider,Guava Grapefruit,Fruit Cider,
2022,🥈 SILVER,Bauman's Cider,Ice Cider,Ice Cider,
2022,🥈 SILVER,Bauman's Cider,Loganberry Cider,Fruit Cider,
2022,🥈 SILVER,Bauman's Cider,McIntosh Cider SV,Modern Cider - Sweet,
2022,🥈 SILVER,Bauman's Cider,Muscadet de Dieppe,Traditional Cider - Dry,
2022,🥈 SILVER,Bauman's Cider,My Own Private Idaho 7,Specialty Cider and Perry,
2022,🥈 SILVER,Bauman's Cider,Orchard Select #2,Wood Aged Cider,
2022,🥈 SILVER,Bauman's Cider,Peach Bellini,Fruit Cider,
2022,🥈 SILVER,Bauman's Cider,Peach Raspberry,Fruit Cider,
2022,🥈 SILVER,Bauman's Cider,Pecan Pie,Botanical Cider,
2022,🥈 SILVER,Bauman's Cider,Porter's Perfection SV,Heritage Cider - Dry,
2022,🥈 SILVER,Bauman's Cider,Spiced Grapefruit,Botanical Cider,
2022,🥉 BRONZE,Bauman's Cider,Imperial Golden Russet,Heritage Cider - Sweet,
2022,🥉 BRONZE,Bauman's Cider,Strawberry Mojito,Specialty Cider and Perry,
2021,🏆 BEST IN CLASS,Bauman's Cider,Strawberry Mojito,Specialty Cider and Perry,1st Place
2021,🏆 BEST IN CLASS,Bauman's Cider,Bourbon Vanilla,Wood Aged Specialty Cider,2nd Place
2021,🏆 BEST IN CLASS,Bauman's Cider,Mountain Rose,Rosé Cider,2nd Place
2021,🥇 GOLD,Bauman's Cider,Ice Cider,Ice Cider,
2021,🥇 GOLD,Bauman's Cider,McIntosh Single Varietal,Heritage Cider - Sweet,
2021,🥇 GOLD,Bauman's Cider,Porter's Perfection,Wood Aged Cider,
2021,🥇 GOLD,Bauman's Cider,Stephen's Sweet,Modern Cider - Sweet,
2021,🥈 SILVER,Bauman's Cider,All The Berries,Fruit Cider,
2021,🥈 SILVER,Bauman's Cider,Clyde's Dry,Heritage Cider - Dry,
2021,🥈 SILVER,Bauman's Cider,Estate Gravenstein,Modern Cider - Dry,
2021,🥈 SILVER,Bauman's Cider,Farmer's Old Fashioned,Wood Aged Specialty Cider,
2021,🥈 SILVER,Bauman's Cider,Loganberry Cider,Fruit Cider,
2021,🥈 SILVER,Bauman's Cider,Old Mule,Botanical Cider,
2021,🥈 SILVER,Bauman's Cider,Peach Raspberry,Fruit Cider,
2021,🥈 SILVER,Bauman's Cider,Porter's English,Traditional Cider - Dry,
2021,🥈 SILVER,Bauman's Cider,Rosé of Pinot Noir,Specialty Cider and Perry,
2021,🥉 BRONZE,Bauman's Cider,English Farmhouse,Traditional Cider - Dry,
2019,🏆 BEST IN CLASS,Bauman's Cider,Clyde's Dry,Heritage Cider - Dry,2nd Place
2019,🥇 GOLD,Bauman's Cider,Loganberry,Fruit Cider,
2019,🥇 GOLD,Bauman's Cider,Peach Raspberry,Fruit Cider,
2019,🥈 SILVER,Bauman's Cider,Mountain Rose,Rosé Cider,
2019,🥈 SILVER,Bauman's Cider,Rose' of Pinot Noir,Specialty Cider and Perry,
2019,🥈 SILVER,Bauman's Cider,Stephen's Sweet,Modern Cider - Sweet,
2019,🥉 BRONZE,Bauman's Cider,Guava Grapefruit & Pink Peppercorn,Specialty Cider and Perry,
2019,🥉 BRONZE,Bauman's Cider,Orange Blossom,Fruit Cider,
2019,🥉 BRONZE,Bauman's Cider,The Old Mule,Spiced Cider,
2018,🏆 BEST IN CLASS,Bauman's Cider,Loganberry Cider,Fruit Cider,3rd Place
2018,🥈 SILVER,Bauman's Cider,Citrus Hop,Specialty Cider and Perry,
2018,🥈 SILVER,Bauman's Cider,Clyde's Dry,Heritage Cider - Dry,
2018,🥉 BRONZE,Bauman's Cider,Peach Raspberry,Fruit Cider,
2017,🥉 BRONZE,Bauman's Cider,Clyde's Dry,Heritage Cider - Dry,
2016,🥉 BRONZE,Bauman's Cider,Clyde's Dry,Heritage Cider,
2016,🥉 BRONZE,Bauman's Cider,Obsidian,Fruit Cider,
2023,🏆 BEST IN CLASS,Beach Bee Meadery,Chardonnay Pear,Wood Aged Specialty Cider,3rd Place
2023,🥇 GOLD,Beach Bee Meadery,Peach Cobbler,Unlimited Cider and Perry,
2023,🥈 SILVER,Beach Bee Meadery,Earl Grey Lemon,Specialty Cider and Perry,
2023,🥉 BRONZE,Beach Bee Meadery,Apricot Sage,Unlimited Cider and Perry,
2023,🥉 BRONZE,Beach Bee Meadery,Blueberry Pomegranate,Unlimited Cider and Perry,
2019,🥇 GOLD,Bear Cider,Bear Cider Dry Hopped,Hopped Cider,
2021,🥈 SILVER,Beaver Valley Orchard & Cidery,Beaver Valley Dry Pear (2019),Modern Perry,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Bumbleberry,Fruit Cider,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Cranberry,Fruit Cider,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Dry Pear (2018),Modern Perry,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Rhubarb,Fruit Cider,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Spy,Heritage Cider - Dry,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Vinifera,Fruit Cider,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Flagship (2018),Heritage Cider - Dry,
2021,🥉 BRONZE,Beaver Valley Orchard & Cidery,Flagship (2019),Heritage Cider - Dry,
2019,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Dry Pear,Modern Perry,
2019,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Flagship,Heritage Cider - Dry,
2018,🥈 SILVER,Beaver Valley Orchard & Cidery,Ginger,Spiced Cider,
2018,🥉 BRONZE,Beaver Valley Orchard & Cidery,Dry Pear,Modern Perry,
2017,🥈 SILVER,Beaver Valley Orchard & Cidery,Beaver Valley Organic Ginger Cider,Spiced Cider,
2017,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Flagship,Heritage Cider - Dry,
2016,🥇 GOLD,Beaver Valley Orchard & Cidery,Beaver Valley Flagship Cider,Heritage Cider,
2016,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Bumbleberry Cider,Fruit Cider,
2016,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Cranberry Cider,Fruit Cider,
2016,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Dry Pear Cider,New World Perry,
2015,🥇 GOLD,Beaver Valley Orchard & Cidery,Beaver Valley Flagship Cider,Modern Cider,
2015,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Bumbleberry Cider,Fruit Cider,
2015,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Ginger Cider,Spiced Cider,
2014,🥉 BRONZE,Beaver Valley Orchard & Cidery,Beaver Valley Flagship Cider,New World Cider,
2023,🏆 BEST IN CLASS,Bee Well Mead & Cider,North Cider,Modern Cider - Sweet,1st Place
2023,🥈 SILVER,Bee Well Mead & Cider,King's Cherry,Fruit Cider,
2023,🥈 SILVER,Bee Well Mead & Cider,Wickson,Heritage Cider - Dry,
2023,🥉 BRONZE,Bee Well Mead & Cider,Shire's Pride,Fruit Cider,
2023,🥉 BRONZE,Bee Well Mead & Cider,Spy vs Citra,Hopped Cider,
2023,🥉 BRONZE,Bee Well Mead & Cider,Whites Harvest,Modern Cider - Dry,
2022,🥉 BRONZE,Bee Well Mead & Cider,Mary's Perry,Traditional Perry,
2021,🏆 BEST IN CLASS,Bee Well Mead & Cider,Spy vs Citra,Hopped Cider,1st Place
2021,🏆 BEST IN CLASS,Bee Well Mead & Cider,Harrison,Heritage Cider - Sweet,2nd Place
2021,🥈 SILVER,Bee Well Mead & Cider,Apple Pie,Botanical Cider,
2021,🥈 SILVER,Bee Well Mead & Cider,Gin Blossom,Wood Aged Specialty Cider,
2021,🥈 SILVER,Bee Well Mead & Cider,Killer Queen,Traditional Cider - Dry,
2021,🥈 SILVER,Bee Well Mead & Cider,Mary's Perry,Ice Cider,
2021,🥈 SILVER,Bee Well Mead & Cider,North Cider,Modern Cider - Sweet,
2021,🥉 BRONZE,Bee Well Mead & Cider,White's Harvest,Heritage Cider - Dry,
2021,🥉 BRONZE,Bee Well Mead & Cider,Zoot Suit Riot,Wood Aged Specialty Cider,
2019,🏆 BEST IN CLASS,Bee Well Mead & Cider,Spy vs. Citra,Hopped Cider,2nd Place
2019,🏆 BEST IN CLASS,Bee Well Mead & Cider,Over The Hill,Natural Cider,3rd Place
2019,🥈 SILVER,Bee Well Mead & Cider,Apple Pie,Spiced Cider,
2019,🥉 BRONZE,Bee Well Mead & Cider,London Calling,Traditional Cider - Dry,
2019,🥉 BRONZE,Bee Well Mead & Cider,"Rambo, Part 1: First Blood",Fruit Cider,
2018,🥈 SILVER,Bee Well Mead & Cider,Spy vs. Citra,Hopped Cider,
2018,🥉 BRONZE,Bee Well Mead & Cider,Beaver Island Cider,Heritage Cider - Sweet,
2018,🥉 BRONZE,Bee Well Mead & Cider,The Thirteen,Specialty Cider and Perry,
2017,🥈 SILVER,Bee Well Mead & Cider,King's Hard Cider,Modern Cider - Dry,
2017,🥉 BRONZE,Bee Well Mead & Cider,Antrim Apple Pie,Specialty Cider and Perry,
2017,🥉 BRONZE,Bee Well Mead & Cider,Bargy's Hard Cider,Specialty Cider and Perry,
2017,🥉 BRONZE,Bee Well Mead & Cider,Bee Well Ice Cider,Ice Cider,
2017,🥉 BRONZE,Bee Well Mead & Cider,King's Cherry,Fruit Cider,
2017,🥉 BRONZE,Bee Well Mead & Cider,White's Hard Cider,Modern Cider - Dry,
2016,🥇 GOLD,Bee Well Mead & Cider,King's Hard Cider,Modern Cider,
2016,🥈 SILVER,Bee Well Mead & Cider,Antrim Apple Pie,Spiced Cider,
2016,🥈 SILVER,Bee Well Mead & Cider,Family Tree,Heritage Cider,
2016,🥈 SILVER,Bee Well Mead & Cider,King's Cherry Hard Cider,Fruit Cider,
2016,🥉 BRONZE,Bee Well Mead & Cider,The Conservancy,Heritage Cider,
2016,🥉 BRONZE,Bee Well Mead & Cider,White's Hard Cider,Modern Cider,
2016,🥇 GOLD,Bel Lago Winery,Bel Lago Hard Apple Cider,Modern Cider,
2016,🥈 SILVER,Bel Lago Winery,Bel Lago Oak Aged Hard Apple Cider,Wood Aged Cider and Perry,
2015,🥈 SILVER,Bel Lago Winery,Bel Lago - Hard Apple Cider,Modern Cider,
2023,🥈 SILVER,Bent Ladder,Black Gold,Wood Aged Cider,
2023,🥈 SILVER,Bent Ladder,The Beekeeper,Specialty Cider and Perry,
2023,🥈 SILVER,Bent Ladder,The Last Romantic,Wood Aged Specialty Cider,
2023,🥉 BRONZE,Bent Ladder,Heirloom,Traditional Cider - Dry,
2022,🏆 BEST IN CLASS,Bent Ladder,Black Gold,Wood Aged Cider,1st Place
2022,🥈 SILVER,Bent Ladder,Cyser,Specialty Cider and Perry,
2022,🥈 SILVER,Bent Ladder,Winter Crisp,Ice Cider,
2022,🥉 BRONZE,Bent Ladder,Farmstead,Heritage Cider - Dry,
2019,🥈 SILVER,Bent Ladder,Heirloom,Heritage Cider - Dry,
2019,🥉 BRONZE,Bent Ladder,Honeycrisp,Modern Cider - Dry,
2019,🥉 BRONZE,Bent Ladder,Mulled Cranberry,Specialty Cider and Perry,
2021,🥈 SILVER,Bereziartua,Bereziartua Natural Apple Cider,Natural Cider,
2018,🥈 SILVER,Bereziartua,Bereziartua Basque Cider,Natural Cider,
2017,🥈 SILVER,Bereziartua,Bereziartua Natural Apple Cider,Sour Cider,
2017,🥉 BRONZE,Bereziartua,Bereziartua Edicion Gourmet,Sour Cider,
2016,🥇 GOLD,Bereziartua,Basque Country Cider,Spanish Cider,
2016,🥈 SILVER,Bereziartua,Bereziartua Edicion Gourmet,Spanish Cider,
2016,🥉 BRONZE,Bereziartua,Bereziartua ,Spanish Cider,
2015,🥇 GOLD,Bereziartua,Bereziartua Basque Cider,Spanish Cider,
2023,🥈 SILVER,Berkshire Cider Project,Community Cider Project #2 (2021),Heritage Cider - Dry,
2023,🥈 SILVER,Berkshire Cider Project,Windy Hill (2021),Wood Aged Cider,
2023,🥉 BRONZE,Berkshire Cider Project,Hancock Shaker Village (2021),Heritage Cider - Dry,
2019,🥉 BRONZE,Bier Distillery,Forbidden Apple Brandy,Spirits,
2017,🥉 BRONZE,Bier Distillery,Forbidden Apple Brandy,Spirits,
2019,🥈 SILVER,Big B's Hard Cider,Bourbon Barrel Aged Pommeau,Fortified Cider,
2019,🥈 SILVER,Big B's Hard Cider,Harry Masters Jersey,Heritage Cider - Dry,
2019,🥈 SILVER,Big B's Hard Cider,Saison Grand Cru,Spiced Cider,
2019,🥉 BRONZE,Big B's Hard Cider,Grizzly Brand,Wood Aged Cider,
2019,🥉 BRONZE,Big B's Hard Cider,Harvest Apple,Modern Cider - Sweet,
2019,🥉 BRONZE,Big B's Hard Cider,Orchard Original,Heritage Cider - Dry,
2018,🥈 SILVER,Big B's Hard Cider,Bourbon Barrel Aged Pommeau,Fortified Cider,
2018,🥈 SILVER,Big B's Hard Cider,Lazy Daze,Fruit Cider,
2018,🥈 SILVER,Big B's Hard Cider,Orchard Original,Heritage Cider - Dry,
2018,🥈 SILVER,Big B's Hard Cider,Snow Daze,Spiced Cider,
2018,🥉 BRONZE,Big B's Hard Cider,Cherry Daze,Fruit Cider,
2018,🥉 BRONZE,Big B's Hard Cider,Saison Grand Cru,Spiced Cider,
2017,🥈 SILVER,Big B's Hard Cider,Grizzly Brand,Wood Aged Cider,
2017,🥈 SILVER,Big B's Hard Cider,Orchard Original,Heritage Cider - Dry,
2017,🥉 BRONZE,Big B's Hard Cider,Bourbon Barrel Aged Pommeau,Fortified Cider,
2017,🥉 BRONZE,Big B's Hard Cider,Harvest Apple,Modern Cider - Sweet,
2017,🥉 BRONZE,Big B's Hard Cider,Lazy Daze Lemon,Fruit Cider,
2017,🥉 BRONZE,Big B's Hard Cider,Pear Supply,Fruit Cider,
2017,🥉 BRONZE,Big B's Hard Cider,Snow Daze,Spiced Cider,
2016,🥇 GOLD,Big B's Hard Cider,Chester Hoppearcot ,Specialty Cider and Perry,
2016,🥈 SILVER,Big B's Hard Cider,Bourbon Barrel Aged Pommeau ,Pommeau,
2016,🥈 SILVER,Big B's Hard Cider,One Night Fruit Stand ,Specialty Cider and Perry,
2015,🥈 SILVER,Big B's Hard Cider,Bourbon Barrel Pommeau ,Pommeau,
2015,🥈 SILVER,Big B's Hard Cider,Grizzly Brand ,Wood Aged Cider and Perry,
2015,🥉 BRONZE,Big B's Hard Cider,Cherry Daze ,Fruit Cider,
2015,🥉 BRONZE,Big B's Hard Cider,Chester HoppearCot ,Specialty Cider and Perry,
2015,🥉 BRONZE,Big B's Hard Cider,Harvest Apple ,Modern Cider,
2015,🥉 BRONZE,Big B's Hard Cider,Orchard Original ,Heritage Cider,
2015,🥉 BRONZE,Big B's Hard Cider,Pear Supply ,Fruit Cider,
2014,🥈 SILVER,Big B's Hard Cider,Harvest Apple (Organic) ,New World Cider,
2014,🥉 BRONZE,Big B's Hard Cider,Bourbon Barrel Aged Pommeau ,Pommeau,
2013,🥈 SILVER,Big B's Hard Cider,Hard Apple Cider ,New World Cider,
2018,🥉 BRONZE,Big Belly Ciderworks,Heritage #1,Heritage Cider - Dry,
2018,🥉 BRONZE,Big Belly Ciderworks,Sunshine,Heritage Cider - Dry,
2017,🥈 SILVER,Big Belly Ciderworks,Vientre Grande,Sour Cider,
2016,🥉 BRONZE,Big Belly Ciderworks,Mac Dandy,Modern Cider,
2023,🏆 BEST IN CLASS,Big Fish Cider Co.,Elevation,Heritage Cider - Sweet,3rd Place
2023,🥇 GOLD,Big Fish Cider Co.,Harrison,Heritage Cider - Dry,
2023,🥈 SILVER,Big Fish Cider Co.,Ashmead’s Kernel,Modern Cider - Dry,
2023,🥈 SILVER,Big Fish Cider Co.,Baldwin,Heritage Cider - Dry,
2023,🥈 SILVER,Big Fish Cider Co.,Crabbottom Pippin 2022,Heritage Cider - Dry,
2023,🥈 SILVER,Big Fish Cider Co.,Wild Meadow,Heritage Cider - Dry,
2022,🥇 GOLD,Big Fish Cider Co.,Northern Spy,Heritage Cider - Dry,
2022,🥇 GOLD,Big Fish Cider Co.,Wild Meadow,Heritage Cider - Dry,
2022,🥈 SILVER,Big Fish Cider Co.,Allegheny Gold,Heritage Cider - Dry,
2022,🥉 BRONZE,Big Fish Cider Co.,Highland Scrumpy,Heritage Cider - Dry,
2021,🥇 GOLD,Big Fish Cider Co.,Shady Lane Shandy,Specialty Cider and Perry,
2021,🥈 SILVER,Big Fish Cider Co.,Allegheny Gold,Heritage Cider - Dry,
2021,🥈 SILVER,Big Fish Cider Co.,Highland Scrumpy,Heritage Cider - Dry,
2021,🥈 SILVER,Big Fish Cider Co.,Honey Ginger,Botanical Cider,
2021,🥈 SILVER,Big Fish Cider Co.,Virginia Hewes Crab,Heritage Cider - Dry,
2021,🥉 BRONZE,Big Fish Cider Co.,Wild Meadow,Heritage Cider - Dry,
2019,🥇 GOLD,Big Fish Cider Co.,Crabbottom Pippin,Heritage Cider - Dry,
2019,🥇 GOLD,Big Fish Cider Co.,Honey Ginger,Specialty Cider and Perry,
2019,🥈 SILVER,Big Fish Cider Co.,Monterey Maple,Wood Aged Specialty Cider,
2018,🏆 BEST IN CLASS,Big Fish Cider Co.,Wild Meadow,Heritage Cider - Dry,1st Place
2018,🏆 BEST IN CLASS,Big Fish Cider Co.,Monterey Maple,Wood Aged Specialty Cider,3rd Place
2018,🥇 GOLD,Big Fish Cider Co.,Highland Scrumpy,Heritage Cider - Dry,
2017,🥈 SILVER,Big Fish Cider Co.,Allegheny Gold,Heritage Cider - Sweet,
2017,🥈 SILVER,Big Fish Cider Co.,Mellifera,Specialty Cider and Perry,
2017,🥉 BRONZE,Big Fish Cider Co.,Monterey Maple,Specialty Cider and Perry,
2016,🏆 BEST IN CLASS,Big Fish Cider Co.,Allegheny Gold,Heritage Cider,2nd Place
2016,🥇 GOLD,Big Fish Cider Co.,Crabbottom Pippin,Heritage Cider,
2016,🥈 SILVER,Big Fish Cider Co.,Church Hill Blush,Fruit Cider,
2016,🥉 BRONZE,Big Fish Cider Co.,Highland Scrumpy,Heritage Cider,
2019,🥉 BRONZE,Big Hill Ciderworks,Dolgo Crabapple,Heritage Cider - Dry,
2019,🥉 BRONZE,Big Hill Ciderworks,Standard,Modern Cider - Sweet,
2018,🥈 SILVER,Big Hill Ciderworks,Fresa Amarga,Specialty Cider and Perry,
2018,🥈 SILVER,Big Hill Ciderworks,Golden Russet,Heritage Cider - Dry,
2018,🥈 SILVER,Big Hill Ciderworks,Kriek,Specialty Cider and Perry,
2018,🥈 SILVER,Big Hill Ciderworks,Michaux Mule,Specialty Cider and Perry,
2017,🥈 SILVER,Big Hill Ciderworks,FuManchurian,Heritage Cider - Dry,
2017,🥉 BRONZE,Big Hill Ciderworks,Farmhouse,Sour Cider,
2017,🥉 BRONZE,Big Hill Ciderworks,Golden Russet,Wood Aged Cider,
2016,🥈 SILVER,Big Hill Ciderworks,Dolgo Crabapple,Heritage Cider,
2016,🥉 BRONZE,Big Hill Ciderworks,Little Round Hop,Hopped/Herbal Cider,
2016,🥉 BRONZE,Big Hill Ciderworks,Standard,Modern Cider,
2014,🥉 BRONZE,Big Hill Ciderworks,Big Hill Bourbon Barrel Reserve,Specialty Cider and Perry,
2016,🥈 SILVER,bigLITTLE Wines,Recess,Modern Cider,
2023,🥈 SILVER,Bird Dog Cider,Deacon John,Wood Aged Cider,
2023,🥉 BRONZE,Bird Dog Cider,Country Gold,Heritage Cider - Dry,
2018,🥉 BRONZE,Bishop Cider Company,Apple Pineapple,Fruit Cider,
2018,🥉 BRONZE,Bishop Cider Company,Blood Orange,Fruit Cider,
2018,🥉 BRONZE,Bishop Cider Company,Crackberry,Fruit Cider,
2018,🥉 BRONZE,Bishop Cider Company,OG,Modern Cider - Sweet,
2016,🥈 SILVER,Bishops Orchards Winery,Stone House White,New England Cider,
2016,🥉 BRONZE,Bishops Orchards Winery,Celebration,Applewine,
2016,🥉 BRONZE,Bishops Orchards Winery,Farm House Style Hard Cider,Modern Cider,
2016,🥉 BRONZE,Bishops Orchards Winery,Honey Peach Melba,Specialty Cider and Perry,
2015,🥉 BRONZE,Bishops Orchards Winery,Celebration,Applewine,
2015,🥉 BRONZE,Bishops Orchards Winery,Golden Hard Cider,Modern Cider,
2015,🥉 BRONZE,Bishops Orchards Winery,Happley Impeared,Specialty Cider and Perry,
2015,🥉 BRONZE,Bishops Orchards Winery,Honey Peach Melba,Specialty Cider and Perry,
2015,🥉 BRONZE,Bishops Orchards Winery,Stone House White,Applewine,
2014,🥇 GOLD,Bishops Orchards Winery,Golden Hard Cider,New World Cider,
2014,🥈 SILVER,Bishops Orchards Winery,Farm House Style Hard Cider,New World Cider,
2014,🥉 BRONZE,Bishops Orchards Winery,Adams Apple,Ice Cider,
2014,🥉 BRONZE,Bishops Orchards Winery,Celebration,Applewine,
2014,🥉 BRONZE,Bishops Orchards Winery,Happley Impeared,Specialty Cider and Perry,
2014,🥉 BRONZE,Bishops Orchards Winery,Stone House White,Applewine,
2023,🥈 SILVER,Black Apple,Dry Me!,Modern Cider - Dry,
2023,🥈 SILVER,Black Apple,Hibiscus,Botanical Cider,
2023,🥉 BRONZE,Black Apple,Peach,Fruit Cider,
2023,🥉 BRONZE,Black Apple,Strawberry,Fruit Cider,
2021,🥇 GOLD,Black Apple,Pineapple,Fruit Cider,
2021,🥈 SILVER,Black Apple,Hibiscus,Botanical Cider,
2021,🥉 BRONZE,Black Apple,Cherry Limeade,Fruit Cider,
2022,🥈 SILVER,Black Bear Cider Co.,Harvest Peach,Fruit Cider,
2022,🥉 BRONZE,Black Bear Cider Co.,Semi-Dry Cider,Modern Cider - Dry,
2021,🥈 SILVER,Black Bear Cider Co.,Semi-Dry Cider,Modern Cider - Dry,
2021,🥉 BRONZE,Black Bear Cider Co.,Harvest Peach,Fruit Cider,
2018,🥈 SILVER,Black Devil Cider,Black Devil,Modern Cider - Sweet,
2023,🥇 GOLD,Black Diamond Cider,2021 Golden Russet Porter's Perfection,Traditional Cider - Dry,
2023,🥇 GOLD,Black Diamond Cider,2021 Redfield / Wickson Crab,Heritage Cider - Dry,
2023,🥈 SILVER,Black Diamond Cider,2021 Geneva Tremlett's,Traditional Cider - Dry,
2023,🥉 BRONZE,Black Diamond Cider,2021 Porter's Pommeau,Fortified Cider,
2022,🥇 GOLD,Black Diamond Cider,Golden Russet / Porter's Perfection,Heritage Cider - Dry,
2022,🥈 SILVER,Black Diamond Cider,Perry,Modern Perry,
2022,🥉 BRONZE,Black Diamond Cider,Shin Hollow,Traditional Cider - Dry,
2022,🥉 BRONZE,Black Diamond Cider,SlateStone,Heritage Cider - Dry,
