Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,State_Province,Country,Status,Results,URL,Google,Latitude,Longitude
Green Bench Brewing Co.,0,1,12,5,18,2019,2023,4,St. Petersburg,Florida,United States,Active,https://ciderguide.com/green-bench-brewing-co/,https://www.greenbenchbrewing.com/,https://maps.google.com/?cid=4473987284585319628,27.771864,-82.650644
Ficklewood Ciderworks,0,1,11,6,18,2021,2022,2,Long Beach,California,United States,Active,https://ciderguide.com/ficklewood-ciderworks/,https://www.ficklewood.com/,https://maps.google.com/?cid=8938745528458908708,33.7691676,-118.1833942
Forgotten Ciders,0,0,7,11,18,2015,2018,4,Wheeler,Michigan,United States,Inactive,https://ciderguide.com/forgotten-ciders/,,,43.466119,-84.411417
Loch Mór Cider Co.,4,3,9,1,17,2021,2023,3,Wellington,Ontario,Canada,Active,https://ciderguide.com/loch-mor-cider-co/,https://www.lochmorcider.com/,https://maps.google.com/?cid=229164614362981916,43.9714686,-77.3895588
Yip Cider,2,1,9,5,17,2018,2023,4,Long Reach,New Brunswick,Canada,Active,https://ciderguide.com/yip-cider/,https://www.yipcider.ca/,https://maps.google.com/?cid=1920043308854719127,45.448198,-66.121387
Journey North Cider Co.,0,1,10,6,17,2021,2022,2,Bonnyville,Alberta,Canada,Active,https://ciderguide.com/journey-north-cider-co/,https://www.journeynorth.ca/,https://maps.google.com/?cid=14080665481547499862,54.2321434,-110.8326035
Hawk Knob,0,1,8,8,17,2016,2021,5,Lewisburg,West Virginia,United States,Active,https://ciderguide.com/hawk-knob/,http://www.hawkknob.com/,https://maps.google.com/?cid=14199522505934474826,37.811476,-80.50273
Spicer's Winery,0,1,5,11,17,2009,2016,7,Fenton,Michigan,United States,Active,https://ciderguide.com/spicers-winery/,http://www.spicerorchards.com/,https://maps.google.com/?cid=3119499086024195213,42.677486,-83.751844
Sonoma Cider,0,0,7,10,17,2015,2017,3,Fresno,California,United States,Inactive,https://ciderguide.com/sonoma-cider/,,,36.7270581,-119.7906887
Wooden Gate Cider,1,1,7,7,16,2022,2023,2,Pilot Mound,Manitoba,Canada,Active,https://ciderguide.com/wooden-gate-cider/,http://woodengatecider.ca/,https://maps.google.com/?cid=11406859459217810151,49.2022693,-98.8931669
Apple Valley Cider Company,1,1,4,10,16,2019,2023,4,Penrose,Colorado,United States,Active,https://ciderguide.com/apple-valley-cider-company/,http://www.applevalleycider.com/,https://maps.google.com/?cid=8798456079688966999,38.425243,-105.026257
Wyndridge Farm,0,2,10,4,16,2016,2021,4,Dallastown,Pennsylvania,United States,Active,https://ciderguide.com/wyndridge-farm/,http://wyndridge.com/,https://maps.google.com/?cid=5379105300822108832,39.884193,-76.648405
Wilson's Orchard & Farm,0,1,11,4,16,2022,2022,1,Iowa City,Iowa,United States,Active,https://ciderguide.com/wilsons-orchard-farm/,http://www.wilsonsorchard.com/,https://maps.google.com/?cid=15844830079220583855,41.72032,-91.460991
Appleholic Cider Company,0,0,7,9,16,2018,2021,3,Leland,Michigan,United States,Inactive,https://ciderguide.com/appleholic-cider-company/,,,45.02296,-85.7602
C Squared Ciders,3,1,5,6,15,2016,2019,4,Denver,Colorado,United States,Inactive,https://ciderguide.com/c-squared-ciders/,,,39.762816,-104.984037
Ragged Hill Cider,1,3,2,9,15,2018,2023,5,West Brookfield,Massachusetts,United States,Active,https://ciderguide.com/ragged-hill-cider/,https://www.raggedhillcider.com/,https://maps.google.com/?cid=12743756096350248911,42.269444,-72.168979
Presque Isle Farm Cider,1,2,9,3,15,2021,2023,3,Posen,Michigan,United States,Active,https://ciderguide.com/presque-isle-farm-cider/,http://www.presqueislefarm.com/,https://www.google.com/maps?cid=15894467625268036242,45.25734,-83.59946
Papa Moon Vineyards & Winery,1,2,5,7,15,2021,2023,3,Scottsbluff,Nebraska,United States,Active,https://ciderguide.com/papa-moon-vineyards-winery/,https://www.papamoonvineyards.com/,https://maps.google.com/?cid=16564507604611639866,41.8877158,-103.6176699
Mountain West Cider Company,1,0,8,6,15,2016,2023,3,Salt Lake City,Utah,United States,Active,https://ciderguide.com/mountain-west-cider-company/,http://mountainwestcider.com/,https://maps.google.com/?cid=16538924633378887108,40.778772,-111.903037
Slabtown Cider Co.,0,2,7,6,15,2023,2023,1,Uxbridge,Ontario,Canada,Active,https://ciderguide.com/slabtown-cider-co/,https://www.slabtowncider.com/,https://maps.google.com/?cid=16401648239759014466,44.0606307,-79.1247329
Reverend Nat's Hard Cider,0,2,5,8,15,2013,2016,4,Portland,Oregon,United States,Inactive,https://ciderguide.com/reverend-nats-hard-cider/,,,45.5050424,-122.6278162
Shiny Apple Cider,0,1,8,6,15,2016,2023,4,Niagara-on-the-Lake,Ontario,Canada,Active,https://ciderguide.com/shiny-apple-cider/,http://www.shinyapplecider.com/,https://goo.gl/maps/K6iMob5ZhvF2,43.223863,-79.171489
Bishops Orchards Winery,0,1,2,12,15,2014,2016,3,Guilford,Connecticut,United States,Active,https://ciderguide.com/bishops-orchards-winery/,http://bishopsorchards.com/,https://maps.google.com/?cid=8883870059034000823,41.289934,-72.694687
Waves Cider Co.,0,0,9,6,15,2021,2023,3,Columbia,Missouri,United States,Active,https://ciderguide.com/waves-cider-co/,https://www.wavescider.com/,https://maps.google.com/?cid=14648885420033365453,38.9655649,-92.3297892
Sidra Mayador,4,1,4,5,14,2016,2022,6,La Rasa,Villaviciosa,Spain,Active,https://ciderguide.com/sidra-mayador/,http://www.mayador.com/,https://maps.google.com/?cid=6886369759358960464,43.514985,-5.330323
Scenic Road Cider Co.,2,1,10,1,14,2017,2021,4,Kelowna,British Columbia,Canada,Active,https://ciderguide.com/scenic-road-cider-co/,https://scenicroadcider.com/,https://maps.google.com/?cid=1733637164282947547,49.931257,-119.421347
Elk Horn Brewery & Ciderhouse,2,0,3,9,14,2017,2022,3,Eugene,Oregon,United States,Active,https://ciderguide.com/elk-horn-brewery-ciderhouse/,http://www.elkhornbrewery.com/,https://maps.google.com/?cid=3806213339852533020,44.049648,-123.082413
Tulip Valley Vineyard & Orchard,1,4,5,4,14,2005,2023,10,Mt Vernon,Washington,United States,Active,https://ciderguide.com/tulip-valley-vineyard-orchard/,http://www.tulipvalley.net/,https://maps.google.com/?cid=5991272797234687283,48.443719,-122.396515
Door Peninsula Winery,1,3,5,5,14,2018,2023,4,Sturgeon Bay,Wisconsin,United States,Active,https://ciderguide.com/door-peninsula-winery/,https://www.dcwine.com/,https://maps.google.com/?cid=16489357803980221372,44.951804,-87.336352
Stoic Cider,1,2,8,3,14,2018,2023,4,Prescott,Arizona,United States,Active,https://ciderguide.com/stoic-cider/,http://stoiccider.com/,https://maps.google.com/?cid=17055851363950061801,34.748157,-112.670676
Nashi Orchards,1,2,6,5,14,2016,2022,4,Vashon,Washington,United States,Active,https://ciderguide.com/nashi-orchards/,http://www.nashiorchards.com/,https://maps.google.com/?cid=12360902013052761069,47.375697,-122.504058
The Cider Farm,1,1,8,4,14,2014,2023,3,Mineral Point,Wisconsin,United States,Active,https://ciderguide.com/the-cider-farm/,http://www.theciderfarm.com/,https://maps.google.com/?cid=4628939322097981132,42.859997,-90.179847
Chain Yard Urban Cidery,0,2,9,3,14,2019,2022,2,Halifax,Nova Scotia,Canada,Active,https://ciderguide.com/chain-yard-urban-cidery/,http://chainyardcider.com/,https://maps.google.com/?cid=4454532663694829560,44.655537,-63.593991
Offset Ciderworks,0,1,9,4,14,2021,2023,2,Seattle,Washington,United States,Active,https://ciderguide.com/offset-ciderworks/,https://shopoffsetciderworks.com/,,47.8028091,-122.3228434
Aspall,0,1,7,6,14,2009,2012,3,Debenham,Suffolk,United Kingdom,Active,https://ciderguide.com/aspall/,http://www.aspall.co.uk/,https://maps.google.com/?cid=12281573289882642327,52.2435749,1.1787641
Sietsema Orchards,0,1,5,8,14,2013,2018,6,Ada,Michigan,United States,Inactive,https://ciderguide.com/sietsema-orchards/,,,43.000772,-85.459472
45 North Vineyard & Winery,0,0,8,6,14,2016,2019,4,Lake Leelanau,Michigan,United States,Active,https://ciderguide.com/45-north-vineyard-winery/,https://fortyfivenorth.com/,https://maps.google.com/?cid=11817740184078021050,45.002103,-85.681943
Cider Riot!,0,0,5,9,14,2015,2019,4,Portland,Oregon,United States,Inactive,https://ciderguide.com/cider-riot/,,,45.523854,-122.657297
Le Père Jules,3,2,7,1,13,2014,2017,3,Saint Desir de Lisieux,Calvados,France,Active,https://ciderguide.com/le-pere-jules/,http://www.calvados-leperejules.com/,https://maps.google.com/?cid=13505988202545080748,49.157696,0.1960087
Annapolis Cider Company,2,2,6,3,13,2017,2023,2,Wolfville,Nova Scotia,Canada,Active,https://ciderguide.com/annapolis-cider-company/,http://drinkannapolis.ca/,https://maps.google.com/?cid=7381602210087700913,45.09178,-64.360279
Celtic Marches,2,1,5,5,13,2018,2021,3,Bishops Frome,Worcestershire,United Kingdom,Active,https://ciderguide.com/celtic-marches/,http://www.celticmarches.com/,https://maps.google.com/?cid=14163451376835523124,52.1392063,-2.4991058
Bulwark Cider,2,0,3,8,13,2016,2018,3,New Ross,Nova Scotia,Canada,Active,https://ciderguide.com/bulwark-cider/,https://bulwarkcider.com/,https://maps.google.com/?cid=9582388698593505547,44.822603,-64.506287
Heeman's,1,2,8,2,13,2021,2023,3,Thorndale,Ontario,Canada,Active,https://ciderguide.com/heemans/,https://heeman.ca/,https://maps.google.com/?cid=6514751524906368604,43.0407802,-81.1242136
Atlanta Hard Cider Co.,1,1,11,0,13,2019,2023,4,Atlanta,Georgia,United States,Active,https://ciderguide.com/atlanta-hard-cider-co/,https://www.atlantahardcider.com/,https://www.google.com/maps?cid=15330589380276964489,33.9507273,-84.52255
County Cider Company,1,0,8,4,13,2011,2017,4,Waupoos,Ontario,Canada,Active,https://ciderguide.com/county-cider-company/,http://www.countycider.com/,https://maps.google.com/?cid=64fedff712d6895c,44.020608,-76.962788
Tideview Cider,1,0,7,5,13,2009,2014,4,Greenwich,Nova Scotia,Canada,Inactive,https://ciderguide.com/tideview-cider/,,,45.08312,-64.402318
Pencil Hound Ciders,0,2,7,4,13,2021,2022,2,Dolores,Colorado,United States,Inactive,https://ciderguide.com/pencil-hound-ciders/,,,37.4762645,-108.4837614
Niagara Cider Company,0,1,10,2,13,2019,2022,3,Niagara Falls,Ontario,Canada,Active,https://ciderguide.com/niagara-cider-company/,https://niagaracidercompany.com/,https://maps.google.com/?cid=203880754587664730,43.0550484,-79.1308663
Wild State Cider,0,0,9,4,13,2021,2023,3,Duluth,Minnesota,United States,Active,https://ciderguide.com/wild-state-cider/,https://www.wildstatecider.com/,https://maps.google.com/?cid=9071493292280533216,46.762891,-92.130134
Big Hill Ciderworks,0,0,6,7,13,2014,2019,5,Gardners,Pennsylvania,United States,Active,https://ciderguide.com/big-hill-ciderworks/,https://www.bighillcider.com/,https://maps.google.com/?cid=11839293456795799865,40.0277976,-77.2135009
Ferme de la Sapinière,0,0,5,8,13,2014,2018,5,Saint-Laurent-sur-Mer,Calvados,France,Active,https://ciderguide.com/ferme-de-la-sapiniere/,https://www.producteur-cidre.com/,https://maps.google.com/?cid=13033032790677741913,49.3561555,-0.8754963
Treasury Cider at Fishkill Farms,0,0,4,9,13,2018,2022,4,Hopewell Junction,New York,United States,Active,https://ciderguide.com/treasury-cider-at-fishkill-farms/,http://www.treasurycider.com/,https://maps.google.com/?cid=14255088451627296241,41.517826,-73.823327
Puddicombe Estate Farm,0,0,3,10,13,2012,2019,5,Winona,Ontario,Canada,Active,https://ciderguide.com/puddicombe-estate-farm/,http://www.puddicombefarms.com/,https://maps.google.com/?cid=9812398427753964589,43.2048937,-79.6336935
Patriots' Heritage Cider,0,0,2,11,13,2017,2021,4,Schaghticoke,New York,United States,Active,https://ciderguide.com/patriots-heritage-cider/,http://www.phcider.com/,https://maps.google.com/?cid=9501972355619759078,42.8848347,-73.5781383
Dunkertons Cider and Perry,4,0,3,5,12,2017,2021,4,Cheltenham,Herefordshire,United Kingdom,Active,https://ciderguide.com/dunkertons-cider-and-perry/,https://www.dunkertonscider.co.uk/,https://maps.google.com/?cid=4719921113153419800,51.8771374,-2.0279869
Sidewood Estate,3,1,5,3,12,2018,2023,4,Hahndorf,South Australia,Australia,Active,https://ciderguide.com/sidewood-estate/,https://sidewood.com.au/,https://maps.google.com/?cid=16006910239256404559,-35.0207278,138.7945874
Maiden Rock Winery & Cidery,2,1,6,3,12,2011,2023,8,Stockholm,Wisconsin,United States,Active,https://ciderguide.com/maiden-rock-winery-cidery/,http://www.maidenrockwinerycidery.com/,https://maps.google.com/?cid=3321455700224536041,44.515238,-92.268117
Red Rover Craft Cider,2,1,1,8,12,2016,2019,4,Fredericton,New Brunswick,Canada,Active,https://ciderguide.com/red-rover-craft-cider/,http://www.redroverbrew.com/,https://maps.google.com/?cid=629976877139615301,45.961532,-66.640062
Michigan Wine Company,1,2,7,2,12,2019,2023,4,Fennville,Michigan,United States,Active,https://ciderguide.com/michigan-wine-company/,https://www.michiganwineco.com/,https://maps.google.com/?cid=8962454315572292380,42.5945628,-86.2096112
Ragged and Right Cider Project,1,1,7,3,12,2021,2022,2,Mount Vernon,Washington,United States,Active,https://ciderguide.com/ragged-and-right-cider-project/,http://www.farmstrongbrewing.com/,https://maps.google.com/?cid=9734737069805633605,48.442772,-122.342298
Square Mile Cider,1,0,5,6,12,2015,2019,5,Portland,Oregon,United States,Active,https://ciderguide.com/square-mile-cider/,https://www.squaremilecider.com/,https://maps.google.com/?cid=1334101927022279814,45.541124,-122.676595
Avid Cider,1,0,4,7,12,2014,2023,3,Bend,Oregon,United States,Active,https://ciderguide.com/avid-cider/,https://avidcider.com/,,44.0509307,-121.3144074
Collective Arts Brewing,0,1,7,4,12,2017,2021,4,Hamilton,Ontario,Canada,Active,https://ciderguide.com/collective-arts-brewing/,http://collectiveartsbrewing.com/,https://maps.google.com/?cid=9920654321167470617,43.27079,-79.852716
Ridge Cider Co.,0,0,6,6,12,2016,2019,4,Grant,Michigan,United States,Inactive,https://ciderguide.com/ridge-cider-co/,,,43.308463,-85.809504
The Great Canadian Cider Company,0,0,6,6,12,2017,2019,3,Collingwood,Ontario,Canada,Inactive,https://ciderguide.com/the-great-canadian-cider-company/,,,44.4883641,-80.1988175
Common Cider Company,0,0,5,7,12,2015,2018,3,Auburn,California,United States,Inactive,https://ciderguide.com/common-cider-company/,,,38.950812,-121.084227
Bryant's Cider,0,0,4,8,12,2019,2022,3,Roseland,Virginia,United States,Active,https://ciderguide.com/bryants-cider/,https://bryantscider.com/,https://maps.google.com/?cid=15598469607243113479,37.797413,-78.939801
Space Time Mead & Cider Works,0,0,4,8,12,2019,2023,4,Dunmore,Pennsylvania,United States,Active,https://ciderguide.com/space-time-mead-cider-works/,http://www.spacetimemeadworks.com/,https://maps.google.com/?cid=357847721777965657,41.4172242,-75.6350154
Methow Valley Ciderhouse,1,1,4,5,11,2013,2018,5,Winthrop,Washington,United States,Active,https://ciderguide.com/methow-valley-ciderhouse/,https://methowvalleyciderhousellc.com/,https://maps.google.com/?cid=17865926054259925025,48.477133,-120.186948
Toboggan Brewing Co.,1,0,7,3,11,2016,2023,3,London,Ontario,Canada,Active,https://ciderguide.com/toboggan-brewing-co/,http://www.tobogganbrewing.com/,https://goo.gl/maps/ANvqQbR6UHL2,42.989853,-81.251191
Bent Ladder,1,0,6,4,11,2019,2023,3,Doylestown,Ohio,United States,Active,https://ciderguide.com/bent-ladder/,http://bentladder.com/,https://maps.google.com/?cid=5886580381731979881,40.9646071,-81.739989
Northern Natural Cider House & Winery,0,2,3,6,11,2013,2017,5,Kaleva,Michigan,United States,Active,https://ciderguide.com/northern-natural-cider-house-winery/,http://www.northernnaturalwinery.com/,https://maps.google.com/?cid=17749341957373928380,44.3464985,-86.1020865
Descendant Cider Company,0,1,7,3,11,2015,2018,4,Maspeth,New York,United States,Inactive,https://ciderguide.com/descendant-cider-company/,,,40.714463,-73.914203
Wise Bird Cider,0,1,7,3,11,2021,2023,3,Lexington,Kentucky,United States,Active,https://ciderguide.com/wise-bird-cider/,https://www.wisebirdcider.com/,https://maps.google.com/?cid=15445502611486474709,38.055559,-84.517713
Uncommon Cider Co.,0,1,6,4,11,2017,2021,3,Calgary,Alberta,Canada,Active,https://ciderguide.com/uncommon-cider-co/,https://uncommoncider.com/,https://www.google.com/maps?cid=10085150109099679201,51.0187544,-114.0596605
Etta Place Cider,0,1,5,5,11,2021,2023,3,Torrey,Utah,United States,Active,https://ciderguide.com/etta-place-cider/,https://www.ettaplacecider.com/,https://www.google.com/maps?cid=17644395314626791133,38.299562,-111.4351606
Lassen Traditional Cider,0,1,3,7,11,2017,2023,6,Chico,California,United States,Active,https://ciderguide.com/lassen-traditional-cider/,https://www.lassencider.com/,https://maps.google.com/?cid=10315637006146688710,39.714697,-121.820272
ShipBuilders Cider,0,0,6,5,11,2015,2019,4,Halifax,Nova Scotia,Canada,Active,https://ciderguide.com/shipbuilders-cider/,http://www.shipbuilderscider.ca/,https://goo.gl/maps/jw6eGr87eeR2,44.649288,-63.574042
Runcible Cider,0,0,4,7,11,2017,2023,4,Mosier,Oregon,United States,Active,https://ciderguide.com/runcible-cider/,https://www.runciblecider.com/,https://maps.google.com/?cid=15182592417091165603,45.673003,-121.408294
Spring Hill Cider Works,0,0,4,7,11,2017,2023,6,Geneva,Ohio,United States,Active,https://ciderguide.com/spring-hill-cider-works/,http://www.thewineryatspringhill.com/,https://maps.google.com/?cid=3444189531624313783,41.781744,-80.97225
Tractor Brewing Company,0,0,4,7,11,2017,2019,3,Albuquerque,New Mexico,United States,Active,https://ciderguide.com/tractor-brewing-company/,https://getplowed.com/,https://maps.google.com/?cid=3753383082862892137,35.102281,-106.647915
Coffin Ridge Boutique Winery,2,0,7,1,10,2017,2019,2,Annan,Ontario,Canada,Active,https://ciderguide.com/coffin-ridge-boutique-winery/,https://www.coffinridge.ca/,https://maps.google.com/?cid=12219814321638852363,44.663372,-80.77569
Once Upon A Tree,1,1,5,3,10,2019,2021,2,Ledbury,Herefordshire,United Kingdom,Active,https://ciderguide.com/once-upon-a-tree/,http://www.onceuponatree.co.uk/,https://maps.google.com/?cid=11149272018130031953,52.039172,-2.5093398
Duluth Cider,1,1,3,5,10,2021,2023,3,Duluth,Minnesota,United States,Active,https://ciderguide.com/duluth-cider/,https://duluthcider.com/,https://maps.google.com/?cid=3814310496447641516,46.764947,-92.127394
Sidra Riestra,1,0,8,1,10,2013,2019,6,Sariego,Asturias,Spain,Active,https://ciderguide.com/sidra-riestra/,http://www.sidrariestra.com/,https://maps.google.com/?cid=2253085342105400787,43.416536,-5.580949
Sidra Viuda de Angelón,0,2,5,3,10,2013,2017,4,Nava,Asturias,Spain,Active,https://ciderguide.com/sidra-viuda-de-angelon/,http://www.sidraviudaangelonpomar.es/,https://maps.google.com/?cid=13173562328637195239,43.367684,-5.523426
Coteau Rougemont,0,2,4,4,10,2016,2017,2,Rougemont,Quebec,Canada,Active,https://ciderguide.com/coteau-rougemont/,https://www.coteaurougemont.ca/,https://www.google.com/maps?cid=8074777431752004247,45.4513635,-73.0422493
Rhinegeist Brewery,0,1,6,3,10,2017,2022,3,Cincinnati,Ohio,United States,Active,https://ciderguide.com/rhinegeist-brewery/,http://www.rhinegeist.com/,https://maps.google.com/?cid=4624817204033581156,39.117266,-84.520101
Ricker Hill,0,1,6,3,10,2016,2018,3,Turner,Maine,United States,Active,https://ciderguide.com/ricker-hill/,http://www.rickershardcider.com/,https://maps.google.com/?cid=18164962847201727107,44.26588,-70.280404
Cascade Winery & Sierra Rose Ciders,0,1,5,4,10,2006,2023,5,Grand Rapids,Michigan,United States,Active,https://ciderguide.com/cascade-winery-sierra-rose-ciders/,http://www.sierrarosewinery.com/,https://maps.google.com/?cid=15952962754429138350,42.878915,-85.562785
Alpenfire Cider,0,1,4,5,10,2011,2017,5,Port Townsend,Washington,United States,Active,https://ciderguide.com/alpenfire-cider/,https://www.alpenfirecider.com/,https://maps.google.com/?cid=13194604853315575065,48.082401,-122.87609
Buskey Cider,0,1,3,6,10,2017,2023,4,Richmond,Virginia,United States,Active,https://ciderguide.com/buskey-cider/,http://www.buskeycider.com/,https://maps.google.com/?cid=13409179490228723913,37.566063,-77.46914
GoodRoad Ciderworks,0,1,3,6,10,2017,2018,2,Charlotte,North Carolina,United States,Inactive,https://ciderguide.com/goodroad-ciderworks/,,,35.184917,-80.879441
Humboldt Cider Company,0,1,3,6,10,2015,2017,3,Eureka,California,United States,Active,https://ciderguide.com/humboldt-cider-company/,https://www.instagram.com/humboldtcidercompany/,https://www.google.com/maps?cid=9833726366522566502,40.7817209,-124.1298735
White Winter Winery,0,1,3,6,10,2005,2023,6,Iron River,Wisconsin,United States,Active,https://ciderguide.com/white-winter-winery/,https://whitewinter.com/,https://maps.google.com/?cid=13642608818447326025,46.565581,-91.418129
Blue Bee Cider,0,0,6,4,10,2014,2022,3,Richmond,Virginia,United States,Active,https://ciderguide.com/blue-bee-cider/,http://www.bluebeecider.com/,https://maps.google.com/?cid=17761175602688407320,37.5665383,-77.4722241
Brix Cider,0,0,6,4,10,2017,2019,3,Mount Horeb,Wisconsin,United States,Active,https://ciderguide.com/brix-cider/,https://brixcider.com/,https://maps.google.com/?cid=784869786614677207,43.007126,-89.737751
Texas Keeper Cider,0,0,5,5,10,2015,2016,2,Manchaca,Texas,United States,Active,https://ciderguide.com/texas-keeper-cider/,http://www.texaskeeper.com/,https://maps.google.com/?cid=4878585715150481608,30.125459,-97.818789
Shoal Hope Ciderworks,0,0,4,6,10,2018,2021,3,Provincetown,Massachusetts,United States,Inactive,https://ciderguide.com/shoal-hope-ciderworks/,,,42.057719,-70.188488
Flat Rock Cider Company,0,0,2,8,10,2021,2023,3,Hendersonville,North Carolina,United States,Active,https://ciderguide.com/flat-rock-cider-company/,https://www.flatrockcidercompany.com/,,35.315966,-82.460411
Cidrerie Entre Pierre & Terre,1,0,7,1,9,2013,2016,4,Hinchinbrooke,Quebec,Canada,Active,https://ciderguide.com/cidrerie-entre-pierre-terre/,http://vindefruit.ca/,https://maps.google.com/?cid=16856277496706974032,45.027494,-73.937
Potter's Craft Cider,0,2,6,1,9,2019,2021,2,Charlottesville,Virginia,United States,Active,https://ciderguide.com/potters-craft-cider/,https://potterscraftcider.com/,https://maps.google.com/?cid=5866852060832925678,37.9986534,-78.5798492
Treehorn Cider,0,2,6,1,9,2018,2019,2,Marietta,Georgia,United States,Active,https://ciderguide.com/treehorn-cider/,http://www.treehorncider.com/,https://maps.google.com/?cid=14919543020537044132,33.942771,-84.514319
Fieldstone Hard Cider Co.,0,2,5,2,9,2017,2019,3,Rochester,Michigan,United States,Inactive,https://ciderguide.com/fieldstone-hard-cider-co/,,,42.678876,-83.134079
Seminary Hill Orchard & Cidery,0,1,6,2,9,2022,2023,2,Callicoon,New York,United States,Active,https://ciderguide.com/seminary-hill-orchard-cidery/,https://www.seminaryhill.co/,https://maps.google.com/?cid=2014295545037325417,41.7743187,-75.0549915
Diskin Cider,0,1,4,4,9,2019,2021,2,Nashville,Tennessee,United States,Active,https://ciderguide.com/diskin-cider/,http://www.diskincider.com/,https://maps.google.com/?cid=5465208715637137113,36.140849,-86.769778
Le Flanc Nord Verger & Cidrerie,0,1,4,4,9,2015,2018,4,Mont-Saint-Hilaire,Quebec,Canada,Active,https://ciderguide.com/le-flanc-nord-verger-cidrerie/,http://www.vergerduflancnord.com/,https://goo.gl/maps/WA1Kjax1w7u,45.572002,-73.155988
Liquid Alchemy Beverages,0,1,4,4,9,2018,2023,3,Wilmington,Delaware,United States,Active,https://ciderguide.com/liquid-alchemy-beverages/,https://www.liquidalchemybeverages.com/,https://maps.google.com/?cid=17392171192902258223,39.729206,-75.580718
Cider Brothers,0,1,3,5,9,2015,2017,3,Walnut Creek,California,United States,Inactive,https://ciderguide.com/cider-brothers/,,,37.900624,-122.061308
Old Hill Cider,0,1,1,7,9,2014,2018,3,Timberville,Virginia,United States,Active,https://ciderguide.com/old-hill-cider/,https://www.showaltersorchard.com/,https://maps.google.com/?cid=9342034920472670388,38.667709,-78.797062
Minneapolis Cider Company,0,0,7,2,9,2016,2023,3,Minneapolis,Minnesota,United States,Active,https://ciderguide.com/minneapolis-cider-company/,https://minneapoliscider.co/,https://maps.google.com/?cid=7331255600636952675,44.977753,-93.265011
Brew Lab 101 Beer & Cider Co.,0,0,6,3,9,2022,2023,2,Rio Rancho,New Mexico,United States,Active,https://ciderguide.com/brew-lab-101-beer-cider-co/,https://brewlab101.com/,https://maps.google.com/?cid=11422620826361494418,35.2432541,-106.6693816
Peninsula Cellars,0,0,6,3,9,2021,2022,2,Traverse City,Michigan,United States,Active,https://ciderguide.com/peninsula-cellars/,https://www.peninsulacellars.com/,https://maps.google.com/?cid=14729173182155147473,44.854006,-85.527215
Boss Cider Company,0,0,5,4,9,2022,2022,1,Leslie,Michigan,United States,Active,https://ciderguide.com/boss-cider-company/,https://www.bosscider.com/,https://maps.google.com/?cid=1969051789610674635,42.450331,-84.431688
Ash & Elm Cider Company,0,0,4,5,9,2017,2019,3,Indianapolis,Indiana,United States,Active,https://ciderguide.com/ash-elm-cider-company/,http://www.ashandelmcider.com/,https://maps.google.com/?cid=9920873955827748956,39.768019,-86.125256
Kaneb Orchards,0,0,4,5,9,2015,2018,4,Massena,New York,United States,Active,https://ciderguide.com/kaneb-orchards/,http://www.kaneborchards.com/,https://maps.google.com/?cid=102588345374024107,44.945459,-74.853156
Sly Clyde Ciderworks,0,0,4,5,9,2019,2021,2,Hampton,Virginia,United States,Active,https://ciderguide.com/sly-clyde-ciderworks/,https://www.slyclyde.com,https://maps.google.com/?cid=17208921279176695082,37.01651,-76.319663
Sycamore Ranch Vineyard & Winery,0,0,3,6,9,2021,2021,1,Crestline,California,United States,Active,https://ciderguide.com/sycamore-ranch-vineyard-winery/,https://www.sycamoreranch.com/,https://maps.google.com/?cid=4629670403061835718,34.2532057,-117.2588613
Heartwood Farm & Cidery,0,0,1,8,9,2017,2019,3,Acton,Ontario,Canada,Active,https://ciderguide.com/heartwood-farm-cidery/,https://heartwoodfarm.ca/,https://maps.google.com/?cid=16425423652702736489,43.7010152,-80.1395598
Sierra Cider,3,1,2,2,8,2017,2019,3,Mariposa,California,United States,Active,https://ciderguide.com/sierra-cider/,http://sierracider.com/,https://maps.google.com/?cid=4945510400217384916,37.495517,-119.819732
Clear Fork Cider,1,1,1,5,8,2017,2021,2,Paonia,Colorado,United States,Active,https://ciderguide.com/clear-fork-cider/,https://www.clearforkcider.com/,https://maps.google.com/?cid=11939982022714952389,38.8682283,-107.5980751
Alma Cider,1,0,6,1,8,2021,2023,2,Mount Vernon,Washington,United States,Active,https://ciderguide.com/alma-cider/,https://almacider.com/,,48.416119,-122.2940351
Banjo Cider,1,0,6,1,8,2021,2022,2,Uxbridge,Ontario,Canada,Active,https://ciderguide.com/banjo-cider/,https://www.banjocider.ca/,https://maps.google.com/?cid=12258588481727977876,44.1484947,-79.1592864
Spoke + Spy Ciderworks,1,0,5,2,8,2018,2023,4,Middletown,Connecticut,United States,Active,https://ciderguide.com/spoke-spy-ciderworks/,http://spokeandspy.com/,https://maps.google.com/?cid=4011737661305086248,41.572063,-72.657709
Lost Giants Cider Company,1,0,3,4,8,2019,2021,2,Bellingham,Washington,United States,Active,https://ciderguide.com/lost-giants-cider-company/,https://lostgiantscider.com/,https://maps.google.com/?cid=3699889965366654678,48.752457,-122.459354
Bereziartua,0,2,4,2,8,2015,2021,5,Astigarraga,Gipuzkoa,Spain,Active,https://ciderguide.com/bereziartua/,https://www.bereziartuasagardoa.com/,https://www.google.com/maps?cid=4287840169739792051,43.2829301,-1.9400682
