Year_Old,Year,Medalist,Medalist_URL,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Bull Run Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bull-run-cider/"">Bull Run Cider</a>",0,1,5,3,9,https://ciderguide.com/glintcap/medalists/bull-run-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Vala's Orchard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",0,1,2,6,9,https://ciderguide.com/glintcap/medalists/valas-orchard-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Boss Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/boss-cider-company/"">Boss Cider Company</a>",0,0,5,4,9,https://ciderguide.com/glintcap/medalists/boss-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Pux Cider,"<a href=""https://ciderguide.com/glintcap/medalists/pux-cider/"">Pux Cider</a>",0,2,4,2,8,https://ciderguide.com/glintcap/medalists/pux-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Dancing Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/dancing-cider-co/"">Dancing Cider Co.</a>",0,1,3,4,8,https://ciderguide.com/glintcap/medalists/dancing-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Starcut Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",2,0,3,2,7,https://ciderguide.com/glintcap/medalists/starcut-ciders/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Gowan's Heirloom Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",1,1,5,0,7,https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Atlanta Hard Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/"">Atlanta Hard Cider Co.</a>",1,0,6,0,7,https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Cider Hill Cellars,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",1,0,5,1,7,https://ciderguide.com/glintcap/medalists/cider-hill-cellars/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Ernest Cider,"<a href=""https://ciderguide.com/glintcap/medalists/ernest-cider/"">Ernest Cider</a>",1,0,4,2,7,https://ciderguide.com/glintcap/medalists/ernest-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",ANXO Cider,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",1,0,3,3,7,https://ciderguide.com/glintcap/medalists/anxo-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Eris Brewery & Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/"">Eris Brewery & Cider House</a>",1,0,3,3,7,https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Number 12 Cider,"<a href=""https://ciderguide.com/glintcap/medalists/number-12-cider/"">Number 12 Cider</a>",0,2,4,1,7,https://ciderguide.com/glintcap/medalists/number-12-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Swift Cider,"<a href=""https://ciderguide.com/glintcap/medalists/swift-cider/"">Swift Cider</a>",0,2,3,2,7,https://ciderguide.com/glintcap/medalists/swift-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Chain Yard Urban Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/"">Chain Yard Urban Cidery</a>",0,1,5,1,7,https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Journey North Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/journey-north-cider-co/"">Journey North Cider Co.</a>",0,1,4,2,7,https://ciderguide.com/glintcap/medalists/journey-north-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",St. Vrain Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",0,1,4,2,7,https://ciderguide.com/glintcap/medalists/st-vrain-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Papa Moon Vineyards & Winery,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",0,1,3,3,7,https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Jefferson County Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",2,1,2,1,6,https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",City Orchard,"<a href=""https://ciderguide.com/glintcap/medalists/city-orchard/"">City Orchard</a>",1,1,4,0,6,https://ciderguide.com/glintcap/medalists/city-orchard/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Brooklyn Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",1,0,4,1,6,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Pencil Hound Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/pencil-hound-ciders/"">Pencil Hound Ciders</a>",0,2,3,1,6,https://ciderguide.com/glintcap/medalists/pencil-hound-ciders/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Champlain Orchards,"<a href=""https://ciderguide.com/glintcap/medalists/champlain-orchards/"">Champlain Orchards</a>",0,1,5,0,6,https://ciderguide.com/glintcap/medalists/champlain-orchards/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Portland Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/portland-cider-company/"">Portland Cider Company</a>",0,1,4,1,6,https://ciderguide.com/glintcap/medalists/portland-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Northville Winery and Brewing Company,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",0,1,3,2,6,https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Phillips Orchards & Cider Mill,"<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",0,1,3,2,6,https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Sidra El Gaitero,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",0,1,2,3,6,https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",EsoTerra Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/esoterra-ciderworks/"">EsoTerra Ciderworks</a>",0,1,1,4,6,https://ciderguide.com/glintcap/medalists/esoterra-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Presque Isle Farm Cider,"<a href=""https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/"">Presque Isle Farm Cider</a>",0,0,4,2,6,https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Waves Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/waves-cider-co/"">Waves Cider Co.</a>",0,0,4,2,6,https://ciderguide.com/glintcap/medalists/waves-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Elk Horn Brewery & Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/elk-horn-brewery-ciderhouse/"">Elk Horn Brewery & Ciderhouse</a>",0,0,3,3,6,https://ciderguide.com/glintcap/medalists/elk-horn-brewery-ciderhouse/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",OK Cider Co,"<a href=""https://ciderguide.com/glintcap/medalists/ok-cider-co/"">OK Cider Co</a>",0,0,3,3,6,https://ciderguide.com/glintcap/medalists/ok-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Sapsucker Farms Yellow Belly Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",0,0,3,3,6,https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Cidrerie Milton,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",1,2,1,1,5,https://ciderguide.com/glintcap/medalists/cidrerie-milton/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Door Peninsula Winery,"<a href=""https://ciderguide.com/glintcap/medalists/door-peninsula-winery/"">Door Peninsula Winery</a>",1,2,1,1,5,https://ciderguide.com/glintcap/medalists/door-peninsula-winery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",1,1,3,0,5,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Rootstock Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/rootstock-ciderworks/"">Rootstock Ciderworks</a>",1,1,2,1,5,https://ciderguide.com/glintcap/medalists/rootstock-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Ciderboys,"<a href=""https://ciderguide.com/glintcap/medalists/ciderboys/"">Ciderboys</a>",1,0,4,0,5,https://ciderguide.com/glintcap/medalists/ciderboys/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Millionaires' Row Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/millionaires-row-cider-co/"">Millionaires' Row Cider Co.</a>",1,0,4,0,5,https://ciderguide.com/glintcap/medalists/millionaires-row-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Banjo Cider,"<a href=""https://ciderguide.com/glintcap/medalists/banjo-cider/"">Banjo Cider</a>",1,0,3,1,5,https://ciderguide.com/glintcap/medalists/banjo-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Yip Cider,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",1,0,3,1,5,https://ciderguide.com/glintcap/medalists/yip-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Windswept Orchard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/windswept-orchard-cider/"">Windswept Orchard Cider</a>",1,0,2,2,5,https://ciderguide.com/glintcap/medalists/windswept-orchard-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Ragged and Right Cider Project,"<a href=""https://ciderguide.com/glintcap/medalists/ragged-and-right-cider-project/"">Ragged and Right Cider Project</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/ragged-and-right-cider-project/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Stem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/stem-ciders/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Sea Cider Farm & Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/"">Sea Cider Farm & Ciderhouse</a>",0,1,2,2,5,https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",California Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/california-cider-company/"">California Cider Company</a>",0,1,1,3,5,https://ciderguide.com/glintcap/medalists/california-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Peak Light Cider,"<a href=""https://ciderguide.com/glintcap/medalists/peak-light-cider/"">Peak Light Cider</a>",0,0,5,0,5,https://ciderguide.com/glintcap/medalists/peak-light-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Bryant's Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bryants-cider/"">Bryant's Cider</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/bryants-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Nashi Orchards,"<a href=""https://ciderguide.com/glintcap/medalists/nashi-orchards/"">Nashi Orchards</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/nashi-orchards/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Niagara Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/niagara-cider-company/"">Niagara Cider Company</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/niagara-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Blue Toad Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/"">Blue Toad Hard Cider</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Brew Lab 101 Beer & Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/"">Brew Lab 101 Beer & Cider Co.</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Cidrerie Verger Bilodeau,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Locust Cider,"<a href=""https://ciderguide.com/glintcap/medalists/locust-cider/"">Locust Cider</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/locust-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Peninsula Cellars,"<a href=""https://ciderguide.com/glintcap/medalists/peninsula-cellars/"">Peninsula Cellars</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/peninsula-cellars/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Loch Mór Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",2,1,1,0,4,https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Bridgehouse Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bridgehouse-cider/"">Bridgehouse Cider</a>",1,1,2,0,4,https://ciderguide.com/glintcap/medalists/bridgehouse-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Duluth Cider,"<a href=""https://ciderguide.com/glintcap/medalists/duluth-cider/"">Duluth Cider</a>",1,1,0,2,4,https://ciderguide.com/glintcap/medalists/duluth-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Bent Ladder,"<a href=""https://ciderguide.com/glintcap/medalists/bent-ladder/"">Bent Ladder</a>",1,0,2,1,4,https://ciderguide.com/glintcap/medalists/bent-ladder/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Deep Roots Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/deep-roots-hard-cider/"">Deep Roots Hard Cider</a>",1,0,2,1,4,https://ciderguide.com/glintcap/medalists/deep-roots-hard-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Peat's Original Cider,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",1,0,2,1,4,https://ciderguide.com/glintcap/medalists/peats-original-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Eden Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",1,0,1,2,4,https://ciderguide.com/glintcap/medalists/eden-ciders/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Snowdrift Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/"">Snowdrift Cider Co.</a>",1,0,1,2,4,https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Sidra Mayador,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",1,0,0,3,4,https://ciderguide.com/glintcap/medalists/sidra-mayador/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Albemarle CiderWorks,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",0,2,2,0,4,https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Big Fish Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",0,2,1,1,4,https://ciderguide.com/glintcap/medalists/big-fish-cider-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Fenn Valley Vineyards,"<a href=""https://ciderguide.com/glintcap/medalists/fenn-valley-vineyards/"">Fenn Valley Vineyards</a>",0,2,1,1,4,https://ciderguide.com/glintcap/medalists/fenn-valley-vineyards/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Meriwether Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",0,1,3,0,4,https://ciderguide.com/glintcap/medalists/meriwether-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Seminary Hill Orchard & Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/"">Seminary Hill Orchard & Cidery</a>",0,1,2,1,4,https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Yonder Cider,"<a href=""https://ciderguide.com/glintcap/medalists/yonder-cider/"">Yonder Cider</a>",0,1,2,1,4,https://ciderguide.com/glintcap/medalists/yonder-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Black Diamond Cider,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",0,1,1,2,4,https://ciderguide.com/glintcap/medalists/black-diamond-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Ciders from Mars,"<a href=""https://ciderguide.com/glintcap/medalists/ciders-from-mars/"">Ciders from Mars</a>",0,1,1,2,4,https://ciderguide.com/glintcap/medalists/ciders-from-mars/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Heeman's,"<a href=""https://ciderguide.com/glintcap/medalists/heemans/"">Heeman's</a>",0,1,1,2,4,https://ciderguide.com/glintcap/medalists/heemans/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Finnriver Farm and Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Idol Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/idol-cider-house/"">Idol Cider House</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/idol-cider-house/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Townline Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/townline-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Urban Forage Winery & Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/urban-forage-winery-cider-house/"">Urban Forage Winery & Cider House</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/urban-forage-winery-cider-house/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",B. Nektar,"<a href=""https://ciderguide.com/glintcap/medalists/b-nektar/"">B. Nektar</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/b-nektar/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Island Folk Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/island-folk-cider-house/"">Island Folk Cider House</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/island-folk-cider-house/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",KW Craft Cider,"<a href=""https://ciderguide.com/glintcap/medalists/kw-craft-cider/"">KW Craft Cider</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/kw-craft-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Posterity Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/posterity-ciderworks/"">Posterity Ciderworks</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/posterity-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Urban Tree Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/urban-tree-hard-cider/"">Urban Tree Hard Cider</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/urban-tree-hard-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Wild State Cider,"<a href=""https://ciderguide.com/glintcap/medalists/wild-state-cider/"">Wild State Cider</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/wild-state-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Apple Valley Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/"">Apple Valley Cider Company</a>",0,0,2,2,4,https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Blackgrass Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/blackgrass-ciderworks/"">Blackgrass Ciderworks</a>",0,0,2,2,4,https://ciderguide.com/glintcap/medalists/blackgrass-ciderworks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Fenceline Cider,"<a href=""https://ciderguide.com/glintcap/medalists/fenceline-cider/"">Fenceline Cider</a>",0,0,2,2,4,https://ciderguide.com/glintcap/medalists/fenceline-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Lost Boy Cider,"<a href=""https://ciderguide.com/glintcap/medalists/lost-boy-cider/"">Lost Boy Cider</a>",0,0,2,2,4,https://ciderguide.com/glintcap/medalists/lost-boy-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Treasury Cider at Fishkill Farms,"<a href=""https://ciderguide.com/glintcap/medalists/treasury-cider-at-fishkill-farms/"">Treasury Cider at Fishkill Farms</a>",0,0,2,2,4,https://ciderguide.com/glintcap/medalists/treasury-cider-at-fishkill-farms/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Junction Orchard & Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/junction-orchard-cidery/"">Junction Orchard & Cidery</a>",0,0,1,3,4,https://ciderguide.com/glintcap/medalists/junction-orchard-cidery/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Resurgence Brewing Co.,"<a href=""https://ciderguide.com/glintcap/medalists/resurgence-brewing-co/"">Resurgence Brewing Co.</a>",0,0,1,3,4,https://ciderguide.com/glintcap/medalists/resurgence-brewing-co/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Williamson Mead and Brewing,"<a href=""https://ciderguide.com/glintcap/medalists/williamson-mead-and-brewing/"">Williamson Mead and Brewing</a>",0,0,1,3,4,https://ciderguide.com/glintcap/medalists/williamson-mead-and-brewing/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Willow Oaks,"<a href=""https://ciderguide.com/glintcap/medalists/willow-oaks/"">Willow Oaks</a>",0,0,1,3,4,https://ciderguide.com/glintcap/medalists/willow-oaks/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Brickworks Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/brickworks-ciderhouse/"">Brickworks Ciderhouse</a>",1,1,1,0,3,https://ciderguide.com/glintcap/medalists/brickworks-ciderhouse/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",West Avenue Cider,"<a href=""https://ciderguide.com/glintcap/medalists/west-avenue-cider/"">West Avenue Cider</a>",1,0,2,0,3,https://ciderguide.com/glintcap/medalists/west-avenue-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Fraser Valley Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/fraser-valley-cider-company/"">Fraser Valley Cider Company</a>",1,0,1,1,3,https://ciderguide.com/glintcap/medalists/fraser-valley-cider-company/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Noble Cider,"<a href=""https://ciderguide.com/glintcap/medalists/noble-cider/"">Noble Cider</a>",1,0,1,1,3,https://ciderguide.com/glintcap/medalists/noble-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Wooden Gate Cider,"<a href=""https://ciderguide.com/glintcap/medalists/wooden-gate-cider/"">Wooden Gate Cider</a>",1,0,1,1,3,https://ciderguide.com/glintcap/medalists/wooden-gate-cider/
2022,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",Cornish Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/cornish-cider-company/"">Cornish Cider Company</a>",1,0,0,2,3,https://ciderguide.com/glintcap/medalists/cornish-cider-company/
