Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude,Shortcode
Tulip Valley Vineyard & Orchard,1,4,5,4,14,2005,2023,10,https://ciderguide.com/tulip-valley-vineyard-orchard/,http://www.tulipvalley.net/,,,https://maps.google.com/?cid=5991272797234687283,Washington,United States,Active,48.443719,-122.396515,tulip-valley-vineyard-orchard
Door Peninsula Winery,1,3,5,5,14,2018,2023,4,https://ciderguide.com/door-peninsula-winery/,https://www.dcwine.com/,https://www.facebook.com/DoorPeninsulaWinery,https://www.instagram.com/doorpeninsulawinery/,https://maps.google.com/?cid=16489357803980221372,Wisconsin,United States,Active,44.951804,-87.336352,door-peninsula-winery
Stoic Cider,1,2,8,3,14,2018,2023,4,https://ciderguide.com/stoic-cider/,http://stoiccider.com/,https://www.facebook.com/StoicCider/,https://www.instagram.com/stoiccider/,https://maps.google.com/?cid=17055851363950061801,Arizona,United States,Active,34.748157,-112.670676,stoic-cider
Nashi Orchards,1,2,6,5,14,2016,2022,4,https://ciderguide.com/nashi-orchards/,http://www.nashiorchards.com/,https://www.facebook.com/nashiorchards,https://www.instagram.com/nashi_orchards/,https://maps.google.com/?cid=12360902013052761069,Washington,United States,Active,47.375697,-122.504058,nashi-orchards
The Cider Farm,1,1,8,4,14,2014,2023,3,https://ciderguide.com/the-cider-farm/,http://www.theciderfarm.com/,https://www.facebook.com/theciderfarm,https://www.instagram.com/the_cider_farm,https://maps.google.com/?cid=4628939322097981132,Wisconsin,United States,Active,42.859997,-90.179847,the-cider-farm
Chain Yard Urban Cidery,0,2,9,3,14,2019,2022,2,https://ciderguide.com/chain-yard-urban-cidery/,http://chainyardcider.com/,,https://www.instagram.com/chainyardcider/,https://maps.google.com/?cid=4454532663694829560,Nova Scotia,Canada,Active,44.655537,-63.593991,chain-yard-urban-cidery
Offset Ciderworks,0,1,9,4,14,2021,2023,2,https://ciderguide.com/offset-ciderworks/,https://shopoffsetciderworks.com/,https://www.facebook.com/offsetciderworks/,https://www.instagram.com/offsetciderworks/,,Washington,United States,Active,47.8028091,-122.3228434,offset-ciderworks
Aspall,0,1,7,6,14,2009,2012,3,https://ciderguide.com/aspall/,http://www.aspall.co.uk/,https://www.facebook.com/AspallUK/,https://www.instagram.com/aspalluk/,https://maps.google.com/?cid=12281573289882642327,Suffolk,United Kingdom,Active,52.2435749,1.1787641,aspall
Sietsema Orchards,0,1,5,8,14,2013,2018,6,https://ciderguide.com/sietsema-orchards/,,,,,Michigan,United States,Inactive,43.000772,-85.459472,sietsema-orchards
45 North Vineyard & Winery,0,0,8,6,14,2016,2019,4,https://ciderguide.com/45-north-vineyard-winery/,https://fortyfivenorth.com/,https://www.facebook.com/fortyfivenorth,https://www.instagram.com/45northwinery/,https://maps.google.com/?cid=11817740184078021050,Michigan,United States,Active,45.002103,-85.681943,45-north-vineyard-winery
Cider Riot!,0,0,5,9,14,2015,2019,4,https://ciderguide.com/cider-riot/,,,,,Oregon,United States,Inactive,45.523854,-122.657297,cider-riot
Le Père Jules,3,2,7,1,13,2014,2017,3,https://ciderguide.com/le-pere-jules/,http://www.calvados-leperejules.com/,https://www.facebook.com/calvadosleperejules/,,https://maps.google.com/?cid=13505988202545080748,Calvados,France,Active,49.157696,0.1960087,le-pere-jules
Annapolis Cider Company,2,2,6,3,13,2017,2023,2,https://ciderguide.com/annapolis-cider-company/,http://drinkannapolis.ca/,,,https://maps.google.com/?cid=7381602210087700913,Nova Scotia,Canada,Active,45.09178,-64.360279,annapolis-cider-company
Celtic Marches,2,1,5,5,13,2018,2021,3,https://ciderguide.com/celtic-marches/,http://www.celticmarches.com/,https://www.facebook.com/celticmarchesbeverages/,https://www.instagram.com/celticmarches/,https://maps.google.com/?cid=14163451376835523124,Worcestershire,United Kingdom,Active,52.1392063,-2.4991058,celtic-marches
Bulwark Cider,2,0,3,8,13,2016,2018,3,https://ciderguide.com/bulwark-cider/,https://bulwarkcider.com/,,,https://maps.google.com/?cid=9582388698593505547,Nova Scotia,Canada,Active,44.822603,-64.506287,bulwark-cider
Heeman's,1,2,8,2,13,2021,2023,3,https://ciderguide.com/heemans/,https://heeman.ca/,https://www.facebook.com/heemangreenhouses,https://www.instagram.com/heemans/,https://maps.google.com/?cid=6514751524906368604,Ontario,Canada,Active,43.0407802,-81.1242136,heemans
Atlanta Hard Cider Co.,1,1,11,0,13,2019,2023,4,https://ciderguide.com/atlanta-hard-cider-co/,https://www.atlantahardcider.com/,https://www.facebook.com/atlantahardcider/,https://www.instagram.com/atlantahardcider/,https://www.google.com/maps?cid=15330589380276964489,Georgia,United States,Active,33.9507273,-84.52255,atlanta-hard-cider-co
County Cider Company,1,0,8,4,13,2011,2017,4,https://ciderguide.com/county-cider-company/,http://www.countycider.com/,,,https://maps.google.com/?cid=64fedff712d6895c,Ontario,Canada,Active,44.020608,-76.962788,county-cider-company
Tideview Cider,1,0,7,5,13,2009,2014,4,https://ciderguide.com/tideview-cider/,,,,,Nova Scotia,Canada,Inactive,45.08312,-64.402318,tideview-cider
Pencil Hound Ciders,0,2,7,4,13,2021,2022,2,https://ciderguide.com/pencil-hound-ciders/,,,,,Colorado,United States,Inactive,37.4762645,-108.4837614,pencil-hound-ciders
Niagara Cider Company,0,1,10,2,13,2019,2022,3,https://ciderguide.com/niagara-cider-company/,https://niagaracidercompany.com/,https://www.facebook.com/niagaracider/,https://www.instagram.com/niagaracider/,https://maps.google.com/?cid=203880754587664730,Ontario,Canada,Active,43.0550484,-79.1308663,niagara-cider-company
Wild State Cider,0,0,9,4,13,2021,2023,3,https://ciderguide.com/wild-state-cider/,https://www.wildstatecider.com/,https://www.facebook.com/wildstatecider,https://www.instagram.com/wildstatecider,https://maps.google.com/?cid=9071493292280533216,Minnesota,United States,Active,46.762891,-92.130134,wild-state-cider
Big Hill Ciderworks,0,0,6,7,13,2014,2019,5,https://ciderguide.com/big-hill-ciderworks/,http://bighillcider.com/,https://www.facebook.com/BigHillCider/,https://www.instagram.com/bighillciderworks,https://maps.google.com/?cid=11839293456795799865,Pennsylvania,United States,Active,40.014792,-77.235714,big-hill-ciderworks
Ferme de la Sapinière,0,0,5,8,13,2014,2018,5,https://ciderguide.com/ferme-de-la-sapiniere/,https://www.producteur-cidre.com/,,,https://maps.google.com/?cid=13033032790677741913,Calvados,France,Active,49.3561555,-0.8754963,ferme-de-la-sapiniere
Treasury Cider at Fishkill Farms,0,0,4,9,13,2018,2022,4,https://ciderguide.com/treasury-cider-at-fishkill-farms/,http://www.treasurycider.com/,,https://www.instagram.com/fishkillfarms/,https://maps.google.com/?cid=14255088451627296241,New York,United States,Active,41.517826,-73.823327,treasury-cider-at-fishkill-farms
Puddicombe Estate Farm,0,0,3,10,13,2012,2019,5,https://ciderguide.com/puddicombe-estate-farm/,http://www.puddicombefarms.com/,https://www.facebook.com/puddicombefarms,https://www.instagram.com/puddicombeestate/,https://maps.google.com/?cid=9812398427753964589,Ontario,Canada,Active,43.2048937,-79.6336935,puddicombe-estate-farm
Patriots' Heritage Cider,0,0,2,11,13,2017,2021,4,https://ciderguide.com/patriots-heritage-cider/,http://www.phcider.com/,,https://www.instagram.com/patriotsheritagecider/,https://maps.google.com/?cid=9501972355619759078,New York,United States,Active,42.8848347,-73.5781383,patriots-heritage-cider
Dunkertons Cider and Perry,4,0,3,5,12,2017,2021,4,https://ciderguide.com/dunkertons-cider-and-perry/,https://www.dunkertonscider.co.uk/,https://www.facebook.com/dunkertonsorganiccider/,https://www.instagram.com/dunkertonscider/,https://maps.google.com/?cid=4719921113153419800,Herefordshire,United Kingdom,Active,51.8771374,-2.0279869,dunkertons-cider-and-perry
Sidewood Estate,3,1,5,3,12,2018,2023,4,https://ciderguide.com/sidewood-estate/,https://sidewood.com.au/,https://www.facebook.com/SidewoodEstate/,https://www.instagram.com/sidewoodestate/,https://maps.google.com/?cid=16006910239256404559,South Australia,Australia,Active,-35.0207278,138.7945874,sidewood-estate
Maiden Rock Winery & Cidery,2,1,6,3,12,2011,2023,8,https://ciderguide.com/maiden-rock-winery-cidery/,http://www.maidenrockwinerycidery.com/,https://www.facebook.com/WineryCidery/,,https://maps.google.com/?cid=3321455700224536041,Wisconsin,United States,Active,44.515238,-92.268117,maiden-rock-winery-cidery
Red Rover Craft Cider,2,1,1,8,12,2016,2019,4,https://ciderguide.com/red-rover-craft-cider/,http://www.redroverbrew.com/,,https://www.instagram.com/redroverbrew/,https://maps.google.com/?cid=629976877139615301,New Brunswick,Canada,Active,45.961532,-66.640062,red-rover-craft-cider
Michigan Wine Company,1,2,7,2,12,2019,2023,4,https://ciderguide.com/michigan-wine-company/,https://www.michiganwineco.com/,https://www.facebook.com/michiganwinecompany,https://www.instagram.com/michiganwineco/,https://maps.google.com/?cid=8962454315572292380,Michigan,United States,Active,42.5945628,-86.2096112,michigan-wine-company
Ragged and Right Cider Project,1,1,7,3,12,2021,2022,2,https://ciderguide.com/ragged-and-right-cider-project/,http://www.farmstrongbrewing.com/,https://www.facebook.com/raggedandrightciderproject/,https://www.instagram.com/raggedandrightciderproject/,https://maps.google.com/?cid=9734737069805633605,Washington,United States,Active,48.442772,-122.342298,ragged-and-right-cider-project
Square Mile Cider,1,0,5,6,12,2015,2019,5,https://ciderguide.com/square-mile-cider/,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,Oregon,United States,Active,45.541124,-122.676595,square-mile-cider
Avid Cider,1,0,4,7,12,2014,2023,3,https://ciderguide.com/avid-cider/,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,Oregon,United States,Active,44.0509307,-121.3144074,avid-cider
Collective Arts Brewing,0,1,7,4,12,2017,2021,4,https://ciderguide.com/collective-arts-brewing/,http://collectiveartsbrewing.com/,,,https://maps.google.com/?cid=9920654321167470617,Ontario,Canada,Active,43.27079,-79.852716,collective-arts-brewing
Ridge Cider Co.,0,0,6,6,12,2016,2019,4,https://ciderguide.com/ridge-cider-co/,,,,,Michigan,United States,Inactive,43.308463,-85.809504,ridge-cider-co
Common Cider Company,0,0,5,7,12,2015,2018,3,https://ciderguide.com/common-cider-company/,,,,,California,United States,Inactive,38.950812,-121.084227,common-cider-company
Space Time Mead & Cider Works,0,0,4,8,12,2019,2023,4,https://ciderguide.com/space-time-mead-cider-works/,http://www.spacetimemeadworks.com/,https://www.facebook.com/SpaceTimeMeadCiderWorks/,https://www.instagram.com/spacetimemeads/,https://maps.google.com/?cid=357847721777965657,Pennsylvania,United States,Active,41.4172242,-75.6350154,space-time-mead-cider-works
Bryant's Cider,0,0,4,8,12,2019,2022,3,https://ciderguide.com/bryants-cider/,https://bryantscider.com/,https://www.facebook.com/BryantsCiderFarm/,https://www.instagram.com/thebryantsfarm/,https://maps.google.com/?cid=15598469607243113479,Virginia,United States,Active,37.797413,-78.939801,bryants-cider
Methow Valley Ciderhouse,1,1,4,5,11,2013,2018,5,https://ciderguide.com/methow-valley-ciderhouse/,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,,https://maps.google.com/?cid=17865926054259925025,Washington,United States,Active,48.477133,-120.186948,methow-valley-ciderhouse
Toboggan Brewing Co.,1,0,7,3,11,2016,2023,3,https://ciderguide.com/toboggan-brewing-co/,http://www.tobogganbrewing.com/,,,https://goo.gl/maps/ANvqQbR6UHL2,Ontario,Canada,Active,42.989853,-81.251191,toboggan-brewing-co
Bent Ladder,1,0,6,4,11,2019,2023,3,https://ciderguide.com/bent-ladder/,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,https://maps.google.com/?cid=5886580381731979881,Ohio,United States,Active,40.9646071,-81.739989,bent-ladder
Northern Natural Cider House & Winery,0,2,3,6,11,2013,2017,5,https://ciderguide.com/northern-natural-cider-house-winery/,http://www.northernnaturalwinery.com/,https://www.facebook.com/northernnaturalwinery,https://www.instagram.com/northernnaturalciderhouse/,https://maps.google.com/?cid=17749341957373928380,Michigan,United States,Active,44.3464985,-86.1020865,northern-natural-cider-house-winery
Descendant Cider Company,0,1,7,3,11,2015,2018,4,https://ciderguide.com/descendant-cider-company/,,,,,New York,United States,Inactive,40.714463,-73.914203,descendant-cider-company
Wise Bird Cider,0,1,7,3,11,2021,2023,3,https://ciderguide.com/wise-bird-cider/,https://www.wisebirdcider.com/,https://www.facebook.com/wisebirdciderco,https://www.instagram.com/wisebirdcider/,https://maps.google.com/?cid=15445502611486474709,Kentucky,United States,Active,38.055559,-84.517713,wise-bird-cider
Uncommon Cider Co.,0,1,6,4,11,2017,2021,3,https://ciderguide.com/uncommon-cider-co/,https://uncommoncider.com/,https://www.facebook.com/uncommoncider,https://www.instagram.com/uncommoncider,https://www.google.com/maps?cid=10085150109099679201,Alberta,Canada,Active,51.0187544,-114.0596605,uncommon-cider-co
Etta Place Cider,0,1,5,5,11,2021,2023,3,https://ciderguide.com/etta-place-cider/,https://www.ettaplacecider.com/,https://www.facebook.com/ettaplacecider,https://www.instagram.com/ettaplacecider/,https://www.google.com/maps?cid=17644395314626791133,Utah,United States,Active,38.299562,-111.4351606,etta-place-cider
Lassen Traditional Cider,0,1,3,7,11,2017,2023,6,https://ciderguide.com/lassen-traditional-cider/,https://www.lassencider.com/,https://www.facebook.com/lassencider/,https://www.instagram.com/lassencider/,https://maps.google.com/?cid=10315637006146688710,California,United States,Active,39.714697,-121.820272,lassen-traditional-cider
ShipBuilders Cider,0,0,6,5,11,2015,2019,4,https://ciderguide.com/shipbuilders-cider/,http://www.shipbuilderscider.ca/,,,https://goo.gl/maps/jw6eGr87eeR2,Nova Scotia,Canada,Active,44.649288,-63.574042,shipbuilders-cider
Spring Hill Cider Works,0,0,4,7,11,2017,2023,6,https://ciderguide.com/spring-hill-cider-works/,http://www.thewineryatspringhill.com/,https://www.facebook.com/TheWineryatSpringHill/,https://www.instagram.com/wineryspringhill/,https://maps.google.com/?cid=3444189531624313783,Ohio,United States,Active,41.781744,-80.97225,spring-hill-cider-works
Runcible Cider,0,0,4,7,11,2017,2023,4,https://ciderguide.com/runcible-cider/,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,Oregon,United States,Active,45.673003,-121.408294,runcible-cider
Tractor Brewing Company,0,0,4,7,11,2017,2019,3,https://ciderguide.com/tractor-brewing-company/,https://getplowed.com/,https://www.facebook.com/TractorBrewingCompany,https://www.instagram.com/tractorbrewing/,https://maps.google.com/?cid=3753383082862892137,New Mexico,United States,Active,35.102281,-106.647915,tractor-brewing-company
Coffin Ridge Boutique Winery,2,0,7,1,10,2017,2019,2,https://ciderguide.com/coffin-ridge-boutique-winery/,https://www.coffinridge.ca/,https://www.facebook.com/CoffinRidgeWinery,https://www.instagram.com/coffinridge/,https://maps.google.com/?cid=12219814321638852363,Ontario,Canada,Active,44.663372,-80.77569,coffin-ridge-boutique-winery
Once Upon A Tree,1,1,5,3,10,2019,2021,2,https://ciderguide.com/once-upon-a-tree/,http://www.onceuponatree.co.uk/,https://www.facebook.com/pages/Once-Upon-A-Tree/10150098694340377,https://www.instagram.com/onceuponatree/,https://maps.google.com/?cid=11149272018130031953,Herefordshire,United Kingdom,Active,52.039172,-2.5093398,once-upon-a-tree
Duluth Cider,1,1,3,5,10,2021,2023,3,https://ciderguide.com/duluth-cider/,https://duluthcider.com/,https://www.facebook.com/duluth.cider/,https://www.instagram.com/duluthcider/,https://maps.google.com/?cid=3814310496447641516,Minnesota,United States,Active,46.764947,-92.127394,duluth-cider
Sidra Riestra,1,0,8,1,10,2013,2019,6,https://ciderguide.com/sidra-riestra/,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,Asturias,Spain,Active,43.416536,-5.580949,sidra-riestra
Sidra Viuda de Angelón,0,2,5,3,10,2013,2017,4,https://ciderguide.com/sidra-viuda-de-angelon/,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,Asturias,Spain,Active,43.367684,-5.523426,sidra-viuda-de-angelon
Coteau Rougemont,0,2,4,4,10,2016,2017,2,https://ciderguide.com/coteau-rougemont/,https://www.coteaurougemont.ca/,https://www.facebook.com/profile.php?id=100064415272872,https://www.instagram.com/coteaurougemont/,https://www.google.com/maps?cid=8074777431752004247,Quebec,Canada,Active,45.4513635,-73.0422493,coteau-rougemont
Rhinegeist Brewery,0,1,6,3,10,2017,2022,3,https://ciderguide.com/rhinegeist-brewery/,http://www.rhinegeist.com/,https://www.facebook.com/rhinegeist,https://www.instagram.com/rhinegeist/,https://maps.google.com/?cid=4624817204033581156,Ohio,United States,Active,39.117266,-84.520101,rhinegeist-brewery
Ricker Hill,0,1,6,3,10,2016,2018,3,https://ciderguide.com/ricker-hill/,http://www.rickershardcider.com/,,,https://maps.google.com/?cid=18164962847201727107,Maine,United States,Active,44.26588,-70.280404,ricker-hill
Cascade Winery & Sierra Rose Ciders,0,1,5,4,10,2005,2023,6,https://ciderguide.com/cascade-winery-sierra-rose-ciders/,http://www.sierrarosewinery.com/,https://www.facebook.com/sierrarosewinery,,https://maps.google.com/?cid=15952962754429138350,Michigan,United States,Active,42.878915,-85.562785,cascade-winery-sierra-rose-ciders
Alpenfire Cider,0,1,4,5,10,2011,2017,5,https://ciderguide.com/alpenfire-cider/,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,Washington,United States,Active,48.082401,-122.87609,alpenfire-cider
White Winter Winery,0,1,3,6,10,2005,2023,6,https://ciderguide.com/white-winter-winery/,https://whitewinter.com/,https://www.facebook.com/WhiteWinterWinery/,,https://maps.google.com/?cid=13642608818447326025,Wisconsin,United States,Active,46.565581,-91.418129,white-winter-winery
Buskey Cider,0,1,3,6,10,2017,2023,4,https://ciderguide.com/buskey-cider/,http://www.buskeycider.com/,,https://www.instagram.com/buskeycider/,https://maps.google.com/?cid=13409179490228723913,Virginia,United States,Active,37.566063,-77.46914,buskey-cider
Humboldt Cider Company,0,1,3,6,10,2015,2017,3,https://ciderguide.com/humboldt-cider-company/,,https://www.facebook.com/HumboldtCider/,https://www.instagram.com/humboldtcidercompany/,https://www.google.com/maps?cid=9833726366522566502,California,United States,Active,40.7817209,-124.1298735,humboldt-cider-company
GoodRoad Ciderworks,0,1,3,6,10,2017,2018,2,https://ciderguide.com/goodroad-ciderworks/,,,,,North Carolina,United States,Inactive,35.184917,-80.879441,goodroad-ciderworks
Blue Bee Cider,0,0,6,4,10,2014,2022,3,https://ciderguide.com/blue-bee-cider/,http://www.bluebeecider.com/,https://www.facebook.com/BlueBeeCider,https://www.instagram.com/bluebeecider/,https://maps.google.com/?cid=17761175602688407320,Virginia,United States,Active,37.5665383,-77.4722241,blue-bee-cider
Brix Cider,0,0,6,4,10,2017,2019,3,https://ciderguide.com/brix-cider/,https://brixcider.com/,https://www.facebook.com/brixcider/,https://www.instagram.com/brixcider/,https://maps.google.com/?cid=784869786614677207,Wisconsin,United States,Active,43.007126,-89.737751,brix-cider
Texas Keeper Cider,0,0,5,5,10,2015,2016,2,https://ciderguide.com/texas-keeper-cider/,http://www.texaskeeper.com/,https://www.facebook.com/txkeepercider,https://www.instagram.com/txkeepercider/,https://maps.google.com/?cid=4878585715150481608,Texas,United States,Active,30.125459,-97.818789,texas-keeper-cider
Shoal Hope Ciderworks,0,0,4,6,10,2018,2021,3,https://ciderguide.com/shoal-hope-ciderworks/,,,,,Massachusetts,United States,Inactive,42.057719,-70.188488,shoal-hope-ciderworks
Flat Rock Cider Company,0,0,2,8,10,2021,2023,3,https://ciderguide.com/flat-rock-cider-company/,https://www.flatrockcidercompany.com/,https://www.facebook.com/flatrockcidercompany,https://www.instagram.com/flatrockcidercompany/,https://maps.google.com/?cid=7852215967216509042,North Carolina,United States,Active,35.315966,-82.460411,flat-rock-cider-company
Cidrerie Entre Pierre & Terre,1,0,7,1,9,2013,2016,4,https://ciderguide.com/cidrerie-entre-pierre-terre/,http://vindefruit.ca/,,,https://maps.google.com/?cid=16856277496706974032,Quebec,Canada,Active,45.027494,-73.937,cidrerie-entre-pierre-terre
Potter's Craft Cider,0,2,6,1,9,2019,2021,2,https://ciderguide.com/potters-craft-cider/,https://potterscraftcider.com/,https://www.facebook.com/potterscraftcider,https://www.instagram.com/potterscraftcider/,https://maps.google.com/?cid=5866852060832925678,Virginia,United States,Active,37.9986534,-78.5798492,potters-craft-cider
Treehorn Cider,0,2,6,1,9,2018,2019,2,https://ciderguide.com/treehorn-cider/,http://www.treehorncider.com/,https://www.facebook.com/TreehornCider/,https://www.instagram.com/treehorncider/,https://maps.google.com/?cid=14919543020537044132,Georgia,United States,Active,33.942771,-84.514319,treehorn-cider
Fieldstone Hard Cider Co.,0,2,5,2,9,2017,2019,3,https://ciderguide.com/fieldstone-hard-cider-co/,,,,,Michigan,United States,Inactive,42.678876,-83.134079,fieldstone-hard-cider-co
Seminary Hill Orchard & Cidery,0,1,6,2,9,2022,2023,2,https://ciderguide.com/seminary-hill-orchard-cidery/,https://www.seminaryhill.co/,https://www.facebook.com/seminaryhillweddings,https://www.instagram.com/seminaryhillcider/,https://maps.google.com/?cid=2014295545037325417,New York,United States,Active,41.7743187,-75.0549915,seminary-hill-orchard-cidery
Le Flanc Nord Verger & Cidrerie,0,1,4,4,9,2015,2018,4,https://ciderguide.com/le-flanc-nord-verger-cidrerie/,http://www.vergerduflancnord.com/,,,https://goo.gl/maps/WA1Kjax1w7u,Quebec,Canada,Active,45.572002,-73.155988,le-flanc-nord-verger-cidrerie
Liquid Alchemy Beverages,0,1,4,4,9,2018,2023,3,https://ciderguide.com/liquid-alchemy-beverages/,https://www.liquidalchemybeverages.com/,https://www.facebook.com/LiquidAlchemyBeverages/,https://www.instagram.com/liquidalchemybeverages,https://maps.google.com/?cid=17392171192902258223,Delaware,United States,Active,39.729206,-75.580718,liquid-alchemy-beverages
Diskin Cider,0,1,4,4,9,2019,2021,2,https://ciderguide.com/diskin-cider/,http://www.diskincider.com/,,https://www.instagram.com/diskincider/,https://maps.google.com/?cid=5465208715637137113,Tennessee,United States,Active,36.140849,-86.769778,diskin-cider
Cider Brothers,0,1,3,5,9,2015,2017,3,https://ciderguide.com/cider-brothers/,,,,,California,United States,Inactive,37.900624,-122.061308,cider-brothers
Old Hill Cider,0,1,1,7,9,2014,2018,3,https://ciderguide.com/old-hill-cider/,https://www.showaltersorchard.com/,https://www.facebook.com/OldHillCider,https://www.instagram.com/oldhillcider/,https://maps.google.com/?cid=9342034920472670388,Virginia,United States,Active,38.667709,-78.797062,old-hill-cider
Minneapolis Cider Company,0,0,7,2,9,2016,2023,3,https://ciderguide.com/minneapolis-cider-company/,https://minneapoliscider.co/,https://www.facebook.com/MinneapolisCider/,https://www.instagram.com/minneapoliscider,https://maps.google.com/?cid=7331255600636952675,Minnesota,United States,Active,44.977753,-93.265011,minneapolis-cider-company
Brew Lab 101 Beer & Cider Co.,0,0,6,3,9,2022,2023,2,https://ciderguide.com/brew-lab-101-beer-cider-co/,https://brewlab101.com/,https://www.facebook.com/brewlab101/,https://www.instagram.com/brewlab101/,https://maps.google.com/?cid=11422620826361494418,New Mexico,United States,Active,35.2432541,-106.6693816,brew-lab-101-beer-cider-co
Peninsula Cellars,0,0,6,3,9,2021,2022,2,https://ciderguide.com/peninsula-cellars/,https://www.peninsulacellars.com/,https://www.facebook.com/PeninsulaCellars/,https://www.instagram.com/peninsulacellars/,https://maps.google.com/?cid=14729173182155147473,Michigan,United States,Active,44.854006,-85.527215,peninsula-cellars
Boss Cider Company,0,0,5,4,9,2022,2022,1,https://ciderguide.com/boss-cider-company/,https://www.bosscider.com/,https://www.facebook.com/BossCider,https://www.instagram.com/bosscider/,https://maps.google.com/?cid=1969051789610674635,Michigan,United States,Active,42.450331,-84.431688,boss-cider-company
Kaneb Orchards,0,0,4,5,9,2015,2018,4,https://ciderguide.com/kaneb-orchards/,http://www.kaneborchards.com/,https://www.facebook.com/kaneborchards,,https://maps.google.com/?cid=102588345374024107,New York,United States,Active,44.945459,-74.853156,kaneb-orchards
Ash & Elm Cider Company,0,0,4,5,9,2017,2019,3,https://ciderguide.com/ash-elm-cider-company/,http://www.ashandelmcider.com/,https://www.facebook.com/ashandelmcider/,https://www.instagram.com/ashandelmcider/,https://maps.google.com/?cid=9920873955827748956,Indiana,United States,Active,39.768019,-86.125256,ash-elm-cider-company
Sly Clyde Ciderworks,0,0,4,5,9,2019,2021,2,https://ciderguide.com/sly-clyde-ciderworks/,https://www.slyclyde.com,https://www.facebook.com/SlyClydeCiderworks/,https://www.instagram.com/slyclydeciderworks/,https://maps.google.com/?cid=17208921279176695082,Virginia,United States,Active,37.01651,-76.319663,sly-clyde-ciderworks
Sycamore Ranch Vineyard & Winery,0,0,3,6,9,2021,2021,1,https://ciderguide.com/sycamore-ranch-vineyard-winery/,https://www.sycamoreranch.com/,https://www.facebook.com/SycamoreRanchVineyard,https://www.instagram.com/sycamoreranch/,https://maps.google.com/?cid=4629670403061835718,California,United States,Active,34.2532057,-117.2588613,sycamore-ranch-vineyard-winery
Heartwood Farm & Cidery,0,0,1,8,9,2017,2019,3,https://ciderguide.com/heartwood-farm-cidery/,https://heartwoodfarm.ca/,https://www.facebook.com/heartwoodcidery,https://www.instagram.com/heartwoodcidery/,https://maps.google.com/?cid=16425423652702736489,Ontario,Canada,Active,43.7010152,-80.1395598,heartwood-farm-cidery
Sierra Cider,3,1,2,2,8,2017,2019,3,https://ciderguide.com/sierra-cider/,http://sierracider.com/,https://www.facebook.com/sierracider/,https://www.instagram.com/sierra_cider/,https://maps.google.com/?cid=4945510400217384916,California,United States,Active,37.495517,-119.819732,sierra-cider
Clear Fork Cider,1,1,1,5,8,2017,2021,2,https://ciderguide.com/clear-fork-cider/,https://www.clearforkcider.com/,https://www.facebook.com/ClearForkCider/,https://www.instagram.com/clearforkcider/,https://maps.google.com/?cid=11939982022714952389,Colorado,United States,Active,39.7867921,-105.1064867,clear-fork-cider
Alma Cider,1,0,6,1,8,2021,2023,2,https://ciderguide.com/alma-cider/,https://almacider.com/,https://www.facebook.com/almaciderco/,https://www.instagram.com/almaciderco/,,Washington,United States,Active,48.416119,-122.2940351,alma-cider
Banjo Cider,1,0,6,1,8,2021,2022,2,https://ciderguide.com/banjo-cider/,https://www.banjocider.ca/,https://www.facebook.com/banjocider/,https://www.instagram.com/banjocider/,https://maps.google.com/?cid=12258588481727977876,Ontario,Canada,Active,44.1484947,-79.1592864,banjo-cider
Spoke + Spy Ciderworks,1,0,5,2,8,2018,2023,4,https://ciderguide.com/spoke-spy-ciderworks/,http://spokeandspy.com/,https://www.facebook.com/SpokeandSpy/,https://www.instagram.com/spokeandspy/,https://maps.google.com/?cid=4011737661305086248,Connecticut,United States,Active,41.572063,-72.657709,spoke-spy-ciderworks
Lost Giants Cider Company,1,0,3,4,8,2019,2021,2,https://ciderguide.com/lost-giants-cider-company/,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,Washington,United States,Active,48.752457,-122.459354,lost-giants-cider-company
Bereziartua,0,2,4,2,8,2015,2021,5,https://ciderguide.com/bereziartua/,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://www.google.com/maps?cid=4287840169739792051,Gipuzkoa,Spain,Active,43.2829301,-1.9400682,bereziartua
