WID,Medalist,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,👍 Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
1060,Seminary Hill Orchard & Cidery,0,0,1,0,0,3,4,2023,2024,2,Callicoon,New York,USA,Active,https://www.seminaryhill.co/,https://www.facebook.com/seminaryhillweddings,https://www.instagram.com/seminaryhillcider/,https://maps.google.com/?cid=2014295545037325417,,,,41.7743187,-75.0549915
514,Reverend Nat's Hard Cider,0,0,0,0,0,4,4,2017,2017,1,Portland,Oregon,USA,Inactive,,,,,,,,45.5050424,-122.6278162
2140,Maison Hérout,1,1,0,1,0,0,3,2022,2023,2,Auvers,Normandy,France,Active,https://www.maisonherout.com/,https://www.facebook.com/cidres/,https://www.instagram.com/maisonherout/,https://maps.google.com/?cid=1426598113576371976,,,https://untappd.com/w/m-a-herout/164919,49.2940012,-1.303545
906,Herb's Cider,1,1,0,0,1,0,3,2019,2020,2,Bellingham,Washington,USA,Inactive,,,,,,,,48.7737787,-122.5240419
2208,Soundbite Hard Cider,1,0,2,0,0,0,3,2023,2024,2,Everett,Washington,USA,Active,https://www.soundbitecider.com/,https://www.facebook.com/soundbitecider/,https://www.instagram.com/soundbitecider/,https://maps.google.com/?cid=996231545939620653,https://www.yelp.com/biz/soundbite-cider-everett,https://www.tripadvisor.com/Attraction_Review-g58466-d25574200,https://untappd.com/SoundbiteCider,47.9114113,-122.2191859
124,Bent Ladder,1,0,1,1,0,0,3,2020,2023,2,Doylestown,Ohio,USA,Active,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,https://maps.google.com/?cid=5886580381731979881,https://www.yelp.com/biz/rittman-orchard-rittman,https://www.tripadvisor.com/Attraction_Review-g50283-d1977165,https://untappd.com/w/bent-ladder/295757,40.9646071,-81.739989
587,St. Vrain Cidery,1,0,0,0,0,2,3,2020,2020,1,Longmont,Colorado,USA,Active,http://www.stvraincidery.com/,https://www.facebook.com/stvraincidery/,https://www.instagram.com/stvraincidery/,https://maps.google.com/?cid=17224865106599925771,https://www.yelp.com/biz/st-vrain-cidery-longmont,https://www.tripadvisor.com/Attraction_Review-g33527-d12173022,https://untappd.com/w/st-vrain-cidery/316114,40.1651663,-105.104967
1618,Kystin,0,1,2,0,0,0,3,2018,2022,2,Vannes,Brittany,France,Active,https://www.kystin.net/,https://www.facebook.com/kystincider,,,,,https://untappd.com/brewery/90870,47.680689,-2.774008
704,Yankee Cider Company,0,1,0,2,0,0,3,2020,2020,1,East Haddam,Connecticut,USA,Active,https://www.yankeeciders.com/,https://www.facebook.com/profile.php?id=100049181935260,https://www.instagram.com/yankeeciderco/,https://maps.google.com/?cid=15772292386605807717,https://www.yelp.com/biz/staehly-farm-and-winery-east-haddam,https://www.tripadvisor.com/Attraction_Review-g33764-d8747571,https://untappd.com/w/yankee-cider-co/366657,41.453257,-72.432726
339,Houston Cider Company,0,1,0,1,0,1,3,2019,2022,2,Houston,Texas,USA,Active,https://www.houstoncidertx.com/,https://www.facebook.com/houstoncidercompany,https://www.instagram.com/houstoncider/,https://maps.google.com/?cid=9879541345239427997,https://www.yelp.com/biz/town-in-city-brewing-company-houston,https://www.tripadvisor.com/Attraction_Review-g56003-d9609375,https://untappd.com/w/houston-cider-company/300156,29.803677,-95.386979
414,Mercier Orchards,0,1,0,1,0,1,3,2017,2024,3,Blue Ridge,Georgia,USA,Active,http://www.mercier-orchards.com/,https://www.facebook.com/mercierorchards/,https://www.instagram.com/mercierorchards/,https://maps.google.com/?cid=2895983787358586044,https://www.yelp.com/biz/mercier-apple-orchard-blue-ridge,https://www.tripadvisor.com/Attraction_Review-g34778-d633496,https://untappd.com/w/mercier-orchards/42402,34.886419,-84.340836
169,Brownrigg Hard Cider,0,1,0,0,1,1,3,2018,2019,2,Seattle,Washington,USA,Inactive,,,,,,,,47.6272888,-122.3701934
915,Cider Corps,0,1,0,0,0,2,3,2020,2020,1,Mesa,Arizona,USA,Active,https://cidercorpsaz.com/,https://www.facebook.com/cidercorps/,https://www.instagram.com/cidercorps/,https://maps.google.com/?cid=9593182908980696987,https://www.yelp.com/biz/cider-corps-mesa-5,https://www.tripadvisor.com/Attraction_Review-g31281-d13003044,https://untappd.com/CiderCorps,33.4141147,-111.8364706
391,Locust Cider,0,1,0,0,0,2,3,2022,2024,3,Woodinville,Washington,USA,Active,http://www.locustcider.com/,https://www.facebook.com/locustcider,https://www.instagram.com/locustcider,https://maps.google.com/?cid=17533531076865420551,https://www.yelp.com/biz/locust-cider-woodinville,https://www.tripadvisor.com/Attraction_Review-g58835-d12688283,https://untappd.com/w/locust-cider/202473,47.766244,-122.148563
919,Madrone Cellars & Cider,0,0,2,1,0,0,3,2020,2023,2,Friday Harbor,Washington,USA,Active,https://madronecellars.com/,https://www.facebook.com/madronecellars,https://www.instagram.com/madronecellars_cider/,https://maps.google.com/?cid=4819408985436567114,https://www.yelp.com/biz/madrone-cellars-and-cider-friday-harbor,https://www.tripadvisor.com/Attraction_Review-g60957-d21166624,https://untappd.com/MadroneCider,48.5351226,-123.0164504
907,Channel Marker Cider,0,0,1,1,0,1,3,2020,2020,1,Seattle,Washington,USA,Active,http://www.channelmarkercider.com/,https://www.facebook.com/channelmarkercider,https://www.instagram.com/channelmarkercider/,https://maps.google.com/?cid=11770320813087999732,https://www.yelp.com/biz/channel-marker-cider-seattle,,https://untappd.com/ChannelMarkerCider,47.70381,-122.3492067
198,Cinder Block Brewery,0,0,1,0,0,2,3,2020,2024,2,North Kansas City,Missouri,USA,Active,http://cinderblockbrewery.com/,https://www.facebook.com/CinderBlockBrew,https://www.instagram.com/cinderblockbrew/,https://maps.google.com/?cid=4218455807249820375,https://www.yelp.com/biz/cinder-block-brewery-north-kansas-city,https://www.tripadvisor.com/Attraction_Review-g44733-d8434786,https://untappd.com/w/cinder-block-brewery/38127,39.140365,-94.578866
570,Snowdrift Cider Co.,0,0,0,1,1,1,3,2017,2017,1,East Wenatchee,Washington,USA,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,47.400586,-120.178628
130,Bishop Cider Company,0,0,0,1,0,2,3,2019,2019,1,Fort Worth,Texas,USA,Active,https://www.bishopcider.com/,https://www.facebook.com/BishopCider,https://www.instagram.com/bishopcider,,,,https://untappd.com/w/bishop-cider-company/144590,32.7433262,-97.3072551
199,Citizen Cider,0,0,0,0,1,2,3,2017,2019,2,Burlington,Vermont,USA,Active,https://www.citizencider.com/,https://www.facebook.com/citizencider,https://www.instagram.com/citizencider/,https://maps.google.com/?cid=705537445817027258,https://www.yelp.com/biz/citizen-cider-burlington,https://www.tripadvisor.com/Restaurant_Review-g57201-d6924616,https://untappd.com/w/citizen-cider/24209,44.470722,-73.214282
214,Conneaut Cellars Winery,0,0,0,0,1,2,3,2018,2018,1,Conneaut Lake,Pennsylvania,USA,Active,http://www.conneautcellarswinery.com/,https://www.facebook.com/ConneautCellars,,https://maps.google.com/?cid=14378941191336467046,https://www.yelp.com/biz/conneaut-cellars-winery-conneaut-lake-2,https://www.tripadvisor.com/Attraction_Review-g52410-d4454847,https://untappd.com/w/conneaut-cellars-winery/221262,41.60189,-80.297333
88,Anna's Cider,0,0,0,0,0,3,3,2022,2023,2,Santa Paula,California,USA,Active,https://annascider.com/,https://www.facebook.com/annascider,https://www.instagram.com/annascider/,https://maps.google.com/?cid=6245729611284225450,https://www.yelp.com/biz/anna-s-cider-santa-paula,,https://untappd.com/w/annas-cider/369723,34.352867,-119.063807
1055,Vala's Orchard Cider,0,0,0,0,0,3,3,2024,2024,1,Gretna,Nebraska,USA,Active,https://www.valasappleorchard.com/,https://www.facebook.com/ValasPumpkinPatch/,https://www.instagram.com/valaspumpkinpatch/,https://maps.google.com/?cid=15056510891597103165,https://www.yelp.com/biz/valas-pumpkin-patch-gretna,https://www.tripadvisor.com/Attraction_Review-g45597-d1932171,https://untappd.com/w/vala-s-pumpkin-patch/478866,41.1285802,-96.1989432
858,Vergers Petit et Fils,1,1,0,0,0,0,2,2020,2020,1,Mont-Saint-Hilaire,Quebec,Canada,Active,https://www.auxvergerspetit.com/,https://www.facebook.com/vergerspetit,https://www.instagram.com/vergerspetit/,https://maps.google.com/?cid=5431180529715913738,https://www.yelp.com/biz/les-vergers-petit-et-fils-mont-saint-hilaire,https://www.tripadvisor.com/Attraction_Review-g1593038-d4922048,https://untappd.com/w/les-vergers-petit-et-fils/82272,45.534505,-73.165682
1691,Calvados Pierre Huet,1,0,1,0,0,0,2,2018,2023,2,Cambremer,Normandy,France,Active,https://www.calvados-huet.com/,https://www.facebook.com/calvadosph/,https://www.instagram.com/calvadospierrehuet/,https://maps.google.com/?cid=11210783185501022788,,https://www.tripadvisor.com/Attraction_Review-g672825-d4991781,https://untappd.com/brewery/27537,49.1476519,0.0462976
70,6 Mile Cellars,1,0,0,0,0,1,2,2020,2020,1,Erie,Pennsylvania,USA,Active,http://6milecellars.com/,https://www.facebook.com/OldSnapperHardCider/,https://www.instagram.com/6milewines/,https://maps.google.com/?cid=15280001282992311542,https://www.yelp.com/biz/6-mile-cellars-erie,https://www.tripadvisor.com/Attraction_Review-g52607-d3579319,https://untappd.com/w/6-mile-cellars/138134,42.144063,-79.967932
1074,Papa Moon Vineyards & Winery,1,0,0,0,0,1,2,2024,2024,1,Scottsbluff,Nebraska,USA,Active,https://www.papamoonvineyards.com/,https://www.facebook.com/Papamoonwines,https://www.instagram.com/papamoonciders/,https://maps.google.com/?cid=16564507604611639866,https://www.yelp.com/biz/papa-moon-vineyards-and-winery-scottsbluff,,https://untappd.com/w/papa-moon-vineyards-winery-and-cider-house/472128,41.8877158,-103.6176699
971,Space Time Mead & Cider Works,1,0,0,0,0,1,2,2023,2024,2,Dunmore,Pennsylvania,USA,Active,http://www.spacetimemeadworks.com/,https://www.facebook.com/SpaceTimeMeadCiderWorks/,https://www.instagram.com/spacetimemeads/,https://maps.google.com/?cid=357847721777965657,,https://www.tripadvisor.com/Attraction_Review-g52530-d15757358,,41.4172242,-75.6350154
697,Wise Bird Cider,1,0,0,0,0,1,2,2020,2020,1,Lexington,Kentucky,USA,Active,https://www.wisebirdcider.com/,https://www.facebook.com/wisebirdciderco,https://www.instagram.com/wisebirdcider/,https://maps.google.com/?cid=15445502611486474709,https://www.yelp.com/biz/wise-bird-cider-lexington-2,https://www.tripadvisor.com/Attraction_Review-g39588-d17700703,https://untappd.com/WiseBirdCiderCo,38.055559,-84.517713
725,BC Tree Fruits Cider,0,1,1,0,0,0,2,2017,2018,2,Kelowna,British Columbia,Canada,Active,https://www.bctreefruitscider.com/,https://www.facebook.com/bctfcider,https://www.instagram.com/bctfcider/,https://maps.google.com/?cid=14720123387889629483,https://www.yelp.com/biz/bc-tree-fruits-market-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d8508463,https://untappd.com/w/bc-tree-fruits-cider-co/193881,49.895017,-119.484217
274,Fenceline Cider,0,1,1,0,0,0,2,2020,2023,2,Mancos,Colorado,USA,Active,https://www.fenceline.co/,https://www.facebook.com/fencelineciderCO/,https://www.instagram.com/fencelinecider/,https://maps.google.com/?cid=10459681325423767911,https://www.yelp.com/biz/fenceline-cider-mancos,https://www.tripadvisor.com/Attraction_Review-g33536-d14931668,https://untappd.com/w/fenceline-cider/396408,37.344471,-108.28887
648,Tulip Valley Vineyard & Orchard,0,1,1,0,0,0,2,2020,2020,1,Mt Vernon,Washington,USA,Active,http://www.tulipvalley.net/,,,https://maps.google.com/?cid=5991272797234687283,https://www.yelp.com/biz/tulip-valley-vineyard-and-orchard-mount-vernon-3,https://www.tripadvisor.com/Attraction_Review-g58622-d1153194,https://untappd.com/w/red-barn-cider/3919,48.443719,-122.396515
810,Merridale Ciderworks,0,1,0,1,0,0,2,2024,2024,1,Cobble Hill,British Columbia,Canada,Active,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,48.6644855,-123.5869335
547,Saro Cider,0,1,0,1,0,0,2,2019,2020,2,Lincoln,Nebraska,USA,Active,https://sarocider.com/,https://www.facebook.com/4SaroCider,https://www.instagram.com/sarocider/,https://maps.google.com/?cid=14239117714929818609,https://www.yelp.com/biz/saro-cider-lincoln,https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590,https://untappd.com/w/saro-cider/407311,40.812684,-96.695605
454,Number 12 Cider,0,1,0,0,0,1,2,2022,2022,1,Minneapolis,Minnesota,USA,Active,http://www.number12ciderhouse.com/,https://www.facebook.com/number12cider,https://www.instagram.com/number12cider/,https://maps.google.com/?cid=2535435254747381286,https://www.yelp.com/biz/number-twelve-cider-minneapolis,https://www.tripadvisor.com/Restaurant_Review-g43323-d19494391,https://untappd.com/w/number-12-cider-house/201114,44.9852933,-93.2796211
1873,Posterity Ciderworks,0,1,0,0,0,1,2,2022,2022,1,Mokelumne Hill,California,USA,Active,https://posterityciderworks.com/,https://www.facebook.com/posterityciderworks,https://www.instagram.com/posterityciderworks/,https://maps.google.com/?cid=12556482300952119386,https://www.yelp.com/biz/posterity-ciderworks-mokelumne-hill,,,38.2969506,-120.7076974
146,Blue Bee Cider,0,0,1,0,1,0,2,2018,2019,2,Richmond,Virginia,USA,Active,https://www.bluebeecider.com/,https://www.facebook.com/BlueBeeCider,https://www.instagram.com/bluebeecider/,https://maps.google.com/?cid=17761175602688407320,https://www.yelp.com/biz/blue-bee-cider-richmond,https://www.tripadvisor.com/Attraction_Review-g60893-d4749979,https://untappd.com/w/blue-bee-cider/62200,37.5916262,-77.4888875
603,Laughing Dog Brewing,0,0,1,0,1,0,2,2017,2017,1,Ponderay,Idaho,USA,Active,https://laughingdogbrewing.com/,https://www.facebook.com/LaughingDogBrewing,https://www.instagram.com/laughingdogbrewing/,https://maps.google.com/?cid=991815015646829154,https://www.yelp.com/biz/laughing-dog-brewing-ponderay,https://www.tripadvisor.com/Restaurant_Review-g35574-d2262125,https://untappd.com/w/summit-cider/168811,48.3044357,-116.5419158
688,WildCraft Cider Works,0,0,1,0,1,0,2,2018,2022,2,Eugene,Oregon,USA,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,44.055602,-123.097306
96,Argus Cidery,0,0,1,0,0,1,2,2018,2018,1,Austin,Texas,USA,Active,http://www.arguscidery.com/,https://www.facebook.com/arguscidery,https://www.instagram.com/arguscidery/,,,,https://untappd.com/w/argus-cidery/10075,30.1755719,-97.7833058
947,Beach Bee Meadery,0,0,1,0,0,1,2,2022,2023,2,Long Branch,New Jersey,USA,Active,https://www.beachbeemeadery.com/,https://www.facebook.com/beachbeemeadery/,https://www.instagram.com/beachbeemeadery/,https://maps.google.com/?cid=3925888969412189535,https://www.yelp.com/biz/beach-bee-meadery-long-branch,https://www.tripadvisor.com/Attraction_Review-g46582-d21226866,https://untappd.com/w/beach-bee-meadery/452564,40.3090937,-73.98298
535,Russell Orchards,0,0,1,0,0,1,2,2020,2022,2,Ipswich,Massachusetts,USA,Active,http://www.russellorchards.com/,https://www.facebook.com/russellorchards,,https://maps.google.com/?cid=11665460520789308482,https://www.yelp.com/biz/russell-orchards-ipswich,https://www.tripadvisor.com/Attraction_Review-g41626-d1099823,https://untappd.com/w/russell-orchards/19236,42.664953,-70.799866
632,Threadbare Cider,0,0,1,0,0,1,2,2020,2020,1,Pittsburgh,Pennsylvania,USA,Active,https://threadbarecider.com/,https://www.facebook.com/threadbarecider,https://www.instagram.com/threadbarecider/,https://maps.google.com/?cid=7094659481938293243,https://www.yelp.com/biz/threadbare-cider-house-pittsburgh,https://www.tripadvisor.com/Restaurant_Review-g53449-d13206373,https://untappd.com/w/threadbare-cider-house-meadery/365587,40.460471,-79.988895
807,Lonetree Cider,0,0,0,1,1,0,2,2017,2022,2,Vancouver,British Columbia,Canada,Active,https://www.lonetreecider.com/,https://www.facebook.com/lonetreecider,https://www.instagram.com/lonetreecider,,,,https://untappd.com/w/the-lonetree-cider-company/12800,49.282729,-123.120738
99,Artifact Cider Project,0,0,0,1,0,1,2,2023,2023,1,Florence,Massachusetts,USA,Active,http://www.artifactcider.com/,https://www.facebook.com/artifactcider/,https://www.instagram.com/artifactcider/,,,,https://untappd.com/w/artifact-cider-project/135898,42.3378061,-72.6732543
589,Brotherhood Winery,0,0,0,1,0,1,2,2019,2022,2,Washingtonville,New York,USA,Active,http://www.brotherhood-winery.com/,,,https://maps.google.com/?cid=14879175529322157336,https://www.yelp.com/biz/brotherhood-americas-oldest-winery-washingtonville,https://www.tripadvisor.com/Attraction_Review-g48806-d263783,https://untappd.com/w/standard-cider-company/82912,41.432508,-74.162906
1845,Cider Riot!,0,0,0,1,0,1,2,2017,2019,2,Portland,Oregon,USA,Inactive,,,,,,,,45.523854,-122.657297
348,Ironbark Ciderworks,0,0,0,1,0,1,2,2023,2023,1,Claremont,California,USA,Active,https://www.ironbarkciderworks.com/,https://www.facebook.com/ironbarkcider/,https://www.instagram.com/ironbarkcider/,https://maps.google.com/?cid=8906916779198297766,https://www.yelp.com/biz/ironbark-ciderworks-claremont,https://tripadvisor.com/Restaurant_Review-g32215-d21341445,https://untappd.com/w/ironbark-ciderworks/370732,34.10859,-117.701704
1672,Sidra Fanjul,0,0,0,1,0,1,2,2019,2020,2,Siero,Asturias,Spain,Active,https://www.sidrafanjul.com/,https://www.facebook.com/Sidra-Fanjul-216579291699190/,https://www.instagram.com/sidrafanjul/,https://maps.google.com/?cid=10647391104326148313,,,https://untappd.com/w/sidra-fanjul/57758,43.370866,-5.754482
929,SLO Cider,0,0,0,1,0,1,2,2020,2022,2,San Luis Obispo,California,USA,Active,https://slociderco.com/,https://www.facebook.com/slocider,https://www.instagram.com/slocider/,https://maps.google.com/?cid=4158762377659265691,https://www.yelp.com/biz/slo-cider-san-luis-obispo,https://www.tripadvisor.com/Restaurant_Review-g33026-d23965592,https://untappd.com/SLOCider,35.2600119,-120.6443921
2241,Snowbird Farm & Cidery,0,0,0,1,0,1,2,2024,2024,1,Montesano,Washington,USA,Active,https://www.snowbirdcidery.com/,https://www.facebook.com/Snowbirdfarmandcidery,https://www.instagram.com/snowbirdfarmandcidery/,https://maps.google.com/?cid=16481804079327445415,https://www.yelp.com/biz/snowbird-farm-and-cidery-montesano,,https://untappd.com/w/snowbird-farm-cidery/474774,46.9967692,-123.5085581
3346,Twin Sisters Brewing Company,0,0,0,1,0,1,2,2020,2022,2,Bellingham,Washington,USA,Active,https://www.twinsistersbrewing.com/,https://www.facebook.com/twinsistersbrewing/,https://www.instagram.com/twinsistersbrewingcompany/,https://maps.google.com/?cid=5725739708017976130,https://www.yelp.com/biz/twin-sisters-brewing-company-and-bellingham-beer-garden-bellingham,https://www.tripadvisor.com/Restaurant_Review-g58350-d15045978,https://untappd.com/TwinSistersBrewingCompany,48.7600777,-122.4689849
63,Virtue Cider,0,0,0,1,0,1,2,2018,2018,1,Fennville,Michigan,USA,Active,http://www.virtuecider.com/,https://www.facebook.com/virtuecider,https://www.instagram.com/virtuecider/,https://maps.google.com/?cid=8731167836057791034,https://www.yelp.com/biz/virtue-farm-fennville,https://www.tripadvisor.com/Attraction_Review-g42198-d7159911,https://untappd.com/w/virtue-cider/24608,42.57688,-86.15187
2325,Donovan Orchards Estate Ciders,0,0,0,0,1,1,2,2018,2024,2,Barker,New York,USA,Active,https://donovanorchards.com/,https://www.facebook.com/donovanorchards,,https://maps.google.com/?cid=13708330907237858097,,,https://untappd.com/BlackBirdCiderWorks,43.3638889,-78.5572222
242,Double Shovel Cider Company,0,0,0,0,1,1,2,2019,2019,1,Anchorage,Alaska,USA,Active,http://www.doubleshovelcider.co/,,https://www.instagram.com/doubleshovelciderco/,https://maps.google.com/?cid=610099555034655289,https://www.yelp.com/biz/double-shovel-cider-co-anchorage,,https://untappd.com/w/double-shovel-cider-company/272046,61.168415,-149.891628
111,Bad Granny Hard Cider,0,0,0,0,0,2,2,2020,2020,1,Chelan,Washington,USA,Inactive,,,,,,,,47.847324,-120.114556
192,Chatter Creek Winery,0,0,0,0,0,2,2,2018,2019,2,Woodinville,Washington,USA,Inactive,,,,,,,,47.762503,-122.149211
250,Duluth Cider,0,0,0,0,0,2,2,2020,2022,2,Duluth,Minnesota,USA,Active,https://duluthcider.com/,https://www.facebook.com/duluth.cider/,https://www.instagram.com/duluthcider/,https://maps.google.com/?cid=3814310496447641516,https://www.yelp.com/biz/duluth-cider-duluth,https://www.tripadvisor.com/Attraction_Review-g43018-d16674091,https://untappd.com/DuluthCider,46.764947,-92.127394
267,Fable Farm Fermentory,0,0,0,0,0,2,2,2020,2020,1,Royalton,Vermont,USA,Active,http://fablefarmfermentory.com/,,https://www.instagram.com/fablefarm,https://maps.google.com/?cid=14696832772230359937,,,https://untappd.com/w/fable-farm-and-fermentory/169332,43.74077,-72.590858
325,Headwater Cider,0,0,0,0,0,2,2,2017,2018,2,Hawley,Massachusetts,USA,Active,http://www.headwatercider.com/,https://www.facebook.com/profile.php?id=100072389300487,,https://maps.google.com/?cid=10677507708826586466,,,https://untappd.com/w/headwater-cider-company/55527,42.58249,-72.860053
397,Lost Giants Cider Company,0,0,0,0,0,2,2,2018,2022,2,Bellingham,Washington,USA,Active,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,https://www.yelp.com/biz/lost-giants-cider-company-bellingham,,https://untappd.com/w/lost-giants-cider-company/395484,48.752457,-122.459354
418,Methow Valley Ciderhouse,0,0,0,0,0,2,2,2017,2017,1,Winthrop,Washington,USA,Active,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,https://www.instagram.com/methowvalleyciderhouse/,https://maps.google.com/?cid=17865926054259925025,https://www.yelp.com/biz/methow-valley-ciderhouse-winthrop,https://www.tripadvisor.com/Restaurant_Review-g58833-d11857402,https://untappd.com/w/methow-valley-ciderhouse/12622,48.477133,-120.186948
2239,Ola Brew,0,0,0,0,0,2,2,2022,2022,1,Kailua-Kona,Hawaii,USA,Active,https://www.olabrewco.com/,https://www.facebook.com/OlaBrewCo,https://www.instagram.com/olabrewco/,https://maps.google.com/?cid=15799959683814156778,https://www.yelp.com/biz/ola-brew-kailua-kona,https://www.tripadvisor.com/Attraction_Review-g60872-d13368863,https://untappd.com/OlaBrewCompany,19.6467059,-155.9981111
827,Salt Spring Wild Cider,0,0,0,0,0,2,2,2017,2017,1,Salt Spring Island,British Columbia,Canada,Active,https://saltspringwildcider.com/,https://www.facebook.com/saltspringwildcider/,https://www.instagram.com/saltspringwildcider/,https://maps.google.com/?cid=1013951137212036854,https://www.yelp.com/biz/salt-spring-wild-cider-salt-spring-island,https://www.tripadvisor.com/Attraction_Review-g154941-d10129954,https://untappd.com/w/salt-spring-wild/218214,48.862494,-123.522065
592,Stem Ciders,0,0,0,0,0,2,2,2017,2022,2,Denver,Colorado,USA,Active,http://stemciders.com/,https://www.facebook.com/stemciders/,https://www.instagram.com/stemciders/,https://maps.google.com/?cid=14948853403840338868,https://www.yelp.com/biz/stem-ciders-denver,https://www.tripadvisor.com/Restaurant_Review-g33388-d26714132,https://untappd.com/w/stem-ciders/102829,39.761635,-104.983791
101,Ash & Elm Cider Company,0,1,0,0,0,0,1,2020,2020,1,Indianapolis,Indiana,USA,Active,http://www.ashandelmcider.com/,https://www.facebook.com/ashandelmcider/,https://www.instagram.com/ashandelmcider/,https://maps.google.com/?cid=9920873955827748956,https://www.yelp.com/biz/ash-and-elm-cider-co-indianapolis,https://www.tripadvisor.com/Restaurant_Review-g37209-d10761188,https://untappd.com/w/ash-and-elm-cider-co/210468,39.768019,-86.125256
176,C Squared Ciders,0,1,0,0,0,0,1,2017,2017,1,Denver,Colorado,USA,Inactive,,,,,,,,39.762816,-104.984037
3350,Hierophant Meadery,0,1,0,0,0,0,1,2024,2024,1,Freeland,Washington,USA,Active,https://www.hierophantmeadery.com/,https://www.facebook.com/hierophantmeaderywhidbey,https://www.instagram.com/hierophantmeadery/,https://maps.google.com/?cid=17451376316655329116,https://www.yelp.com/biz/hierophant-meadery-freeland-3,https://www.tripadvisor.com/Attraction_Review-g58601-d10492691,https://untappd.com/HierophantMeadery,48.0083112,-122.5072882
2270,James Arthur Vineyards,0,1,0,0,0,0,1,2022,2022,1,Raymond,Nebraska,USA,Active,https://jamesarthurvineyards.com/,https://www.facebook.com/JamesArthurNebraskaWine/,https://www.instagram.com/wine_guru/,https://maps.google.com/?cid=17404114639511023041,https://www.yelp.com/biz/james-arthur-vineyards-raymond,https://www.tripadvisor.com/Attraction_Review-g45789-d1471606,https://untappd.com/w/james-arthur-vineyards/179460,40.957544,-96.748549
354,James Creek Cider House,0,1,0,0,0,0,1,2024,2024,1,Cameron,North Carolina,USA,Active,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,https://www.yelp.com/biz/james-creek-cider-house-cameron,,https://untappd.com/w/james-creek-cider-house/291592,35.336069,-79.245782
3345,Mad Farmer Cider,0,1,0,0,0,0,1,2020,2020,1,Detroit,Michigan,USA,Inactive,,,,,,,,42.3488239,-83.025396
1130,Oliver's Cider and Perry,0,1,0,0,0,0,1,2018,2018,1,Ocle Pychard,Herefordshire,England,Active,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,,https://untappd.com/brewery/6568,52.118645,-2.59315
2698,Ramborn Cider Co.,0,1,0,0,0,0,1,2019,2019,1,Born,Echternach,Luxembourg,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn,49.7599024,6.5135119
2598,Shield Cider,0,1,0,0,0,0,1,2018,2018,1,Houston,Texas,USA,Inactive,,,,,,,,29.7811534,-95.626656
976,Sincere Cider,0,1,0,0,0,0,1,2024,2024,1,Oakland,California,USA,Active,https://www.sincerecider.com/,https://www.facebook.com/sincerecider,https://www.instagram.com/sincerecider,,,,https://untappd.com/SincereCider,37.8043514,-122.2711639
932,Two K Farms,0,1,0,0,0,0,1,2020,2020,1,Suttons Bay,Michigan,USA,Active,http://www.twokfarms.com/,https://www.facebook.com/twokfarms,https://www.instagram.com/twokfarms/,https://maps.google.com/?cid=10000035318484135155,https://www.yelp.com/biz/two-k-farms-cidery-and-winery-suttons-bay-10,https://www.tripadvisor.com/Attraction_Review-g42743-d15263080,https://untappd.com/Two_K_Farms,44.922709,-85.626569
1999,Val de Rance,0,1,0,0,0,0,1,2019,2019,1,Pleudihen-sur-Rance,Brittany,France,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612
